Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg
3D Systems,DDD,11.64,11.83,11.56,11.60,-0.06,-0.51,"843,981",23.70,7.92,...,...,...,34.26
3M,MMM,218.41,220.28,216.74,217.75,-1.10,-0.50,"2,522,749",259.77,190.59,5.44,2.50,27.49,-7.49
8X8,EGHT,20.15,20.25,19.40,19.60,-0.60,-2.97,"559,879",20.55,13.90,...,...,...,39.01
58.com ADR,WUBA,83.89,84.66,83.53,84.03,-0.62,-0.73,"1,005,051",87.65,38.27,...,...,65.13,17.41
500.com ADR,WBAI,18.10,18.12,17.28,17.47,-0.60,-3.32,"47,736",23.22,8.12,...,...,...,72.80
A10 Networks,ATEN,6.36,6.48,6.33,6.35,...,...,"698,805",9.75,5.63,...,...,...,-17.75
AAC Holdings,AAC,11.32,11.32,10.92,11.01,-0.38,-3.34,"92,477",13.06,5.99,...,...,...,22.33
AAR Corp.,AIR,45.35,45.73,44.81,45.00,-0.45,-0.99,"191,073",45.91,33.17,0.30,0.67,63.88,14.53
Aaron's Inc.,AAN,46.46,46.98,45.17,45.22,-1.33,-2.86,"584,815",49.77,30.13,0.12,0.27,11.14,13.48
ABB ADR,ABB,24.31,24.38,24.17,24.20,-0.07,-0.29,"3,143,051",28.67,21.92,0.83,3.41,23.32,-9.77
Abbott Laboratories,ABT,59.85,59.95,58.81,59.19,-0.69,-1.15,"5,562,594",64.60,42.88,1.12,1.89,229.77,3.71
AbbVie,ABBV,93.41,93.80,92.02,92.60,-0.41,-0.44,"4,618,400",125.86,63.55,3.84,4.15,28.15,-4.25
Abercrombie&Fitch,ANF,27.25,27.42,26.36,26.55,-0.90,-3.28,"4,443,590",29.20,8.81,0.80,3.01,442.50,52.32
ABM Industries,ABM,32.12,32.22,31.72,31.75,-0.48,-1.49,"454,730",45.12,31.72,0.70,2.20,21.27,-15.83
Acadia Realty Trust,AKR,23.21,23.48,22.64,22.65,-0.57,-2.45,"681,022",31.70,21.34,1.08,4.77,158.50,-17.21
Accenture Cl A,ACN,154.02,154.75,151.91,152.41,-2.18,-1.41,"1,951,132",165.58,118.40,2.66,1.75,26.79,-0.44
ACCO Brands,ACCO,13.05,13.13,12.68,12.80,-0.30,-2.29,"479,248",14.75,10.35,...,...,10.67,4.92
Acorn International ADR,ATV,22.79,24.47,22.79,23.52,0.77,3.38,"3,564",25.90,8.95,...,...,...,33.33
Actuant Cl A,ATU,24.40,24.57,24.15,24.50,...,...,"299,263",27.95,21.50,0.04,0.16,...,-3.16
Acuity Brands,AYI,128.47,129.63,127.50,127.93,-0.86,-0.67,"686,286",208.82,119.02,0.52,0.41,15.83,-27.31
Acushnet Holdings,GOLF,23.59,23.84,23.19,23.23,-0.32,-1.36,"169,716",24.70,15.16,0.52,2.24,18.89,10.20
Adecoagro,AGRO,7.95,8.02,7.79,7.83,-0.08,-1.01,"313,753",11.92,7.22,...,...,96.67,-24.27
Adient,ADNT,63.01,63.47,61.93,62.50,-0.40,-0.64,"522,832",86.42,57.40,1.10,1.76,11.24,-20.58
ADT,ADT,9.37,9.44,9.18,9.30,-0.08,-0.85,"1,057,564",13.02,7.36,...,...,...,...
Adtalem Global Education,ATGE,49.30,49.35,48.35,48.45,-0.85,-1.72,"267,053",50.15,30.15,...,...,261.05,15.22
Advance Auto Parts,AAP,105.28,106.45,102.90,103.76,-1.42,-1.35,"1,027,093",151.72,78.81,0.24,0.23,16.16,4.08
Advanced Disposal Services,ADSW,22.56,22.65,22.39,22.51,-0.15,-0.66,"321,177",25.71,20.94,...,...,52.63,-5.97
Advanced Drainage Systems,WMS,25.55,25.90,25.50,25.65,0.05,0.20,"171,637",28.15,17.90,0.28,1.09,34.66,7.55
AdvanSix,ASIX,37.29,37.67,36.95,37.51,0.08,0.21,"113,474",46.51,25.01,...,...,7.98,-10.84
