Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg
3D Systems,DDD,13.19,13.26,12.62,12.85,-0.38,-2.87,"1,925,611",15.94,7.92,...,...,...,48.73
3M,MMM,205.92,207.58,205.20,207.29,1.76,0.86,"1,233,112",259.77,190.57,5.44,2.62,28.67,-11.93
8X8,EGHT,20.70,20.70,20.18,20.60,...,...,"385,004",23.10,13.90,...,...,...,46.10
58.com ADR,WUBA,65.69,66.75,64.89,65.06,-0.68,-1.03,"596,883",89.90,50.03,...,...,43.58,-9.10
500.com ADR,WBAI,13.81,14.17,13.81,14.05,0.02,0.14,"59,887",23.22,9.05,...,...,...,38.97
A10 Networks,ATEN,6.75,6.83,6.65,6.68,-0.07,-1.04,"264,611",8.25,5.63,...,...,...,-13.47
AAC Holdings,AAC,8.72,9.45,8.68,9.37,0.72,8.32,"331,738",13.06,7.23,...,...,...,4.11
AAR Corp.,AIR,46.79,46.91,46.10,46.41,-0.40,-0.85,"137,279",49.05,34.25,0.30,0.65,109.35,18.12
Aaron's Inc.,AAN,45.81,46.16,45.21,46.00,0.21,0.46,"675,861",50.80,34.29,0.12,0.26,11.27,15.43
ABB ADR,ABB,22.64,22.71,22.59,22.71,0.14,0.62,"730,419",28.67,21.22,0.83,3.64,21.70,-15.32
Abbott Laboratories,ABT,64.77,65.24,64.44,65.23,0.65,1.01,"3,644,499",65.90,48.05,1.12,1.72,128.96,14.30
AbbVie,ABBV,94.89,96.85,94.82,96.53,1.41,1.48,"4,838,824",125.86,69.47,3.84,3.98,23.89,-0.19
Abercrombie&Fitch,ANF,24.38,25.37,24.38,24.94,0.75,3.10,"1,537,277",29.20,9.03,0.80,3.21,71.26,43.09
ABM Industries,ABM,31.11,31.32,30.98,31.12,...,...,"401,968",45.12,28.17,0.70,2.25,23.18,-17.50
Acadia Realty Trust,AKR,27.19,27.52,27.14,27.50,0.31,1.14,"236,631",30.63,21.34,1.08,3.93,...,0.51
Accenture Cl A,ACN,160.49,160.94,158.96,160.37,0.22,0.14,"1,458,166",168.95,127.26,2.66,1.66,25.70,4.76
ACCO Brands,ACCO,12.70,13.03,12.65,12.80,0.10,0.79,"696,680",14.63,10.65,0.24,1.88,9.92,4.92
Acorn International ADR,ATV,22.21,23.56,21.86,23.03,0.73,3.27,"8,304",38.86,9.33,...,...,...,30.55
Actuant Cl A,ATU,28.45,28.70,28.18,28.50,0.05,0.18,"222,331",30.05,21.50,0.04,0.14,...,12.65
Acuity Brands,AYI,136.25,138.35,135.36,136.48,0.71,0.52,"359,030",200.26,109.98,0.52,0.38,17.10,-22.45
Acushnet Holdings,GOLF,25.76,26.64,25.75,26.28,0.88,3.46,"537,738",26.64,15.16,0.52,1.98,20.55,24.67
Adecoagro,AGRO,8.47,8.61,8.44,8.49,0.08,0.95,"265,153",11.15,7.20,...,...,85.76,-17.89
Adient,ADNT,45.87,47.16,45.57,47.12,1.30,2.84,"2,553,298",86.42,43.10,1.10,2.33,362.46,-40.13
ADT,ADT,8.64,8.95,8.64,8.91,0.29,3.36,"1,758,388",13.02,6.93,0.14,1.57,...,...
Adtalem Global Education,ATGE,55.55,55.85,54.90,55.20,-0.30,-0.54,"163,961",55.85,30.15,...,...,282.21,31.27
Advance Auto Parts,AAP,144.25,145.66,143.03,144.68,1.42,0.99,"532,020",145.66,78.81,0.24,0.17,21.28,45.13
Advanced Disposal Services,ADSW,23.97,24.50,23.89,24.36,0.29,1.20,"558,396",25.80,21.50,...,...,38.06,1.75
Advanced Drainage Systems,WMS,28.45,28.60,27.65,28.10,-0.30,-1.06,"189,213",31.00,17.90,0.32,1.14,28.97,17.82
AdvanSix,ASIX,40.99,41.45,36.25,36.39,-3.42,-8.59,"317,638",46.51,29.55,...,...,8.68,-13.50
Advantage Oil&Gas,AAV,3.35,3.42,3.25,3.30,-0.15,-4.35,"204,997",6.75,2.70,...,...,12.88,-23.26
AECOM,ACM,33.61,34.21,33.52,33.64,0.07,0.21,"412,524",39.90,30.15,...,...,29.77,-9.45
Aegean Marine Petroleum Network,ANW,1.89,2.14,1.81,2.00,0.14,7.53,"3,236,563",5.35,0.60,0.04,2.00,...,-53.49
Aegon ADR,AEG,6.35,6.37,6.34,6.36,0.05,0.79,"1,020,039",7.48,5.49,0.33,5.17,5.38,0.95
