Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg
3D Systems,DDD,9.80,10.05,9.41,9.46,-0.49,-4.92,"4,631,959",21.78,8.53,...,...,...,9.49
3M,MMM,187.86,190.50,183.64,183.75,-3.63,-1.94,"5,887,902",259.77,181.98,5.44,2.96,24.57,-21.93
8X8,EGHT,17.97,18.03,16.77,16.90,-1.14,-6.32,"2,874,502",23.50,14.00,...,...,...,19.86
58.com ADR,WUBA,55.36,55.96,51.18,51.25,-3.69,-6.72,"1,884,435",89.90,51.18,...,...,25.22,-28.39
500.com ADR,WBAI,7.39,7.59,7.25,7.31,-0.24,-3.18,"29,837",23.22,5.22,...,...,...,-27.70
A10 Networks,ATEN,6.01,6.01,5.80,5.80,-0.18,-3.01,"776,153",7.82,5.51,...,...,...,-24.87
AAC Holdings,AAC,1.63,1.63,1.55,1.56,-0.07,-4.29,"264,168",12.96,1.55,...,...,...,-82.67
AAR Corp.,AIR,35.52,37.47,35.35,36.15,0.64,1.80,"913,915",51.52,35.30,0.30,0.83,25.64,-7.99
Aaron's Inc.,AAN,41.92,42.05,40.13,40.76,-1.18,-2.81,"1,689,595",56.00,36.20,0.14,0.34,9.37,2.28
ABB ADR,ABB,18.74,18.83,18.40,18.44,-0.26,-1.39,"3,013,432",28.67,18.40,0.83,4.48,17.50,-31.25
Abbott Laboratories,ABT,68.07,69.13,67.02,67.27,-1.11,-1.62,"12,109,895",74.92,55.58,1.28,1.90,138.67,17.87
AbbVie,ABBV,84.63,88.71,83.22,84.92,-0.45,-0.53,"14,017,788",125.86,77.50,4.28,5.04,17.55,-12.19
Abercrombie&Fitch,ANF,18.34,18.80,16.74,17.02,-1.59,-8.54,"3,875,946",29.69,15.28,0.80,4.70,23.63,-2.35
ABM Industries,ABM,31.04,31.23,29.98,30.19,-0.88,-2.83,"1,315,099",40.00,25.64,0.70,2.32,20.45,-19.96
Acadia Realty Trust,AKR,24.64,25.11,24.12,24.16,-0.49,-1.99,"1,562,649",29.28,21.34,1.12,4.64,504.38,-11.70
Accenture Cl A,ACN,141.02,144.85,136.93,137.20,-6.30,-4.39,"5,416,892",175.64,136.93,2.92,2.13,21.08,-10.38
ACCO Brands,ACCO,6.50,6.69,6.43,6.45,-0.04,-0.62,"1,901,341",14.63,6.40,0.24,3.72,4.78,-47.13
Acorn International ADR,ATV,21.88,21.88,20.25,20.25,-1.81,-8.20,"1,720",38.86,13.50,...,...,...,14.80
Actuant Cl A,ATU,20.35,20.40,19.66,19.77,-0.80,-3.89,"1,112,610",31.00,19.07,0.04,0.20,...,-21.86
Acuity Brands,AYI,108.99,109.84,105.65,106.44,-2.71,-2.48,"789,776",186.99,105.65,0.52,0.49,12.48,-39.52
Acushnet Holdings,GOLF,21.56,21.73,21.18,21.39,-0.15,-0.70,"425,080",27.87,17.55,0.52,2.43,16.08,1.47
Adecoagro,AGRO,6.60,6.80,6.50,6.70,0.06,0.90,"487,557",10.63,6.50,...,...,...,-35.20
Adient,ADNT,16.95,17.05,16.10,16.38,-0.80,-4.66,"2,854,699",84.59,16.10,1.10,6.72,...,-79.19
ADT,ADT,6.41,6.41,5.91,6.21,-0.18,-2.82,"7,726,302",13.02,5.91,0.14,2.25,29.20,...
