Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg
3D Systems,DDD,11.24,11.43,11.12,11.33,0.10,0.89,"1,147,202",21.78,8.88,...,...,...,11.41
3M,MMM,194.34,196.40,192.36,195.86,4.15,2.16,"2,546,681",259.77,176.87,5.44,2.78,26.18,2.79
8X8,EGHT,19.99,20.20,19.76,20.15,0.31,1.56,"506,420",23.50,15.13,...,...,...,11.70
58.com ADR,WUBA,60.00,61.23,59.42,60.26,0.76,1.28,"1,369,845",89.90,50.30,...,...,29.65,11.16
500.com ADR,WBAI,13.22,13.22,12.54,12.81,-0.19,-1.46,"15,240",23.22,5.22,...,...,...,69.00
A10 Networks,ATEN,6.46,6.74,6.44,6.71,0.30,4.68,"1,138,100",7.46,5.51,...,...,...,7.53
AAC Holdings,AAC,2.67,2.78,2.63,2.77,0.11,4.14,"188,317",12.96,1.33,...,...,...,97.86
AAR Corp.,AIR,37.52,38.02,37.28,37.67,0.32,0.86,"157,312",51.52,33.94,0.30,0.80,26.77,0.88
Aaron's Inc.,AAN,47.63,49.05,47.42,48.44,1.07,2.26,"472,238",56.00,36.20,0.14,0.29,11.14,15.20
ABB ADR,ABB,19.26,19.53,19.24,19.45,0.30,1.57,"4,490,505",28.67,18.05,0.83,4.25,18.45,2.31
Abbott Laboratories,ABT,70.99,71.74,70.78,71.42,0.90,1.28,"8,316,356",74.92,55.58,1.28,1.79,147.23,-1.26
AbbVie,ABBV,88.45,89.79,86.92,89.50,2.30,2.64,"5,983,036",125.86,77.50,4.28,4.78,18.49,-2.92
Abercrombie&Fitch,ANF,19.86,20.74,19.69,20.72,0.96,4.86,"1,707,100",29.69,15.28,0.80,3.86,28.77,3.34
ABM Industries,ABM,35.16,36.24,35.12,35.98,1.02,2.92,"524,013",40.00,25.64,0.72,2.00,24.38,12.05
Acadia Realty Trust,AKR,26.36,26.44,26.09,26.40,0.14,0.53,"182,882",29.28,21.34,1.12,4.24,551.15,11.11
Accenture Cl A,ACN,150.00,151.40,149.11,150.45,1.33,0.89,"2,430,691",175.64,132.63,2.92,1.94,23.11,6.69
ACCO Brands,ACCO,8.77,8.89,8.72,8.83,0.13,1.49,"774,108",14.63,6.07,0.24,2.72,6.54,30.24
Acorn International ADR,ATV,23.00,23.00,21.60,22.18,0.02,0.11,"2,509",38.86,13.50,...,...,...,1.26
Actuant Cl A,ATU,22.76,22.90,22.35,22.73,0.13,0.58,"197,836",31.00,19.07,0.04,0.18,...,8.29
Acuity Brands,AYI,119.71,121.22,118.61,120.57,2.24,1.89,"352,035",173.01,103.48,0.52,0.43,13.68,4.89
Acushnet Holdings,GOLF,23.55,23.81,23.31,23.38,-0.07,-0.30,"115,920",27.87,17.55,0.52,2.22,17.58,10.96
Adecoagro,AGRO,7.24,7.32,7.15,7.17,-0.03,-0.42,"213,781",10.30,6.40,...,...,...,3.02
Adient,ADNT,18.25,19.90,18.14,19.78,1.61,8.86,"3,198,575",74.19,14.52,1.10,5.56,...,31.34
ADT,ADT,7.30,7.36,7.13,7.33,0.07,0.96,"1,436,525",13.02,5.88,0.14,1.91,34.46,21.96
Adtalem Global Education,ATGE,48.18,49.07,48.01,48.88,0.95,1.98,"232,255",58.80,42.45,...,...,290.26,3.30
Advance Auto Parts,AAP,167.23,168.78,163.66,167.61,1.33,0.80,"1,770,302",186.15,102.15,0.24,0.14,22.40,6.45
Advanced Disposal Services,ADSW,25.08,25.21,24.81,24.94,-0.09,-0.36,"281,856",27.93,21.50,...,...,46.00,4.18
Advanced Drainage Systems,WMS,25.18,25.56,25.02,25.40,0.30,1.20,"478,393",33.50,21.70,0.32,1.26,18.68,4.74
AdvanSix,ASIX,29.00,29.81,28.84,29.24,0.58,2.02,"153,152",44.43,22.57,...,...,7.76,20.13
AECOM,ACM,29.53,30.20,29.31,30.16,0.96,3.29,"749,409",39.90,24.83,...,...,36.38,13.81
Aegon ADR,AEG,5.17,5.19,5.15,5.19,0.15,2.98,"1,114,274",7.48,4.42,0.32,6.15,...,11.61
AerCap Holdings,AER,45.91,46.73,45.87,46.64,0.94,2.06,"1,709,202",58.30,36.16,...,...,6.78,17.78
Aerohive Networks,HIVE,3.49,3.58,3.44,3.46,-0.03,-0.86,"236,026",4.78,3.19,...,...,...,6.13
Aerojet Rocketdyne Holdings,AJRD,38.45,39.46,38.02,38.68,0.56,1.47,"1,631,131",39.46,24.41,...,...,51.18,9.79
AES,AES,15.46,15.61,15.31,15.55,0.06,0.39,"4,505,623",16.28,9.87,0.55,3.51,30.46,7.54
Affiliated Managers Group,AMG,107.89,109.05,106.95,108.57,1.51,1.41,"883,311",217.00,88.47,1.20,1.11,8.50,11.42
AFLAC,AFL,47.56,47.83,47.28,47.70,0.38,0.80,"4,579,604",48.19,41.41,1.04,2.18,7.52,4.70
AGCO,AGCO,63.57,65.25,63.36,64.71,1.91,3.04,"713,188",75.10,49.50,0.60,0.93,22.45,16.24
Agilent Technologies,A,71.29,72.31,70.85,71.93,1.11,1.57,"1,386,345",75.11,60.42,0.66,0.91,73.73,6.63
AG Mortgage Investment Trust,MITT,17.24,17.26,17.07,17.11,-0.08,-0.47,"115,335",19.69,15.52,2.00,11.69,9.59,7.41
