Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg
3D Systems,DDD,13.07,13.22,12.00,12.41,-0.76,-5.77,"3,800,516",17.48,7.92,...,...,...,43.63
3M,MMM,208.68,210.60,206.85,207.42,-0.54,-0.26,"2,206,227",259.77,190.57,5.44,2.62,28.69,-11.87
8X8,EGHT,23.10,23.10,20.60,20.75,-1.30,-5.90,"2,400,107",23.10,13.90,...,...,...,47.16
58.com ADR,WUBA,68.67,69.33,65.89,66.76,-1.19,-1.75,"604,098",89.90,49.50,...,...,44.72,-6.72
500.com ADR,WBAI,14.02,14.44,13.21,13.27,-1.49,-10.09,"86,181",23.22,9.05,...,...,...,31.26
A10 Networks,ATEN,7.16,7.16,6.87,6.89,-0.30,-4.17,"274,106",8.25,5.63,...,...,...,-10.75
AAC Holdings,AAC,10.35,10.42,10.23,10.29,-0.01,-0.10,"115,126",13.06,5.99,...,...,...,14.33
AAR Corp.,AIR,47.84,47.90,47.28,47.45,-0.12,-0.25,"107,731",49.05,34.25,0.30,0.63,111.80,20.77
Aaron's Inc.,AAN,49.24,49.42,43.10,43.47,-5.38,-11.01,"1,863,756",50.80,34.29,0.12,0.28,10.73,9.08
ABB ADR,ABB,22.89,22.94,22.80,22.90,0.06,0.26,"1,285,589",28.67,21.22,0.83,3.61,21.88,-14.62
Abbott Laboratories,ABT,65.51,65.80,64.96,65.26,-0.40,-0.61,"4,177,131",65.90,48.05,1.12,1.72,129.02,14.35
AbbVie,ABBV,91.34,92.27,88.77,90.56,-3.38,-3.60,"12,391,914",125.86,69.38,3.84,4.24,22.81,-6.36
Abercrombie&Fitch,ANF,24.20,24.37,23.02,23.15,-0.98,-4.06,"2,050,588",29.20,9.03,0.80,3.46,66.14,32.82
ABM Industries,ABM,30.85,31.13,30.73,30.82,0.02,0.06,"520,329",45.12,28.17,0.70,2.27,22.95,-18.29
Acadia Realty Trust,AKR,27.19,27.19,26.29,26.36,-0.81,-2.98,"481,416",30.63,21.34,1.08,4.10,...,-3.65
Accenture Cl A,ACN,165.36,165.75,161.11,162.02,-3.15,-1.91,"2,652,573",168.95,127.26,2.66,1.64,25.96,5.83
ACCO Brands,ACCO,14.05,14.32,13.82,13.90,-0.10,-0.71,"396,460",14.63,10.35,0.24,1.73,11.03,13.93
