Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg
3D Systems,DDD,13.85,14.18,13.68,13.87,-0.02,-0.14,"2,213,231",22.57,7.92,...,...,...,60.53
3M,MMM,204.98,206.75,204.41,206.59,1.52,0.74,"2,072,051",259.77,191.44,5.44,2.63,30.65,-12.23
8X8,EGHT,18.05,18.55,17.35,18.35,0.25,1.38,"896,834",23.05,13.90,...,...,...,30.14
58.com ADR,WUBA,80.86,81.24,79.65,79.91,-1.72,-2.11,"1,390,930",89.90,40.02,...,...,53.52,11.65
500.com ADR,WBAI,18.90,19.19,18.30,18.33,-0.66,-3.48,"195,853",23.22,8.93,...,...,...,81.31
A10 Networks,ATEN,6.28,6.34,6.18,6.25,-0.04,-0.64,"184,092",8.88,5.63,...,...,...,-19.04
AAC Holdings,AAC,10.25,10.50,10.25,10.33,0.04,0.39,"73,665",13.06,5.99,...,...,...,14.78
AAR Corp.,AIR,47.41,47.69,47.16,47.63,0.12,0.25,"255,594",47.97,33.92,0.30,0.63,67.62,21.23
Aaron's Inc.,AAN,40.58,41.45,40.49,41.33,0.63,1.55,"699,103",49.77,34.29,0.12,0.29,10.20,3.71
ABB ADR,ABB,23.07,23.17,22.99,23.13,0.03,0.13,"2,030,239",28.67,21.92,0.83,3.57,23.80,-13.76
Abbott Laboratories,ABT,63.01,63.41,62.84,63.27,0.09,0.14,"4,508,034",64.60,46.66,1.12,1.77,245.61,10.86
AbbVie,ABBV,99.28,100.50,99.00,100.43,1.11,1.12,"3,643,943",125.86,68.72,3.84,3.82,25.30,3.85
Abercrombie&Fitch,ANF,24.60,26.39,24.60,26.27,1.72,7.01,"3,254,498",29.20,8.81,0.80,3.05,75.06,50.72
ABM Industries,ABM,32.08,32.37,30.07,30.30,-1.88,-5.84,"1,487,284",45.12,28.17,0.70,2.31,22.57,-19.67
