Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg
3D Systems,DDD,12.12,12.22,12.00,12.02,-0.20,-1.64,"996,629",22.57,7.92,...,...,...,39.12
3M,MMM,198.33,199.41,197.93,199.03,-0.38,-0.19,"1,656,288",259.77,191.44,5.44,2.73,29.53,-15.44
8X8,EGHT,18.45,18.85,17.15,18.55,-3.50,-15.87,"5,513,821",23.05,13.90,...,...,...,31.56
58.com ADR,WUBA,81.65,82.25,80.33,80.47,-0.53,-0.65,"954,725",89.90,40.02,...,...,62.37,12.44
500.com ADR,WBAI,18.03,18.30,17.90,18.06,-0.01,-0.06,"47,591",23.22,8.91,...,...,...,78.64
A10 Networks,ATEN,6.24,6.28,6.20,6.26,0.02,0.32,"211,155",8.88,5.63,...,...,...,-18.91
AAC Holdings,AAC,11.50,11.56,11.23,11.40,-0.19,-1.64,"137,646",13.06,5.99,...,...,...,26.67
AAR Corp.,AIR,44.18,44.44,44.15,44.31,...,...,"72,333",47.97,33.92,0.30,0.68,62.90,12.78
Aaron's Inc.,AAN,40.88,41.44,40.45,40.86,-0.10,-0.24,"327,499",49.77,34.29,0.12,0.29,10.09,2.53
ABB ADR,ABB,23.56,23.63,23.48,23.53,-0.23,-0.97,"1,653,360",28.67,21.92,0.83,3.51,24.21,-12.27
Abbott Laboratories,ABT,62.49,62.58,62.06,62.37,-0.14,-0.22,"3,741,464",64.60,43.83,1.12,1.80,242.12,9.29
AbbVie,ABBV,102.29,103.14,99.55,101.08,-2.06,-2.00,"17,310,540",125.86,65.61,3.84,3.80,25.46,4.52
Abercrombie&Fitch,ANF,25.75,25.99,25.15,25.45,-0.48,-1.85,"1,920,992",29.20,8.81,0.80,3.14,424.17,46.01
ABM Industries,ABM,29.12,29.47,29.12,29.23,...,...,"636,802",45.12,29.02,0.70,2.39,19.58,-22.51
Acadia Realty Trust,AKR,25.29,25.29,24.72,25.13,0.35,1.41,"504,915",30.63,21.34,1.08,4.30,523.54,-8.15
Accenture Cl A,ACN,155.39,156.48,155.05,155.99,0.40,0.26,"1,291,009",165.58,119.10,2.66,1.71,27.41,1.89
ACCO Brands,ACCO,12.90,13.08,12.85,12.90,...,...,"365,601",13.97,10.35,0.24,1.86,10.24,5.74
Acorn International ADR,ATV,27.25,31.45,27.00,28.59,3.58,14.33,"49,043",31.45,9.33,...,...,...,62.10
Actuant Cl A,ATU,24.90,25.05,24.55,24.80,-0.20,-0.80,"641,432",27.95,21.50,0.04,0.16,...,-1.98
Acuity Brands,AYI,118.73,120.17,118.15,119.60,0.48,0.40,"403,144",208.82,109.98,0.52,0.43,14.80,-32.05
Acushnet Holdings,GOLF,24.08,24.43,23.97,24.25,0.26,1.08,"223,933",24.70,15.16,0.52,2.14,19.09,15.04
Adecoagro,AGRO,8.17,8.18,7.96,8.14,-0.01,-0.12,"643,154",11.47,7.20,...,...,82.22,-21.28
Adient,ADNT,54.60,54.76,53.88,54.01,-0.46,-0.84,"525,294",86.42,53.88,1.10,2.04,31.40,-31.37
ADT,ADT,7.71,7.72,7.46,7.47,-0.23,-2.99,"2,109,172",13.02,6.93,0.14,1.87,...,...
Adtalem Global Education,ATGE,46.85,47.10,46.65,47.00,0.15,0.32,"213,973",50.15,30.15,...,...,234.65,11.77
Advance Auto Parts,AAP,124.69,126.24,124.41,124.91,-0.26,-0.21,"1,163,179",138.23,78.81,0.24,0.19,18.37,25.30
Advanced Disposal Services,ADSW,23.62,23.72,23.47,23.59,0.12,0.51,"376,372",25.71,21.50,...,...,44.70,-1.46
Advanced Drainage Systems,WMS,25.65,25.80,25.20,25.40,-0.35,-1.36,"182,552",28.15,17.90,0.28,1.10,34.32,6.50
