Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg
3D Systems,DDD,11.90,12.36,11.76,12.19,0.14,1.16,"1,088,223",21.78,8.53,...,...,...,41.09
3M,MMM,197.76,198.68,196.79,196.80,-1.89,-0.95,"963,385",259.77,181.98,5.44,2.76,26.31,-16.39
8X8,EGHT,17.13,17.89,17.13,17.83,0.41,2.35,"502,603",23.50,13.90,...,...,...,26.45
58.com ADR,WUBA,53.82,54.20,52.14,53.75,-0.90,-1.65,"1,169,371",89.90,52.14,...,...,26.45,-24.90
500.com ADR,WBAI,7.90,8.21,7.80,8.11,...,...,"10,642",23.22,5.22,...,...,...,-19.78
A10 Networks,ATEN,5.80,6.48,5.80,6.12,0.29,4.97,"837,100",8.25,5.51,...,...,...,-20.73
AAC Holdings,AAC,2.00,2.24,1.98,2.00,...,...,"426,642",12.96,1.70,...,...,...,-77.78
AAR Corp.,AIR,42.80,43.35,42.23,42.77,-0.27,-0.63,"58,648",51.52,36.46,0.30,0.70,77.76,8.86
Aaron's Inc.,AAN,48.06,49.34,48.06,48.49,0.23,0.48,"287,451",56.00,35.34,0.14,0.29,11.15,21.68
ABB ADR,ABB,19.79,19.89,19.79,19.82,-0.14,-0.70,"988,739",28.67,19.08,0.83,4.17,18.80,-26.10
Abbott Laboratories,ABT,67.94,68.68,67.83,68.11,-0.42,-0.61,"3,149,911",74.15,54.32,1.12,1.64,140.40,19.34
AbbVie,ABBV,85.60,86.55,84.90,85.63,-0.52,-0.60,"1,571,846",125.86,77.50,4.28,5.00,17.69,-11.46
Abercrombie&Fitch,ANF,15.89,16.46,15.85,16.03,0.07,0.44,"1,404,834",29.69,15.28,0.80,4.99,30.83,-8.03
ABM Industries,ABM,30.12,30.70,30.12,30.23,-0.10,-0.33,"126,745",44.70,28.17,0.70,2.32,23.75,-19.86
Acadia Realty Trust,AKR,28.31,28.31,27.91,28.06,-0.34,-1.20,"151,930",29.28,21.34,1.12,3.99,585.80,2.56
Accenture Cl A,ACN,155.85,157.87,155.25,156.93,-0.05,-0.03,"912,041",175.64,145.23,2.92,1.86,24.75,2.51
ACCO Brands,ACCO,8.01,8.05,7.92,7.97,-0.12,-1.48,"222,366",14.63,7.39,0.24,3.01,5.90,-34.67
Acorn International ADR,ATV,22.50,22.50,22.50,22.50,0.55,2.51,"360",38.86,13.50,...,...,...,27.55
Actuant Cl A,ATU,24.88,25.15,24.62,24.94,-0.29,-1.15,"125,064",31.00,21.50,0.04,0.16,...,-1.42
Acuity Brands,AYI,122.48,124.41,122.31,122.66,-1.18,-0.95,"74,708",186.99,109.98,0.52,0.42,14.38,-30.31
Acushnet Holdings,GOLF,23.56,23.96,23.56,23.87,0.12,0.51,"48,764",27.87,17.55,0.52,2.18,17.95,13.24
Adecoagro,AGRO,6.93,7.01,6.92,7.00,0.03,0.43,"90,232",10.63,6.77,...,...,...,-32.30
Adient,ADNT,24.17,25.06,24.17,24.81,0.56,2.31,"564,952",84.59,21.09,1.10,4.43,...,-68.48
ADT,ADT,7.55,7.77,7.52,7.66,0.05,0.66,"405,515",13.02,6.93,0.14,1.83,36.01,...
Adtalem Global Education,ATGE,55.36,56.43,55.10,56.02,0.16,0.29,"118,547",58.80,38.50,...,...,332.66,33.22
