Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg
3D Systems,DDD,16.66,17.16,16.26,16.46,-0.68,-3.97,"1,828,695",21.78,7.92,...,...,...,90.51
3M,MMM,183.31,186.66,181.98,184.95,-0.04,-0.02,"3,434,501",259.77,181.98,5.44,2.94,24.73,-21.42
8X8,EGHT,16.85,17.13,16.42,16.60,-0.70,-4.05,"938,134",23.50,13.90,...,...,...,17.73
58.com ADR,WUBA,58.65,62.11,58.23,61.39,0.30,0.49,"1,315,884",89.90,56.70,...,...,36.59,-14.22
500.com ADR,WBAI,7.07,7.08,6.81,7.07,0.20,2.91,"22,559",23.22,6.81,...,...,...,-30.07
A10 Networks,ATEN,5.64,5.74,5.55,5.62,-0.07,-1.23,"158,132",8.25,5.51,...,...,...,-27.20
AAC Holdings,AAC,6.75,6.76,6.60,6.66,-0.18,-2.63,"333,820",12.96,6.50,...,...,...,-26.00
AAR Corp.,AIR,44.91,46.29,44.73,46.00,0.56,1.23,"514,576",51.52,36.46,0.30,0.65,83.64,17.08
Aaron's Inc.,AAN,43.07,45.37,42.61,45.15,1.26,2.87,"1,120,416",56.00,34.29,0.12,0.27,10.38,13.30
ABB ADR,ABB,19.36,19.74,19.23,19.51,-0.30,-1.51,"3,703,287",28.67,19.23,0.83,4.23,18.64,-27.26
Abbott Laboratories,ABT,66.75,67.69,65.78,66.99,-0.68,-1.00,"8,110,553",74.15,53.61,1.12,1.67,138.10,17.38
AbbVie,ABBV,81.02,81.53,79.43,80.79,-0.94,-1.15,"5,990,913",125.86,79.26,3.84,4.75,20.00,-16.46
Abercrombie&Fitch,ANF,18.19,19.65,18.03,19.43,1.02,5.54,"3,890,758",29.69,11.62,0.80,4.12,37.37,11.47
ABM Industries,ABM,29.78,30.72,29.48,30.52,0.37,1.23,"684,014",44.70,28.17,0.70,2.29,23.98,-19.09
Acadia Realty Trust,AKR,27.73,27.94,27.25,27.80,-0.04,-0.14,"614,266",29.67,21.34,1.08,3.88,580.38,1.61
Accenture Cl A,ACN,154.30,156.08,152.86,154.45,-2.47,-1.57,"2,419,000",175.64,141.47,2.92,1.89,24.36,0.89
ACCO Brands,ACCO,10.07,10.20,9.95,10.06,-0.08,-0.79,"494,737",14.63,9.59,0.24,2.39,7.80,-17.54
Acorn International ADR,ATV,23.68,23.68,21.63,21.82,-2.48,-10.21,"13,392",38.86,13.50,...,...,...,23.69
Actuant Cl A,ATU,23.23,23.82,22.89,23.34,-0.21,-0.89,"167,146",31.00,21.50,0.04,0.17,...,-7.75
Acuity Brands,AYI,117.30,120.05,116.43,118.48,-0.81,-0.68,"389,007",186.99,109.98,0.52,0.44,13.89,-32.68
Acushnet Holdings,GOLF,23.50,23.81,23.26,23.55,-0.19,-0.80,"195,808",27.87,16.91,0.52,2.21,17.32,11.72
Adecoagro,AGRO,7.68,7.81,7.49,7.72,0.02,0.26,"253,300",10.81,6.93,...,...,...,-25.34
Adient,ADNT,28.92,29.89,28.43,29.67,0.17,0.58,"1,221,853",85.32,28.24,1.10,3.71,228.23,-62.30
ADT,ADT,7.41,7.52,7.17,7.42,-0.07,-0.93,"2,292,799",13.02,6.93,0.14,1.89,...,...
Adtalem Global Education,ATGE,47.58,48.70,46.79,48.25,0.21,0.44,"318,842",56.45,30.71,...,...,91.31,14.74
Advance Auto Parts,AAP,161.70,165.52,160.21,164.55,1.38,0.85,"1,635,414",171.50,78.81,0.24,0.15,22.79,65.06
Advanced Disposal Services,ADSW,25.29,25.83,25.18,25.74,0.20,0.78,"448,025",27.93,21.50,...,...,40.22,7.52
Advanced Drainage Systems,WMS,26.54,27.33,26.13,26.81,-0.09,-0.33,"167,203",33.50,18.20,0.32,1.19,22.34,12.41
AdvanSix,ASIX,27.43,27.79,26.99,27.47,-0.32,-1.15,"174,545",46.51,26.87,...,...,6.43,-34.70
AECOM,ACM,29.91,30.53,29.40,30.13,-0.27,-0.89,"931,930",39.90,29.40,...,...,35.03,-18.90
Aegean Marine Petroleum Network,ANW,1.02,1.04,0.94,0.96,-0.05,-4.95,"411,145",5.10,0.60,0.04,4.17,...,-77.67
Aegon ADR,AEG,5.87,5.95,5.82,5.90,-0.03,-0.51,"952,618",7.48,5.80,0.32,5.41,4.99,-6.35
