Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg
3D Systems,DDD,18.46,19.04,18.41,18.49,0.08,0.43,"1,745,008",21.78,7.92,...,...,...,114.00
3M,MMM,208.84,210.29,207.15,207.88,-1.17,-0.56,"1,634,800",259.77,190.57,5.44,2.62,28.75,-11.68
8X8,EGHT,22.75,22.85,22.50,22.75,...,...,"574,552",23.50,13.90,...,...,...,61.35
58.com ADR,WUBA,74.75,75.00,72.20,72.63,-1.86,-2.50,"890,143",89.90,56.70,...,...,43.29,1.48
500.com ADR,WBAI,11.74,11.74,11.49,11.56,-0.08,-0.69,"32,327",23.22,9.05,...,...,...,14.34
A10 Networks,ATEN,6.50,6.53,6.37,6.38,-0.13,-2.00,"328,753",8.25,5.63,...,...,...,-17.36
AAC Holdings,AAC,7.57,7.72,7.32,7.35,-0.17,-2.26,"157,405",12.96,7.07,...,...,...,-18.33
AAR Corp.,AIR,42.86,43.15,42.48,42.76,0.01,0.02,"658,262",49.05,34.93,0.30,0.70,100.75,8.83
Aaron's Inc.,AAN,51.23,52.44,51.23,52.23,0.95,1.85,"415,731",52.70,34.29,0.12,0.23,12.80,31.07
ABB ADR,ABB,24.03,24.08,23.89,23.96,-0.07,-0.29,"2,894,371",28.67,21.22,0.83,3.45,22.89,-10.66
Abbott Laboratories,ABT,68.51,68.82,68.36,68.42,-0.08,-0.12,"3,991,448",68.82,51.37,1.12,1.64,135.46,19.89
AbbVie,ABBV,96.29,96.40,94.92,95.68,-0.65,-0.67,"3,241,007",125.86,83.19,3.84,4.01,23.68,-1.07
Abercrombie&Fitch,ANF,20.36,20.38,19.77,20.17,-0.18,-0.88,"1,915,217",29.69,11.62,0.80,3.97,38.79,15.72
ABM Industries,ABM,34.36,34.79,34.00,34.69,0.28,0.81,"549,911",44.70,28.17,0.70,2.02,27.26,-8.03
Acadia Realty Trust,AKR,28.58,28.68,27.97,28.19,-0.48,-1.67,"339,184",30.63,21.34,1.08,3.83,...,3.03
Accenture Cl A,ACN,171.74,172.27,171.03,171.64,-0.43,-0.25,"2,102,591",172.51,132.27,2.66,1.55,27.51,12.12
ACCO Brands,ACCO,12.10,12.40,12.05,12.15,...,...,"318,582",14.63,10.90,0.24,1.98,9.42,-0.41
Acorn International ADR,ATV,20.40,20.68,18.87,20.00,-0.09,-0.47,"7,505",38.86,13.21,...,...,...,13.37
Actuant Cl A,ATU,28.95,29.55,28.95,29.50,0.55,1.90,"328,573",30.10,21.50,0.04,0.14,...,16.60
Acuity Brands,AYI,157.83,162.00,157.56,159.10,0.98,0.62,"814,598",186.99,109.98,0.52,0.33,19.94,-9.60
Acushnet Holdings,GOLF,26.56,26.95,26.35,26.56,-0.01,-0.04,"142,227",27.87,16.59,0.52,1.96,19.53,26.00
Adecoagro,AGRO,7.29,7.49,7.29,7.44,0.13,1.78,"525,873",11.15,6.93,...,...,...,-28.05
Adient,ADNT,42.58,43.40,42.56,43.06,0.86,2.04,"1,779,974",86.42,40.08,1.10,2.55,331.23,-45.29
ADT,ADT,8.55,8.65,8.54,8.56,-0.03,-0.35,"1,277,453",13.02,6.93,0.14,1.64,...,...
Adtalem Global Education,ATGE,44.95,45.25,44.65,44.85,...,...,"266,322",56.45,30.71,...,...,84.88,6.66
Advance Auto Parts,AAP,166.95,167.92,165.19,165.45,-1.28,-0.77,"978,160",170.91,78.81,0.24,0.15,22.92,65.96
Advanced Disposal Services,ADSW,27.06,27.31,26.90,27.25,0.16,0.59,"236,912",27.93,21.50,...,...,42.58,13.83
Advanced Drainage Systems,WMS,31.50,32.00,31.30,31.90,0.40,1.27,"178,616",33.50,17.90,0.32,1.00,26.58,33.75
AdvanSix,ASIX,33.53,34.56,33.00,34.35,0.82,2.45,"357,985",46.51,32.29,...,...,8.04,-18.35
Advantage Oil&Gas,AAV,2.55,2.60,2.50,2.55,...,...,"73,057",6.70,2.37,...,...,21.27,-40.70
AECOM,ACM,32.24,32.64,32.17,32.44,0.13,0.40,"1,075,727",39.90,30.95,...,...,37.72,-12.68
Aegean Marine Petroleum Network,ANW,1.82,1.85,1.78,1.83,0.02,1.10,"280,867",5.15,0.60,0.04,2.19,...,-57.44
Aegon ADR,AEG,6.04,6.06,6.01,6.03,-0.04,-0.66,"2,133,083",7.48,5.50,0.32,5.29,5.10,-4.29
AerCap Holdings,AER,56.85,57.27,56.70,57.05,0.23,0.40,"817,738",58.30,48.29,...,...,8.50,8.44
Aerohive Networks,HIVE,4.09,4.14,4.02,4.08,-0.06,-1.45,"383,177",6.50,3.55,...,...,...,-30.02
Aerojet Rocketdyne Holdings,AJRD,34.03,34.81,33.73,34.75,0.65,1.91,"460,074",37.70,24.41,...,...,328.76,11.38
AES,AES,13.40,13.64,13.39,13.55,0.10,0.74,"6,635,734",14.11,9.87,0.52,3.84,22.85,25.12
Aetna,AET,203.34,203.86,202.75,202.75,-0.28,-0.14,"1,384,159",204.20,149.69,2.00,0.99,19.13,12.40
Affiliated Managers Group,AMG,140.93,143.39,140.75,142.96,2.26,1.61,"293,330",217.00,140.43,1.20,0.84,11.30,-30.35
AFLAC,AFL,46.75,47.27,46.71,47.21,0.51,1.09,"2,275,589",47.27,40.55,1.04,2.20,7.68,7.56
AGCO,AGCO,58.79,59.54,58.15,58.49,-0.30,-0.51,"812,649",75.95,56.36,0.60,1.03,21.27,-18.12
Agilent Technologies,A,69.28,69.41,68.56,68.85,-0.48,-0.69,"1,155,700",75.00,60.42,0.60,0.87,75.66,2.81
AG Mortgage Investment Trust,MITT,18.63,18.63,18.21,18.55,-0.06,-0.32,"152,532",19.95,16.31,2.00,10.78,8.24,-2.42
Agnico-Eagle Mines,AEM,33.51,33.64,32.97,33.30,-0.23,-0.69,"1,361,115",49.80,32.18,0.44,1.32,50.45,-27.89
Agree Realty,ADC,55.46,55.46,54.51,55.13,-0.45,-0.81,"186,918",57.49,43.74,2.16,3.92,28.76,7.17
A. H. Belo Series A,AHC,4.55,4.55,4.50,4.50,-0.05,-1.10,"7,362",5.80,4.25,0.32,7.11,9.19,-6.25
Aircastle,AYR,20.55,20.74,20.50,20.64,0.14,0.68,"307,810",25.30,18.97,1.12,5.43,7.37,-11.76
Air Lease,AL,45.18,46.04,45.12,45.68,0.55,1.22,"363,597",50.70,39.57,0.40,0.88,6.38,-5.01
Air Products&Chemicals,APD,168.29,170.00,167.83,168.61,0.98,0.58,"796,900",175.17,149.48,4.40,2.61,24.49,2.76
AK Steel Holding,AKS,4.37,4.45,4.32,4.37,...,...,"10,541,946",6.80,4.00,...,...,...,-22.79
Alamo Group,ALG,94.72,96.00,94.05,95.55,1.02,1.08,"30,767",120.58,88.12,0.44,0.46,21.06,-15.35
Alamos Gold,AGI,4.48,4.54,4.41,4.50,0.02,0.45,"1,242,480",7.54,4.06,0.02,0.44,73.17,-30.88
Alaska Air Group,ALK,68.23,69.05,67.92,68.91,0.49,0.72,"865,469",82.68,57.53,1.28,1.86,10.29,-6.26
Albany International Cl A,AIN,80.35,81.70,80.20,81.40,1.20,1.50,"87,372",81.70,53.50,0.68,0.84,44.00,32.47
