Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg
3D Systems,DDD,10.26,10.45,10.01,10.04,-0.23,-2.24,"1,833,443",23.70,7.92,...,...,...,16.20
3M,MMM,196.96,198.34,194.18,194.39,-1.73,-0.88,"3,714,784",259.77,193.54,5.44,2.80,28.84,-17.41
8X8,EGHT,20.15,20.40,20.05,20.25,0.15,0.75,"503,817",20.55,13.90,...,...,...,43.62
58.com ADR,WUBA,84.07,88.30,83.69,87.39,3.28,3.90,"1,773,895",88.30,39.40,...,...,67.73,22.10
500.com ADR,WBAI,17.65,18.38,17.65,18.25,0.52,2.93,"64,571",23.22,8.12,...,...,...,80.51
A10 Networks,ATEN,6.17,6.24,6.08,6.10,-0.07,-1.13,"209,186",8.88,5.63,...,...,...,-20.98
AAC Holdings,AAC,11.10,11.39,10.82,11.33,0.31,2.81,"108,188",13.06,5.99,...,...,...,25.89
AAR Corp.,AIR,44.03,44.27,43.29,43.30,-0.61,-1.38,"95,164",45.91,33.17,0.30,0.69,61.47,10.21
Aaron's Inc.,AAN,42.27,43.09,41.57,41.77,-0.02,-0.05,"1,255,143",49.77,34.02,0.12,0.29,10.31,4.82
ABB ADR,ABB,23.27,23.46,23.23,23.27,-0.01,-0.04,"1,525,042",28.67,21.92,0.83,3.55,23.94,-13.24
Abbott Laboratories,ABT,59.76,59.80,58.10,58.13,-1.43,-2.40,"5,583,058",64.60,42.88,1.12,1.93,225.66,1.86
AbbVie,ABBV,99.05,99.42,96.52,96.55,-2.18,-2.21,"6,574,627",125.86,64.61,3.84,3.98,24.32,-0.17
Abercrombie&Fitch,ANF,25.76,26.04,25.51,25.62,0.04,0.16,"3,133,536",29.20,8.81,0.80,3.12,427.00,46.99
ABM Industries,ABM,31.42,31.56,31.07,31.13,-0.18,-0.57,"1,403,123",45.12,31.07,0.70,2.25,20.85,-17.47
Acadia Realty Trust,AKR,24.05,24.05,23.59,23.60,-0.37,-1.54,"701,683",30.63,21.34,1.08,4.58,165.15,-13.74
Accenture Cl A,ACN,153.17,153.26,151.18,151.20,-1.19,-0.78,"1,296,004",165.58,119.10,2.66,1.76,26.57,-1.23
ACCO Brands,ACCO,12.35,12.48,12.05,12.05,-0.35,-2.82,"545,741",14.75,10.35,...,...,10.04,-1.23
Acorn International ADR,ATV,27.47,28.50,25.64,25.88,-0.65,-2.43,"5,007",28.50,9.33,...,...,...,46.68
Actuant Cl A,ATU,23.55,23.90,23.40,23.55,0.05,0.21,"471,347",27.95,21.50,0.04,0.17,...,-6.92
Acuity Brands,AYI,121.93,123.07,119.24,119.77,-2.89,-2.36,"748,815",208.82,119.02,0.52,0.43,14.82,-31.95
Acushnet Holdings,GOLF,24.27,24.53,24.16,24.16,-0.01,-0.04,"219,814",24.70,15.16,0.52,2.15,19.64,14.61
Adecoagro,AGRO,7.83,7.83,7.69,7.72,-0.12,-1.53,"738,197",11.92,7.22,...,...,95.31,-25.34
Adient,ADNT,62.46,62.95,61.06,61.29,-0.77,-1.24,"830,443",86.42,57.40,1.10,1.79,11.02,-22.12
ADT,ADT,9.19,9.22,8.82,8.91,-0.20,-2.20,"2,546,739",13.02,7.36,...,...,...,...
Adtalem Global Education,ATGE,47.95,48.10,47.60,47.60,-0.15,-0.31,"646,538",50.15,30.15,...,...,256.47,13.20
