Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg
3D Systems,DDD,19.50,19.80,17.87,17.92,-1.96,-9.86,"6,642,592",20.00,7.92,...,...,...,107.41
3M,MMM,202.02,202.79,199.50,199.84,-2.12,-1.05,"1,534,080",259.77,190.57,5.44,2.72,27.64,-15.10
8X8,EGHT,22.40,22.65,21.80,22.00,-0.40,-1.79,"471,407",23.10,13.90,...,...,...,56.03
58.com ADR,WUBA,66.10,67.01,66.05,66.58,0.44,0.67,"728,698",89.90,52.10,...,...,44.59,-6.97
500.com ADR,WBAI,13.20,13.31,13.02,13.23,-0.08,-0.60,"17,119",23.22,9.05,...,...,...,30.86
A10 Networks,ATEN,6.70,6.70,6.56,6.65,-0.03,-0.45,"140,565",8.25,5.63,...,...,...,-13.86
AAC Holdings,AAC,9.11,9.53,9.08,9.41,0.30,3.29,"83,452",13.06,7.41,...,...,...,4.56
AAR Corp.,AIR,46.11,46.52,45.82,45.96,-0.08,-0.17,"86,730",49.05,34.25,0.30,0.65,108.29,16.98
Aaron's Inc.,AAN,46.78,47.07,46.09,46.19,-0.42,-0.90,"446,527",50.80,34.29,0.12,0.26,11.32,15.91
ABB ADR,ABB,22.62,22.72,22.48,22.53,-0.06,-0.27,"1,313,513",28.67,21.22,0.83,3.67,21.53,-16.00
Abbott Laboratories,ABT,64.02,64.32,63.36,63.43,-0.60,-0.94,"4,306,355",65.90,48.58,1.12,1.77,125.41,11.14
AbbVie,ABBV,96.00,97.58,95.81,96.78,0.98,1.02,"5,745,360",125.86,69.47,3.84,3.97,23.96,0.07
Abercrombie&Fitch,ANF,26.99,26.99,26.07,26.72,-0.42,-1.55,"1,478,000",29.20,9.03,0.80,2.99,76.34,53.30
ABM Industries,ABM,30.87,30.87,30.57,30.75,-0.13,-0.42,"397,244",44.83,28.17,0.70,2.28,22.90,-18.48
Acadia Realty Trust,AKR,26.63,26.70,26.47,26.62,-0.01,-0.04,"221,707",30.63,21.34,1.08,4.06,...,-2.70
Accenture Cl A,ACN,160.73,161.90,160.05,160.23,-0.45,-0.28,"1,391,135",168.95,127.26,2.66,1.66,25.68,4.66
ACCO Brands,ACCO,12.60,12.80,12.20,12.35,-0.20,-1.59,"575,610",14.63,10.65,0.24,1.94,9.57,1.23
Acorn International ADR,ATV,19.62,19.62,17.58,17.91,-1.14,-5.98,"9,059",38.86,12.75,...,...,...,1.53
Actuant Cl A,ATU,28.20,28.38,27.88,28.20,...,...,"262,664",30.05,21.50,0.04,0.14,...,11.46
