Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg
3D Systems,DDD,10.09,10.20,9.82,10.17,0.07,0.69,"1,077,562",21.78,8.60,...,...,...,17.71
3M,MMM,190.34,191.65,188.50,190.54,1.17,0.62,"1,722,697",259.77,176.87,5.44,2.86,25.47,-19.05
8X8,EGHT,18.18,18.30,17.88,18.04,0.07,0.39,"529,317",23.50,14.20,...,...,...,27.94
58.com ADR,WUBA,55.38,55.94,53.85,54.21,-0.24,-0.44,"461,712",89.90,50.30,...,...,26.67,-24.26
500.com ADR,WBAI,7.29,7.58,7.25,7.58,0.30,4.12,"9,448",23.22,5.22,...,...,...,-25.02
A10 Networks,ATEN,6.09,6.25,6.03,6.24,0.18,2.97,"375,692",7.82,5.51,...,...,...,-19.17
AAC Holdings,AAC,1.45,1.51,1.39,1.40,-0.01,-0.71,"519,084",12.96,1.39,...,...,...,-84.44
AAR Corp.,AIR,37.08,37.57,36.47,37.34,0.45,1.22,"413,735",51.52,33.94,0.30,0.80,26.54,-4.96
Aaron's Inc.,AAN,42.29,42.66,40.96,42.05,-0.01,-0.02,"484,249",56.00,36.20,0.14,0.33,9.67,5.52
ABB ADR,ABB,18.99,19.05,18.79,19.01,0.08,0.42,"2,107,966",28.67,18.05,0.83,4.35,18.04,-29.12
Abbott Laboratories,ABT,71.57,72.76,71.48,72.33,1.24,1.74,"5,016,896",74.92,55.58,1.28,1.77,149.10,26.74
AbbVie,ABBV,91.60,92.99,91.23,92.19,1.07,1.17,"5,420,654",125.86,77.50,4.28,4.64,19.05,-4.67
Abercrombie&Fitch,ANF,19.56,20.06,19.56,20.05,0.66,3.40,"2,584,938",29.69,15.28,0.80,3.99,27.84,15.03
ABM Industries,ABM,31.34,32.14,31.25,32.11,1.02,3.28,"970,723",40.00,25.64,0.70,2.18,21.76,-14.87
Acadia Realty Trust,AKR,24.17,24.20,23.44,23.76,-0.36,-1.49,"367,264",29.28,21.34,1.12,4.71,496.03,-13.16
Accenture Cl A,ACN,140.40,141.29,139.39,141.01,1.19,0.85,"1,784,880",175.64,132.63,2.92,2.07,21.66,-7.89
ACCO Brands,ACCO,6.74,6.82,6.69,6.78,0.05,0.74,"849,142",14.63,6.07,0.24,3.54,5.02,-44.43
Acorn International ADR,ATV,21.88,22.40,21.86,21.90,-0.84,-3.69,"842",38.86,13.50,...,...,...,24.14
Actuant Cl A,ATU,20.78,21.03,20.58,20.99,0.35,1.70,"417,076",31.00,19.07,0.04,0.19,...,-17.04
Acuity Brands,AYI,114.46,114.95,112.20,114.95,0.86,0.75,"241,977",186.99,103.48,0.52,0.45,13.48,-34.69
Acushnet Holdings,GOLF,21.09,21.11,20.75,21.07,0.03,0.14,"159,253",27.87,17.55,0.52,2.47,15.84,-0.05
Adecoagro,AGRO,6.86,7.00,6.79,6.96,0.16,2.35,"179,189",10.63,6.40,...,...,...,-32.69
Adient,ADNT,15.62,15.92,14.91,15.06,-0.58,-3.71,"3,513,518",84.59,14.91,1.10,7.30,...,-80.86
ADT,ADT,6.15,6.22,6.01,6.01,-0.10,-1.64,"2,601,100",13.02,5.91,0.14,2.33,28.26,...
Adtalem Global Education,ATGE,47.27,47.61,46.73,47.32,0.39,0.83,"465,796",58.80,41.76,...,...,281.00,12.53
Advance Auto Parts,AAP,156.05,157.68,154.99,157.46,2.00,1.29,"741,078",186.15,99.71,0.24,0.15,21.05,57.95
Advanced Disposal Services,ADSW,23.57,23.95,23.46,23.94,0.49,2.09,"278,482",27.93,21.50,...,...,44.15,...
Advanced Drainage Systems,WMS,24.33,24.44,23.91,24.25,0.14,0.58,"133,986",33.50,21.70,0.32,1.32,17.84,1.68
AdvanSix,ASIX,24.50,24.90,24.16,24.34,-0.20,-0.81,"234,071",44.44,22.57,...,...,6.46,-42.14
AECOM,ACM,26.27,26.68,26.21,26.50,0.25,0.95,"1,020,127",39.90,24.83,...,...,31.96,-28.67
Aegon ADR,AEG,4.62,4.65,4.58,4.65,0.06,1.31,"2,636,774",7.48,4.42,0.32,6.86,...,-26.19
AerCap Holdings,AER,39.80,40.12,38.76,39.60,0.14,0.35,"1,530,640",58.30,36.16,...,...,5.76,-24.73
Aerohive Networks,HIVE,3.27,3.32,3.22,3.26,-0.01,-0.31,"209,742",6.01,3.19,...,...,...,-44.08
Aerojet Rocketdyne Holdings,AJRD,34.88,35.46,34.70,35.23,0.54,1.56,"492,774",38.92,24.41,...,...,46.62,12.92
