Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg
3D Systems,DDD,11.01,11.26,10.93,11.01,-0.16,-1.43,"941,180",21.78,8.88,...,...,...,8.26
3M,MMM,190.64,192.83,189.80,192.17,-0.04,-0.02,"1,705,454",259.77,176.87,5.44,2.83,25.69,0.86
8X8,EGHT,19.92,19.95,19.50,19.79,-0.41,-2.03,"417,490",23.50,15.05,...,...,...,9.70
58.com ADR,WUBA,55.71,56.10,55.00,55.21,-1.26,-2.23,"564,579",89.90,50.30,...,...,27.16,1.84
500.com ADR,WBAI,12.71,13.29,12.52,13.29,0.47,3.67,"36,059",23.22,5.22,...,...,...,75.33
A10 Networks,ATEN,6.64,6.64,6.22,6.25,-0.45,-6.72,"394,205",7.67,5.51,...,...,...,0.16
AAC Holdings,AAC,2.41,2.97,2.26,2.93,0.49,20.08,"1,027,144",12.96,1.33,...,...,...,109.29
AAR Corp.,AIR,39.25,39.25,37.72,37.77,-1.78,-4.50,"243,686",51.52,33.94,0.30,0.79,26.84,1.15
Aaron's Inc.,AAN,45.99,46.72,45.78,46.16,-0.33,-0.71,"287,352",56.00,36.20,0.14,0.30,10.61,9.77
ABB ADR,ABB,19.29,19.52,19.25,19.41,0.01,0.05,"1,634,639",28.67,18.05,0.83,4.26,18.42,2.10
Abbott Laboratories,ABT,68.41,68.80,68.13,68.27,-0.74,-1.07,"3,888,104",74.92,55.58,1.28,1.87,140.73,-5.61
AbbVie,ABBV,86.97,86.97,84.49,84.76,-2.48,-2.84,"6,261,918",125.86,77.50,4.28,5.05,17.51,-8.06
Abercrombie&Fitch,ANF,19.79,20.82,19.07,19.16,-0.95,-4.72,"3,498,690",29.69,15.28,0.80,4.18,26.60,-4.44
ABM Industries,ABM,34.00,34.62,33.70,34.11,-0.17,-0.50,"644,276",40.00,25.64,0.72,2.11,23.12,6.23
Acadia Realty Trust,AKR,26.08,26.32,25.80,25.81,-0.38,-1.45,"272,049",29.28,21.34,1.12,4.34,538.83,8.63
Accenture Cl A,ACN,144.78,145.66,144.15,144.93,-1.30,-0.89,"1,329,096",175.64,132.63,2.92,2.01,22.26,2.78
ACCO Brands,ACCO,8.34,8.51,8.27,8.33,-0.02,-0.24,"500,785",14.63,6.07,0.24,2.88,6.17,22.86
Acorn International ADR,ATV,25.13,25.13,24.25,24.31,-0.59,-2.37,"1,410",38.86,13.50,...,...,...,11.00
Actuant Cl A,ATU,22.02,22.24,21.78,21.97,-0.23,-1.04,"170,830",31.00,19.07,0.04,0.18,...,4.67
Acuity Brands,AYI,121.43,121.95,119.31,121.52,-0.21,-0.17,"398,634",173.01,103.48,0.52,0.43,13.79,5.72
Acushnet Holdings,GOLF,22.22,22.55,22.22,22.50,0.19,0.85,"179,756",27.87,17.55,0.52,2.31,16.92,6.79
Adecoagro,AGRO,7.11,7.30,7.08,7.14,-0.03,-0.42,"142,394",10.30,6.40,...,...,...,2.59
Adient,ADNT,17.78,18.80,17.55,18.40,0.35,1.94,"2,912,320",83.44,14.52,1.10,5.98,...,22.18
ADT,ADT,7.08,7.15,6.87,6.97,-0.13,-1.83,"2,196,559",13.02,5.88,0.14,2.01,32.77,15.97
Adtalem Global Education,ATGE,46.97,47.44,46.69,47.20,-0.17,-0.36,"369,851",58.80,42.45,...,...,280.29,-0.25
Advance Auto Parts,AAP,157.79,159.49,156.69,158.72,-0.70,-0.44,"1,158,721",186.15,102.15,0.24,0.15,21.22,0.80
Advanced Disposal Services,ADSW,24.52,24.56,24.24,24.34,-0.27,-1.10,"149,015",27.93,21.50,...,...,44.89,1.67
Advanced Drainage Systems,WMS,25.37,25.88,25.29,25.30,-0.25,-0.98,"111,280",33.50,21.70,0.32,1.26,18.61,4.33
AdvanSix,ASIX,27.42,27.84,27.16,27.49,-0.20,-0.72,"113,225",44.44,22.57,...,...,7.30,12.94
AECOM,ACM,28.83,29.43,28.81,29.16,-0.03,-0.10,"612,583",39.90,24.83,...,...,35.17,10.04
Aegon ADR,AEG,4.91,5.06,4.90,5.01,0.07,1.42,"3,597,004",7.48,4.42,0.32,6.37,...,7.74
AerCap Holdings,AER,45.79,46.11,45.13,45.24,-0.87,-1.89,"985,361",58.30,36.16,...,...,6.58,14.24
Aerohive Networks,HIVE,3.42,3.45,3.37,3.37,-0.06,-1.75,"201,118",5.97,3.19,...,...,...,3.37
Aerojet Rocketdyne Holdings,AJRD,36.82,37.16,36.54,36.65,0.01,0.03,"306,963",38.92,24.41,...,...,48.50,4.03
AES,AES,15.25,15.25,14.78,15.04,-0.35,-2.27,"5,876,889",16.28,9.87,0.55,3.63,29.46,4.01
