Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg
3D Systems,DDD,12.30,12.61,12.20,12.48,0.07,0.56,"2,215,562",17.48,7.92,...,...,...,44.44
3M,MMM,208.25,209.25,204.76,205.12,-2.30,-1.11,"1,798,968",259.77,190.57,5.44,2.65,28.37,-12.85
8X8,EGHT,20.55,20.65,19.50,19.85,-0.90,-4.34,"1,409,607",23.10,13.90,...,...,...,40.78
58.com ADR,WUBA,66.55,66.60,64.55,66.39,-0.37,-0.55,"1,410,361",89.90,49.50,...,...,44.47,-7.24
500.com ADR,WBAI,13.50,13.67,13.07,13.54,0.27,2.03,"32,288",23.22,9.05,...,...,...,33.93
A10 Networks,ATEN,6.87,6.90,6.77,6.84,-0.05,-0.73,"338,068",8.25,5.63,...,...,...,-11.40
AAC Holdings,AAC,10.30,10.51,10.30,10.47,0.18,1.75,"86,823",13.06,5.99,...,...,...,16.33
AAR Corp.,AIR,47.48,47.68,46.44,46.54,-0.91,-1.92,"162,681",49.05,34.25,0.30,0.64,109.66,18.45
Aaron's Inc.,AAN,43.50,43.84,41.73,41.94,-1.53,-3.52,"1,175,260",50.80,34.29,0.12,0.29,10.28,5.24
ABB ADR,ABB,22.97,23.00,22.82,22.84,-0.06,-0.26,"1,372,776",28.67,21.22,0.83,3.62,21.82,-14.84
Abbott Laboratories,ABT,64.97,65.51,64.97,65.17,-0.09,-0.14,"4,879,233",65.90,48.05,1.12,1.72,128.85,14.19
AbbVie,ABBV,90.67,91.54,89.38,91.45,0.89,0.98,"6,321,362",125.86,69.47,3.84,4.20,22.64,-5.44
Abercrombie&Fitch,ANF,23.15,23.70,22.97,23.58,0.43,1.86,"1,846,415",29.20,9.03,0.80,3.39,67.37,35.28
ABM Industries,ABM,30.83,31.08,30.79,30.86,0.04,0.13,"437,915",45.12,28.17,0.70,2.27,22.98,-18.19
Acadia Realty Trust,AKR,25.87,26.61,25.86,26.51,0.15,0.57,"305,576",30.63,21.34,1.08,4.07,...,-3.11
Accenture Cl A,ACN,162.24,162.42,158.08,159.42,-2.60,-1.60,"2,517,158",168.95,127.26,2.66,1.67,25.55,4.13
ACCO Brands,ACCO,13.85,14.00,13.55,13.60,-0.30,-2.16,"685,431",14.63,10.35,0.24,1.76,10.79,11.48
Acorn International ADR,ATV,26.21,26.21,25.13,25.41,-0.58,-2.23,"5,229",38.86,9.33,...,...,...,44.04
Actuant Cl A,ATU,27.95,28.25,27.70,27.75,-0.20,-0.72,"230,481",30.05,21.50,0.04,0.14,...,9.68
Acuity Brands,AYI,134.20,138.30,134.20,136.09,1.75,1.30,"725,069",205.00,109.98,0.52,0.38,17.05,-22.68
Acushnet Holdings,GOLF,24.35,24.82,24.33,24.67,0.30,1.23,"148,994",25.66,15.16,0.52,2.11,19.43,17.03
Adecoagro,AGRO,8.59,8.67,8.49,8.51,-0.13,-1.50,"262,263",11.15,7.20,...,...,85.96,-17.70
