Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg
3D Systems,DDD,14.18,14.26,13.45,14.01,-0.31,-2.16,"2,394,273",22.12,7.92,...,...,...,62.15
3M,MMM,195.98,196.33,193.64,195.80,-0.70,-0.36,"2,830,344",259.77,191.44,5.44,2.78,29.05,-16.81
8X8,EGHT,19.40,19.45,18.60,18.80,-0.80,-4.08,"937,022",23.05,13.90,...,...,...,33.33
58.com ADR,WUBA,77.00,77.67,69.92,70.56,-7.77,-9.92,"2,428,560",89.90,42.52,...,...,47.26,-1.41
500.com ADR,WBAI,16.25,16.85,15.68,15.74,-0.59,-3.61,"202,743",23.22,9.05,...,...,...,55.69
A10 Networks,ATEN,6.52,6.52,6.21,6.22,-0.34,-5.18,"302,731",8.85,5.63,...,...,...,-19.43
AAC Holdings,AAC,10.10,10.10,9.84,9.93,-0.16,-1.59,"146,739",13.06,5.99,...,...,...,10.33
AAR Corp.,AIR,47.31,47.48,46.05,46.40,-0.89,-1.88,"146,550",49.05,33.92,0.30,0.65,65.87,18.10
Aaron's Inc.,AAN,45.13,45.20,44.45,45.00,-0.20,-0.44,"566,276",49.77,34.29,0.12,0.27,11.11,12.92
ABB ADR,ABB,21.93,21.97,21.61,21.70,-0.77,-3.43,"2,195,941",28.67,21.61,0.83,3.81,22.33,-19.09
Abbott Laboratories,ABT,61.70,61.77,60.32,60.77,-1.17,-1.89,"5,694,339",64.60,47.83,1.12,1.84,235.91,6.48
AbbVie,ABBV,93.47,94.38,92.10,93.05,-0.44,-0.47,"5,437,960",125.86,69.38,3.84,4.13,23.44,-3.78
Abercrombie&Fitch,ANF,27.65,27.70,26.37,26.55,-1.38,-4.94,"2,147,993",29.20,8.81,0.80,3.01,75.86,52.32
ABM Industries,ABM,30.32,30.35,29.84,30.13,-0.35,-1.15,"580,742",45.12,28.17,0.70,2.32,22.44,-20.12
Acadia Realty Trust,AKR,28.48,28.56,28.08,28.26,-0.13,-0.46,"545,096",30.63,21.34,1.08,3.82,588.75,3.29
Accenture Cl A,ACN,157.99,158.06,155.35,156.16,-3.47,-2.17,"2,977,994",165.58,122.00,2.66,1.70,27.44,2.01
ACCO Brands,ACCO,13.40,13.60,13.35,13.60,0.10,0.74,"592,217",13.97,10.35,0.24,1.76,10.79,11.48
Acorn International ADR,ATV,16.05,22.00,16.05,20.54,4.90,31.33,"112,035",38.86,9.33,...,...,...,16.43
Actuant Cl A,ATU,29.70,29.70,29.02,29.30,-0.45,-1.51,"736,834",30.05,21.50,0.04,0.14,...,15.81
Acuity Brands,AYI,120.46,121.49,118.70,120.11,-1.30,-1.07,"672,343",208.82,109.98,0.52,0.43,14.87,-31.76
Acushnet Holdings,GOLF,24.50,24.54,24.01,24.33,-0.24,-0.98,"196,016",25.66,15.16,0.52,2.14,19.16,15.42
Adecoagro,AGRO,8.52,8.58,8.31,8.38,-0.14,-1.64,"811,757",11.15,7.20,...,...,84.65,-18.96
Adient,ADNT,49.84,50.36,49.17,49.99,-0.08,-0.16,"1,162,684",86.42,47.03,1.10,2.20,29.06,-36.48
ADT,ADT,8.73,8.80,8.53,8.69,-0.04,-0.46,"4,644,175",13.02,6.93,0.14,1.61,...,...
Adtalem Global Education,ATGE,48.05,48.05,46.55,47.00,-1.10,-2.29,"337,595",50.15,30.15,...,...,234.65,11.77
Advance Auto Parts,AAP,137.94,137.99,135.21,137.27,-1.58,-1.14,"909,669",143.42,78.81,0.24,0.17,20.19,37.70
