Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg
3D Systems,DDD,9.90,10.23,9.70,10.05,0.07,0.70,"2,482,120",23.70,7.92,...,...,...,16.32
3M,MMM,200.06,201.00,199.58,200.26,0.90,0.45,"2,786,772",259.77,191.44,5.44,2.72,29.71,-14.92
8X8,EGHT,21.35,21.80,21.35,21.75,0.55,2.59,"502,160",21.80,13.90,...,...,...,54.26
58.com ADR,WUBA,88.99,89.90,88.51,89.00,1.21,1.38,"988,503",89.90,39.68,...,...,68.98,24.35
500.com ADR,WBAI,20.01,20.90,19.56,20.76,0.75,3.75,"238,745",23.22,8.51,...,...,...,105.34
A10 Networks,ATEN,6.30,6.38,6.24,6.32,0.04,0.64,"342,356",8.88,5.63,...,...,...,-18.13
AAC Holdings,AAC,11.57,12.07,11.35,11.75,0.24,2.09,"173,654",13.06,5.99,...,...,...,30.56
AAR Corp.,AIR,44.49,45.49,44.48,45.32,0.93,2.10,"176,346",45.91,33.17,0.30,0.66,64.34,15.35
Aaron's Inc.,AAN,41.60,41.86,40.21,40.36,-1.21,-2.91,"658,267",49.77,34.02,0.12,0.30,9.97,1.28
ABB ADR,ABB,23.58,23.80,23.57,23.68,0.24,1.02,"1,085,950",28.67,21.92,0.83,3.49,24.36,-11.71
Abbott Laboratories,ABT,58.99,59.76,58.94,59.32,0.58,0.99,"5,397,936",64.60,42.88,1.12,1.89,230.28,3.94
AbbVie,ABBV,100.75,101.27,99.24,99.63,-0.54,-0.54,"6,088,232",125.86,64.61,3.84,3.85,25.10,3.02
Abercrombie&Fitch,ANF,25.50,25.60,24.94,25.23,-0.17,-0.67,"2,753,720",29.20,8.81,0.80,3.17,420.50,44.75
ABM Industries,ABM,30.37,30.37,30.09,30.14,-0.18,-0.59,"714,712",45.12,29.87,0.70,2.32,20.19,-20.10
Acadia Realty Trust,AKR,24.32,24.39,24.02,24.18,0.05,0.21,"507,249",30.63,21.34,1.08,4.47,503.75,-11.62
Accenture Cl A,ACN,152.95,153.08,151.84,152.30,-1.14,-0.74,"2,024,130",165.58,119.10,2.66,1.75,26.77,-0.52
ACCO Brands,ACCO,11.95,12.10,11.60,11.65,-0.15,-1.27,"622,841",13.97,10.35,0.24,2.06,9.25,-4.51
Acorn International ADR,ATV,25.55,26.00,25.55,26.00,0.25,0.97,"1,085",28.50,9.33,...,...,...,47.39
Actuant Cl A,ATU,23.50,24.25,23.50,24.00,0.55,2.35,"242,559",27.95,21.50,0.04,0.17,...,-5.14
Acuity Brands,AYI,112.59,113.31,109.98,110.22,-1.90,-1.69,"904,535",208.82,109.98,0.52,0.47,13.64,-37.38
Acushnet Holdings,GOLF,22.46,22.98,22.32,22.96,0.61,2.73,"276,582",24.70,15.16,0.52,2.26,18.08,8.92
Adecoagro,AGRO,7.30,7.72,7.30,7.63,0.33,4.52,"749,137",11.92,7.20,...,...,94.20,-26.21
Adient,ADNT,54.98,56.44,54.70,56.15,1.16,2.11,"2,356,980",86.42,54.11,1.10,1.96,10.10,-28.65
ADT,ADT,8.15,8.47,8.15,8.44,0.36,4.46,"2,561,256",13.02,7.36,...,...,...,...
Adtalem Global Education,ATGE,45.65,47.38,45.30,46.00,1.15,2.56,"796,986",50.15,30.15,...,...,229.66,9.39
Advance Auto Parts,AAP,116.99,117.50,115.09,116.14,-0.53,-0.45,"635,615",151.72,78.81,0.24,0.21,18.09,16.50
Advanced Disposal Services,ADSW,22.81,23.27,22.65,22.86,-0.01,-0.04,"546,440",25.71,20.94,...,...,43.32,-4.51
Advanced Drainage Systems,WMS,24.90,25.30,24.75,25.15,0.30,1.21,"103,238",28.15,17.90,0.28,1.11,33.99,5.45
AdvanSix,ASIX,36.57,36.57,33.82,34.30,-2.01,-5.54,"377,551",46.51,26.45,...,...,8.19,-18.47
Advantage Oil&Gas,AAV,3.05,3.10,2.90,2.95,-0.05,-1.67,"413,578",7.35,2.70,...,...,11.51,-31.40
AECOM,ACM,34.20,34.87,33.91,34.53,0.43,1.26,"1,176,778",39.90,30.15,...,...,13.65,-7.05
Aegean Marine Petroleum Network,ANW,3.50,3.55,3.25,3.30,-0.15,-4.35,"546,898",10.80,1.75,0.04,1.21,...,-23.26
Aegon ADR,AEG,6.99,7.01,6.96,6.99,-0.04,-0.57,"1,104,438",7.48,4.81,0.35,4.99,5.87,10.95
AerCap Holdings,AER,54.29,54.64,54.09,54.14,-0.04,-0.07,"1,042,741",55.66,42.35,...,...,9.49,2.91
Aerohive Networks,HIVE,4.05,4.27,4.01,4.16,0.12,2.97,"243,736",6.50,3.02,...,...,...,-28.64
Aerojet Rocketdyne Holdings,AJRD,25.69,25.84,25.54,25.83,0.18,0.70,"865,376",36.25,20.06,...,...,...,-17.21
AES,AES,12.32,12.38,12.19,12.37,0.04,0.32,"12,274,114",12.45,9.87,0.52,4.20,...,14.22
Aetna,AET,172.39,172.69,171.35,171.40,-0.86,-0.50,"2,021,293",194.40,138.91,2.00,1.17,16.28,-4.98
Affiliated Managers Group,AMG,162.66,163.95,160.95,162.45,0.73,0.45,"305,298",217.00,148.81,1.20,0.74,12.78,-20.85
AFLAC,AFL,44.81,44.83,44.31,44.59,-0.22,-0.49,"2,757,979",46.19,36.41,1.04,2.33,7.46,1.59
AGCO,AGCO,60.50,61.97,60.29,61.68,1.49,2.48,"572,705",75.95,58.12,0.60,0.97,22.43,-13.65
Agilent Technologies,A,67.16,67.98,67.07,67.39,0.39,0.58,"1,341,343",75.00,55.60,0.60,0.88,114.22,0.63
AG Mortgage Investment Trust,MITT,18.49,18.52,18.36,18.44,0.04,0.22,"110,580",19.95,16.31,1.90,10.30,5.85,-3.00
Agnico-Eagle Mines,AEM,42.59,43.12,42.50,42.77,0.03,0.07,"600,419",51.86,37.35,0.44,1.03,47.52,-7.38
Agree Realty,ADC,49.51,50.35,49.51,50.22,0.50,1.01,"137,141",53.65,43.74,2.08,4.14,24.30,-2.37
A. H. Belo Series A,AHC,4.95,5.10,4.90,5.00,0.05,1.01,"30,072",6.15,4.35,0.32,6.40,10.43,4.17
Aircastle,AYR,21.56,21.68,21.14,21.40,-0.04,-0.19,"441,777",25.30,18.97,1.12,5.23,11.38,-8.51
Air Lease,AL,43.51,43.60,43.08,43.23,-0.07,-0.16,"509,909",50.70,34.42,0.40,0.93,6.34,-10.11
Air Products&Chemicals,APD,162.97,164.62,162.85,163.45,0.69,0.42,"822,400",175.17,140.78,4.40,2.69,31.55,-0.38
AK Steel Holding,AKS,4.54,4.59,4.49,4.54,0.01,0.22,"8,791,721",7.04,4.00,...,...,...,-19.79
Alamo Group,ALG,96.79,96.79,93.09,95.69,-1.08,-1.12,"136,091",120.58,81.67,0.44,0.46,23.97,-15.22
Alamos Gold,AGI,5.39,5.43,5.30,5.31,-0.06,-1.12,"956,500",8.58,4.83,0.02,0.38,58.03,-18.43
Alaska Air Group,ALK,62.79,62.80,61.18,61.65,-1.15,-1.83,"1,975,478",95.75,57.60,1.28,2.08,8.20,-16.13
Albany International Cl A,AIN,58.75,60.05,58.75,59.90,1.55,2.66,"87,200",68.85,45.80,0.68,1.14,62.40,-2.52
Albemarle,ALB,100.11,102.38,99.69,100.11,0.05,0.05,"1,383,877",144.99,86.75,1.34,1.34,23.16,-21.72
Alcoa,AA,54.80,55.38,54.32,54.55,0.16,0.29,"2,426,788",62.35,29.55,...,...,73.72,1.26
Alexander&Baldwin,ALEX,23.11,23.40,23.10,23.26,0.18,0.78,"204,460",46.96,21.78,...,...,6.73,-16.15
Alexander's Inc.,ALX,385.86,390.00,385.50,387.56,0.14,0.04,"3,881",437.35,332.98,18.00,4.64,40.33,-2.09
Alexandria Real Estate Equities,ARE,129.18,130.06,128.34,129.80,1.25,0.97,"448,727",134.37,113.01,3.60,2.77,49.81,-0.60
Algonquin Power&Utilities,AQN,9.98,10.02,9.95,9.99,0.04,0.40,"136,370",11.34,9.51,0.47,4.66,26.86,-10.48
Alibaba Group Holding ADR,BABA,190.41,196.60,190.30,195.35,6.46,3.42,"29,209,299",206.20,114.00,...,...,51.01,13.29
Alleghany,Y,580.52,583.19,575.75,575.75,-1.74,-0.30,"47,073",639.42,521.07,...,...,85.93,-3.41
Allegheny Technologies,ATI,27.86,28.58,27.86,28.50,0.67,2.41,"1,825,115",30.25,14.54,...,...,...,18.06
Allegion,ALLE,76.20,76.56,75.44,75.74,-0.41,-0.54,"931,326",89.81,73.85,0.84,1.11,26.21,-4.80
Allergan,AGN,149.25,150.41,146.99,147.09,-2.21,-1.48,"2,116,429",256.80,142.81,2.88,1.96,...,-10.08
Allete,ALE,79.10,79.40,78.34,78.86,-0.76,-0.95,"279,002",81.24,66.64,2.24,2.84,23.19,6.05
AllianceBernstein Holding,AB,26.75,27.10,26.57,27.00,0.35,1.31,"294,096",28.15,20.60,2.92,10.81,11.59,7.78
Alliance Data Systems,ADS,198.20,200.34,197.57,199.10,2.08,1.06,"683,551",278.33,192.02,2.28,1.15,13.74,-21.45
Alliance One International,AOI,20.55,20.95,17.66,18.95,-1.55,-7.56,"371,704",30.70,9.85,...,...,3.03,43.02
Alliant Energy,LNT,43.23,43.29,42.84,42.94,-0.33,-0.76,"1,022,491",45.55,36.84,1.34,3.12,20.74,0.77
Allison Transmission Holdings,ALSN,41.24,42.12,41.06,41.85,0.82,2.00,"1,945,189",45.69,32.93,0.60,1.43,10.53,-2.83
Allstate,ALL,94.57,95.51,93.90,95.06,0.54,0.57,"1,625,741",105.36,83.11,1.84,1.94,10.32,-9.22
Ally Financial,ALLY,26.42,26.65,26.36,26.54,0.18,0.68,"1,874,391",31.29,18.11,0.52,1.96,12.29,-8.98
Alteryx Cl A,AYX,32.99,34.18,32.63,33.88,1.19,3.64,"949,889",39.21,16.66,...,...,...,34.07
Altice USA Cl A,ATUS,16.80,17.09,16.72,16.89,0.09,0.54,"2,713,550",35.29,16.60,...,...,8.50,-20.44
Altria Group,MO,56.26,56.39,55.59,55.71,-0.55,-0.98,"5,186,115",77.79,54.23,2.80,5.03,9.95,-21.99
Aluminum Corp. of China ADR,ACH,13.72,13.91,13.72,13.87,0.06,0.43,"84,315",23.54,11.01,...,...,42.57,-22.64
Amber Road,AMBR,9.46,9.65,9.42,9.54,0.12,1.27,"39,425",10.29,6.14,...,...,...,29.97
Ambev ADR,ABEV,6.32,6.37,6.22,6.26,-0.07,-1.11,"15,084,225",7.43,5.30,...,...,43.05,-3.10
AMC Entertainment Holding,AMC,16.45,17.40,16.35,17.20,0.90,5.52,"2,267,565",30.10,10.80,0.80,4.65,...,13.91
Ameren,AEE,58.88,58.98,58.44,58.54,-0.36,-0.61,"986,297",64.89,51.89,1.83,3.13,27.12,-0.76
Ameresco,AMRC,11.40,11.45,11.05,11.25,-0.20,-1.75,"159,086",13.20,5.25,...,...,11.36,30.81
America Movil ADR,AMX,17.74,17.78,17.40,17.48,-0.27,-1.52,"1,131,166",19.91,14.96,0.31,1.79,90.34,1.92
America Movil Cl A ADR,AMOV,17.70,17.70,17.36,17.36,-0.29,-1.62,"1,208",19.87,14.91,0.31,1.80,89.72,2.09
American Assets Trust,AAT,34.36,34.96,34.31,34.93,0.77,2.25,"448,947",41.69,30.62,1.08,3.09,77.62,-8.66
American Axle&Manufacturing Holdings,AXL,15.03,15.12,14.90,14.90,-0.10,-0.67,"1,739,565",20.27,13.38,...,...,4.89,-12.51
American Campus Communities,ACC,39.66,39.97,39.48,39.90,0.41,1.04,"425,606",49.26,34.52,1.84,4.61,90.97,-2.75
American Eagle Outfitters,AEO,20.15,20.15,19.45,19.73,-0.38,-1.89,"5,887,910",22.03,10.23,0.55,2.79,17.31,4.95
American Electric Power,AEP,69.34,69.45,68.64,68.78,-0.61,-0.88,"1,957,534",78.07,63.32,2.48,3.61,19.16,-6.51
American Equity Investment Life Holding,AEL,29.30,30.10,29.25,29.56,0.37,1.27,"498,603",35.79,23.02,0.26,0.88,10.23,-3.81
American Express,AXP,98.53,98.99,98.29,98.58,0.23,0.23,"2,104,655",102.96,75.97,1.40,1.42,28.82,-0.74
American Financial Group,AFG,110.14,110.79,109.48,110.60,0.63,0.57,"323,114",121.69,95.19,1.40,1.27,21.38,1.90
American Homes 4 Rent Cl A,AMH,20.52,20.63,20.43,20.52,0.03,0.15,"1,304,441",23.23,18.39,0.20,0.97,...,-6.04
American International Group,AIG,52.65,53.68,52.02,53.28,0.44,0.83,"10,019,642",67.30,49.57,1.28,2.40,...,-10.57
American International Group WT,AIG%,14.41,14.72,14.00,14.21,-0.48,-3.23,"358,570",24.50,13.25,...,...,...,-21.58
American Midstream Partners,AMID,9.80,10.25,9.60,9.60,-0.35,-3.52,"372,287",15.25,9.55,1.65,17.19,...,-28.09
American Realty Investors,ARL,17.50,18.39,17.25,18.39,0.24,1.32,"4,587",21.57,7.00,...,...,...,43.11
American Renal Associates Holdings,ARA,14.63,15.33,14.63,15.32,0.72,4.93,"181,238",24.07,9.91,...,...,...,-11.95
