Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg
3D Systems,DDD,12.80,13.05,12.30,12.78,-0.02,-0.16,"1,215,185",21.78,7.92,...,...,...,47.92
3M,MMM,200.57,200.77,196.50,197.04,-4.06,-2.02,"2,467,213",259.77,181.98,5.44,2.76,26.34,-16.28
8X8,EGHT,18.45,18.55,17.97,18.03,-0.54,-2.91,"1,172,096",23.50,13.90,...,...,...,27.87
58.com ADR,WUBA,60.11,60.34,56.56,57.17,-3.33,-5.50,"1,784,515",89.90,56.56,...,...,34.08,-20.12
500.com ADR,WBAI,7.65,7.99,7.65,7.82,0.06,0.77,"87,282",23.22,5.22,...,...,...,-22.65
A10 Networks,ATEN,6.32,6.36,6.20,6.21,-0.13,-2.05,"223,222",8.25,5.51,...,...,...,-19.56
AAC Holdings,AAC,3.00,3.00,2.67,2.76,-0.23,-7.69,"473,731",12.96,2.67,...,...,...,-69.33
AAR Corp.,AIR,48.88,48.90,47.59,47.61,-1.39,-2.84,"153,509",51.52,36.46,0.30,0.63,86.56,21.18
Aaron's Inc.,AAN,49.70,50.26,49.00,49.06,-0.52,-1.05,"1,082,335",56.00,35.16,0.14,0.29,11.28,23.11
ABB ADR,ABB,19.82,19.86,19.56,19.58,-0.57,-2.83,"4,062,623",28.67,19.08,0.83,4.22,18.58,-26.99
Abbott Laboratories,ABT,72.73,72.90,70.40,70.56,-2.23,-3.06,"5,841,019",74.15,54.32,1.12,1.59,145.45,23.64
AbbVie,ABBV,88.75,89.89,88.50,89.69,0.90,1.01,"8,662,977",125.86,77.50,4.28,4.77,18.53,-7.26
Abercrombie&Fitch,ANF,18.99,19.30,18.66,19.22,0.34,1.80,"2,180,142",29.69,11.97,0.80,4.16,36.96,10.27
ABM Industries,ABM,31.90,31.91,30.55,30.62,-1.29,-4.04,"506,439",44.70,28.17,0.70,2.29,24.06,-18.82
Acadia Realty Trust,AKR,28.86,29.22,28.66,28.69,-0.15,-0.52,"277,969",29.53,21.34,1.08,3.76,598.96,4.86
Accenture Cl A,ACN,164.52,164.95,162.32,162.44,-2.71,-1.64,"2,211,085",175.64,142.77,2.92,1.80,25.62,6.11
ACCO Brands,ACCO,8.36,8.44,8.12,8.22,-0.12,-1.44,"480,247",14.63,7.39,0.24,2.92,6.09,-32.62
Acorn International ADR,ATV,20.19,22.72,20.19,21.30,1.10,5.46,"22,040",38.86,13.50,...,...,...,20.74
Actuant Cl A,ATU,25.50,25.50,24.84,25.03,-0.46,-1.80,"341,938",31.00,21.50,0.04,0.16,...,-1.07
Acuity Brands,AYI,127.18,127.18,123.00,124.82,-2.12,-1.67,"431,754",186.99,109.98,0.52,0.42,14.63,-29.08
Acushnet Holdings,GOLF,25.18,25.41,24.86,24.95,-0.28,-1.11,"102,330",27.87,16.91,0.52,2.08,18.76,18.36
Adecoagro,AGRO,7.26,7.35,7.16,7.28,...,...,"398,695",10.63,6.93,...,...,...,-29.59
Adient,ADNT,21.47,22.20,21.09,21.86,0.34,1.58,"3,827,148",84.59,21.09,1.10,5.03,168.15,-72.22
ADT,ADT,7.82,8.04,7.45,7.45,-0.40,-5.10,"1,575,794",13.02,6.93,0.14,1.88,35.14,...
Adtalem Global Education,ATGE,58.04,58.78,57.68,58.16,0.16,0.28,"456,601",58.78,36.80,...,...,345.37,38.31
Advance Auto Parts,AAP,170.33,170.90,166.19,167.06,-4.12,-2.41,"1,506,505",174.71,80.46,0.24,0.14,23.14,67.58
Advanced Disposal Services,ADSW,26.70,27.41,26.70,26.89,0.21,0.79,"304,371",27.93,21.50,...,...,49.80,12.32
Advanced Drainage Systems,WMS,27.68,28.09,26.73,26.80,-1.05,-3.77,"206,595",33.50,21.00,0.32,1.19,19.71,12.37
AdvanSix,ASIX,27.10,27.22,26.63,26.72,-0.48,-1.76,"97,828",44.44,22.84,...,...,7.09,-36.49
AECOM,ACM,31.00,32.30,29.43,30.98,-1.74,-5.32,"2,698,900",39.90,29.13,...,...,36.02,-16.61
Aegon ADR,AEG,6.22,6.23,6.15,6.16,-0.10,-1.60,"1,186,199",7.48,5.80,0.32,5.18,...,-2.22
AerCap Holdings,AER,52.22,52.56,51.57,51.60,-0.65,-1.24,"1,544,042",58.30,48.29,...,...,7.50,-1.92
Aerohive Networks,HIVE,3.93,3.98,3.92,3.95,-0.01,-0.25,"250,889",6.50,3.54,...,...,...,-32.25
Aerojet Rocketdyne Holdings,AJRD,38.05,38.29,36.61,36.64,-1.30,-3.43,"506,278",38.92,24.41,...,...,48.48,17.44
