Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg
3D Systems,DDD,17.76,18.03,17.19,17.85,-0.12,-0.67,"1,354,580",21.78,7.92,...,...,...,106.60
3M,MMM,213.13,214.58,212.26,214.37,1.18,0.55,"1,602,222",259.77,190.57,5.44,2.54,29.65,-8.92
8X8,EGHT,20.18,20.23,19.21,19.47,-0.82,-4.04,"521,460",23.50,13.90,...,...,...,38.09
58.com ADR,WUBA,64.62,65.54,63.64,64.92,-1.60,-2.41,"879,210",89.90,56.70,...,...,38.70,-9.29
500.com ADR,WBAI,10.10,10.10,8.92,9.26,-0.99,-9.66,"124,120",23.22,8.92,...,...,...,-8.41
A10 Networks,ATEN,6.07,6.10,5.88,5.92,-0.15,-2.47,"272,263",8.25,5.63,...,...,...,-23.32
AAC Holdings,AAC,6.97,7.14,6.97,7.08,0.08,1.14,"102,595",12.96,6.72,...,...,...,-21.33
AAR Corp.,AIR,46.22,46.42,45.69,45.92,-0.34,-0.73,"127,015",51.52,36.46,0.30,0.65,83.49,16.87
Aaron's Inc.,AAN,53.30,54.01,52.34,53.21,-0.10,-0.19,"342,046",56.00,34.29,0.12,0.23,13.04,33.53
ABB ADR,ABB,22.32,22.50,22.27,22.48,-0.16,-0.71,"1,597,816",28.67,21.22,0.83,3.67,21.48,-16.18
Abbott Laboratories,ABT,71.58,72.39,70.60,71.44,-0.14,-0.20,"5,507,050",74.15,53.61,1.12,1.57,141.44,25.18
AbbVie,ABBV,94.07,95.37,93.75,94.81,0.43,0.46,"3,297,927",125.86,85.24,3.84,4.05,23.47,-1.96
Abercrombie&Fitch,ANF,20.02,20.11,19.45,19.78,-0.17,-0.85,"1,648,528",29.69,11.62,0.80,4.04,38.04,13.48
ABM Industries,ABM,31.83,32.13,31.71,32.11,0.26,0.82,"532,129",44.70,28.17,0.70,2.18,25.23,-14.87
Acadia Realty Trust,AKR,27.46,28.25,27.46,28.20,0.91,3.33,"694,155",30.63,21.34,1.08,3.83,...,3.07
Accenture Cl A,ACN,170.34,171.74,168.65,169.90,-1.33,-0.78,"1,635,255",175.64,136.03,2.92,1.72,26.80,10.98
ACCO Brands,ACCO,10.76,10.98,10.70,10.93,0.19,1.77,"475,909",14.63,10.63,0.24,2.20,8.47,-10.41
Acorn International ADR,ATV,21.00,21.19,20.00,21.19,0.64,3.11,"7,319",38.86,13.50,...,...,...,20.12
Actuant Cl A,ATU,27.38,27.55,27.20,27.42,-0.08,-0.29,"176,336",31.00,21.50,0.04,0.15,...,8.38
Acuity Brands,AYI,130.00,130.43,128.07,129.05,-1.94,-1.48,"638,435",186.99,109.98,0.52,0.40,15.13,-26.68
Acushnet Holdings,GOLF,25.97,26.04,25.31,25.54,-0.37,-1.43,"191,023",27.87,16.91,0.52,2.04,18.78,21.16
Adecoagro,AGRO,7.35,7.51,7.29,7.45,0.15,2.05,"306,366",10.91,6.93,...,...,...,-27.95
Adient,ADNT,33.65,34.73,33.56,34.42,0.32,0.94,"1,093,090",86.27,33.56,1.10,3.20,264.77,-56.26
ADT,ADT,8.64,8.72,8.55,8.64,-0.05,-0.58,"1,501,854",13.02,6.93,0.14,1.62,...,...
Adtalem Global Education,ATGE,46.21,46.37,45.21,45.49,-0.56,-1.22,"444,394",56.45,30.71,...,...,86.09,8.18
Advance Auto Parts,AAP,165.40,169.16,165.40,168.36,2.53,1.53,"733,795",171.33,78.81,0.24,0.14,23.32,68.88
Advanced Disposal Services,ADSW,26.00,26.36,25.96,26.30,0.34,1.31,"242,290",27.93,21.50,...,...,41.09,9.86
Advanced Drainage Systems,WMS,29.94,30.15,29.55,29.69,-0.28,-0.93,"120,463",33.50,17.90,0.32,1.08,24.74,24.49
AdvanSix,ASIX,33.08,33.84,32.97,33.03,-0.11,-0.33,"120,775",46.51,32.29,...,...,7.74,-21.49
AECOM,ACM,32.23,32.54,32.15,32.44,-0.02,-0.06,"530,318",39.90,30.95,...,...,37.72,-12.68
Aegean Marine Petroleum Network,ANW,1.41,1.44,1.41,1.41,-0.03,-2.08,"144,024",5.10,0.60,0.04,2.84,...,-67.21
Aegon ADR,AEG,6.42,6.50,6.41,6.49,-0.03,-0.46,"1,189,396",7.48,5.50,0.32,4.91,5.49,3.02
AerCap Holdings,AER,55.93,56.28,55.71,56.11,-0.11,-0.20,"1,001,917",58.30,48.29,...,...,8.36,6.65
Aerohive Networks,HIVE,4.07,4.09,4.02,4.03,-0.04,-0.98,"206,001",6.50,3.55,...,...,...,-30.87
Aerojet Rocketdyne Holdings,AJRD,32.64,32.94,32.40,32.67,0.03,0.09,"363,105",37.70,24.41,...,...,309.08,4.71
AES,AES,14.72,14.82,14.63,14.77,0.11,0.75,"6,298,145",14.82,9.87,0.52,3.52,24.90,36.38
Aetna,AET,203.74,204.62,203.20,204.11,0.39,0.19,"1,271,214",206.66,149.69,2.00,0.98,19.26,13.15
Affiliated Managers Group,AMG,133.78,133.97,132.51,133.55,-1.13,-0.84,"555,989",217.00,132.51,1.20,0.90,10.56,-34.93
AFLAC,AFL,46.40,47.29,46.31,47.13,0.63,1.35,"2,707,293",48.19,41.02,1.04,2.21,7.66,7.38
AGCO,AGCO,60.28,61.14,60.03,60.65,0.15,0.25,"407,130",75.95,56.36,0.60,0.99,22.05,-15.09
