Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg
3D Systems,DDD,18.64,18.90,18.31,18.68,0.06,0.32,"1,869,251",21.78,7.92,...,...,...,116.20
3M,MMM,213.68,216.37,212.86,212.93,0.36,0.17,"2,313,490",259.77,190.57,5.44,2.55,29.45,-9.53
8X8,EGHT,22.85,23.05,22.55,22.70,...,...,"588,664",23.45,13.90,...,...,...,60.99
58.com ADR,WUBA,72.01,72.01,67.00,68.10,-4.42,-6.09,"1,253,604",89.90,56.70,...,...,40.59,-4.85
500.com ADR,WBAI,11.50,11.81,11.20,11.77,0.27,2.35,"96,892",23.22,9.05,...,...,...,16.42
A10 Networks,ATEN,6.56,6.66,6.53,6.63,0.07,1.07,"233,076",8.25,5.63,...,...,...,-14.12
AAC Holdings,AAC,7.79,7.79,7.07,7.12,-0.66,-8.48,"154,957",13.06,7.07,...,...,...,-20.89
AAR Corp.,AIR,46.34,46.65,45.88,46.00,-0.09,-0.20,"86,204",49.05,34.88,0.30,0.65,108.39,17.08
Aaron's Inc.,AAN,51.04,51.77,50.53,51.25,0.64,1.26,"579,357",51.77,34.29,0.12,0.23,12.56,28.61
ABB ADR,ABB,23.42,23.46,23.28,23.31,0.16,0.69,"833,414",28.67,21.22,0.83,3.54,22.27,-13.09
Abbott Laboratories,ABT,66.45,66.93,66.44,66.55,0.34,0.51,"3,031,173",67.36,51.37,1.12,1.68,131.76,16.61
AbbVie,ABBV,94.98,95.17,93.70,93.82,-0.35,-0.37,"3,058,530",125.86,83.19,3.84,4.09,23.22,-2.99
Abercrombie&Fitch,ANF,20.14,20.69,20.13,20.46,0.40,1.99,"2,642,969",29.69,11.62,0.80,3.91,39.35,17.38
ABM Industries,ABM,33.80,34.65,33.80,33.97,0.22,0.65,"1,046,386",44.70,28.17,0.70,2.06,26.69,-9.94
Acadia Realty Trust,AKR,28.58,28.82,28.52,28.66,0.23,0.81,"483,348",30.63,21.34,1.08,3.77,...,4.75
Accenture Cl A,ACN,169.86,171.00,169.45,169.55,0.48,0.28,"1,674,807",171.00,132.27,2.66,1.57,27.17,10.75
ACCO Brands,ACCO,12.05,12.22,12.05,12.10,0.05,0.41,"291,221",14.63,10.78,0.24,1.98,9.38,-0.82
Acorn International ADR,ATV,21.13,21.78,20.68,21.24,-0.64,-2.93,"4,326",38.86,13.21,...,...,...,20.40
Actuant Cl A,ATU,29.75,30.10,29.70,29.75,0.10,0.34,"317,556",30.10,21.50,0.04,0.13,...,17.59
Acuity Brands,AYI,157.28,158.47,152.62,154.95,-1.46,-0.93,"523,660",186.99,109.98,0.52,0.34,19.42,-11.96
Acushnet Holdings,GOLF,26.91,27.04,26.77,26.99,0.21,0.78,"142,802",27.87,16.33,0.52,1.93,19.85,28.04
Adecoagro,AGRO,7.51,7.56,7.27,7.28,-0.21,-2.80,"481,111",11.15,7.20,...,...,...,-29.59
Adient,ADNT,40.85,41.47,40.85,41.27,0.63,1.55,"638,124",86.42,40.09,1.10,2.67,317.46,-47.56
ADT,ADT,8.85,8.89,8.59,8.64,-0.16,-1.82,"2,058,265",13.02,6.93,0.14,1.62,...,...
Adtalem Global Education,ATGE,46.10,46.20,44.95,45.25,-0.75,-1.63,"496,181",56.45,30.71,...,...,85.64,7.61
Advance Auto Parts,AAP,168.47,169.09,166.14,166.93,-0.35,-0.21,"792,584",170.91,78.81,0.24,0.14,23.12,67.45
Advanced Disposal Services,ADSW,27.77,27.93,27.66,27.76,0.06,0.22,"356,639",27.93,21.50,...,...,43.38,15.96
Advanced Drainage Systems,WMS,32.40,32.55,31.85,32.25,...,...,"309,210",33.50,17.90,0.32,0.99,26.88,35.22
AdvanSix,ASIX,34.92,35.18,34.80,35.01,0.30,0.86,"166,440",46.51,32.29,...,...,8.20,-16.78
Advantage Oil&Gas,AAV,2.50,2.58,2.40,2.45,-0.05,-2.00,"91,500",6.70,2.40,...,...,20.43,-43.02
AECOM,ACM,32.98,33.07,32.67,32.75,-0.04,-0.12,"944,820",39.90,30.95,...,...,38.08,-11.84
Aegean Marine Petroleum Network,ANW,1.73,1.81,1.71,1.79,0.06,3.47,"562,840",5.15,0.60,0.04,2.23,...,-58.37
Aegon ADR,AEG,6.01,6.02,5.94,5.96,0.04,0.68,"1,049,774",7.48,5.50,0.32,5.35,5.04,-5.40
AerCap Holdings,AER,56.73,57.12,56.58,56.85,0.43,0.76,"806,501",58.30,48.29,...,...,8.47,8.06
Aerohive Networks,HIVE,4.04,4.05,4.00,4.04,0.01,0.25,"207,015",6.50,3.55,...,...,...,-30.70
Aerojet Rocketdyne Holdings,AJRD,36.06,36.19,34.30,34.75,-1.19,-3.31,"482,578",37.70,24.41,...,...,328.76,11.38
AES,AES,13.18,13.25,13.07,13.22,0.11,0.84,"4,731,532",14.11,9.87,0.52,3.93,22.29,22.07
Aetna,AET,203.36,203.61,201.05,201.05,-2.03,-1.00,"2,015,898",203.74,149.69,2.00,0.99,18.97,11.45
Affiliated Managers Group,AMG,143.27,144.22,142.66,143.06,0.35,0.25,"289,994",217.00,141.09,1.20,0.84,11.31,-30.30
AFLAC,AFL,46.93,46.97,46.66,46.77,-0.05,-0.11,"2,292,034",47.15,40.55,1.04,2.22,7.60,6.56
AGCO,AGCO,60.44,61.20,60.29,60.64,0.20,0.33,"445,726",75.95,56.36,0.60,0.99,22.05,-15.11
Agilent Technologies,A,67.82,68.41,67.72,67.93,0.53,0.79,"1,919,906",75.00,60.42,0.60,0.88,74.65,1.43
AG Mortgage Investment Trust,MITT,18.98,19.00,18.86,18.90,-0.04,-0.21,"95,120",19.95,16.31,2.00,10.58,8.40,-0.58
Agnico-Eagle Mines,AEM,33.20,33.43,32.80,33.03,-0.13,-0.39,"1,949,974",50.82,32.18,0.44,1.33,50.05,-28.48
Agree Realty,ADC,55.00,55.67,54.02,55.42,0.68,1.24,"606,383",57.49,43.74,2.16,3.90,28.91,7.74
A. H. Belo Series A,AHC,4.55,4.55,4.45,4.50,-0.05,-1.10,"22,614",5.80,4.25,0.32,7.11,9.19,-6.25
Aircastle,AYR,20.26,20.48,20.18,20.40,0.25,1.24,"411,981",25.30,18.97,1.12,5.49,7.29,-12.78
Air Lease,AL,44.20,45.37,44.17,45.30,1.11,2.51,"656,478",50.70,39.53,0.40,0.88,6.33,-5.80
Air Products&Chemicals,APD,165.85,166.76,165.11,166.06,1.21,0.73,"558,690",175.17,145.37,4.40,2.65,24.12,1.21
AK Steel Holding,AKS,4.22,4.26,4.16,4.24,0.05,1.19,"9,499,354",6.80,4.00,...,...,...,-25.09
Alamo Group,ALG,95.23,96.25,94.36,95.42,0.49,0.52,"24,206",120.58,88.12,0.44,0.46,21.03,-15.46
Alamos Gold,AGI,4.29,4.34,4.16,4.16,-0.16,-3.70,"1,299,758",7.65,4.10,0.02,0.48,67.64,-36.10
Alaska Air Group,ALK,67.24,68.57,66.71,68.15,1.27,1.90,"854,390",82.68,57.53,1.28,1.88,10.17,-7.29
Albany International Cl A,AIN,78.85,79.40,78.30,78.95,0.60,0.77,"132,031",79.45,53.25,0.68,0.86,42.68,28.48
Albemarle,ALB,97.42,97.92,96.83,97.39,0.20,0.21,"1,207,133",144.99,86.75,1.34,1.38,22.53,-23.85
Alcoa,AA,42.09,42.69,41.64,42.01,1.01,2.46,"3,157,501",62.35,40.03,...,...,57.02,-22.02
Alexander&Baldwin,ALEX,23.16,23.17,22.77,22.90,-0.25,-1.08,"224,114",46.96,20.83,...,...,6.83,-17.45
Alexander's Inc.,ALX,347.14,351.00,346.07,348.90,0.10,0.03,"4,284",436.80,332.98,18.00,5.16,38.77,-11.86
Alexandria Real Estate Equities,ARE,127.54,128.50,127.23,127.39,0.74,0.58,"359,997",134.37,114.00,3.72,2.92,46.06,-2.45
Algonquin Power&Utilities,AQN,10.46,10.47,10.35,10.43,0.08,0.77,"173,235",11.34,9.45,0.51,4.92,25.45,-6.54
Alibaba Group Holding ADR,BABA,158.59,160.72,155.00,156.36,-6.01,-3.70,"38,556,471",211.70,155.00,...,...,46.28,-9.32
Alleghany,Y,638.43,638.63,619.26,622.10,-14.68,-2.31,"48,601",646.55,529.81,...,...,31.84,4.36
Allegheny Technologies,ATI,25.60,25.72,25.11,25.18,-0.27,-1.06,"854,345",30.25,21.01,...,...,...,4.31
Allegion,ALLE,89.00,90.18,89.00,89.80,1.09,1.23,"493,408",90.18,73.85,0.84,0.94,30.13,12.87
Allergan,AGN,191.20,191.84,188.84,189.18,-1.06,-0.56,"1,291,433",237.41,142.81,2.88,1.52,...,15.65
Allete,ALE,75.81,76.10,75.44,75.75,0.16,0.21,"179,936",81.24,66.64,2.24,2.96,23.02,1.87
AllianceBernstein Holding,AB,30.20,30.70,30.20,30.60,0.40,1.32,"199,146",30.80,23.50,2.48,8.10,12.29,22.16
Alliance Data Systems,ADS,238.05,239.96,236.88,237.55,0.60,0.25,"257,461",278.33,192.02,2.28,0.96,14.90,-6.28
Alliance One International,AOI,17.30,18.00,17.00,17.55,0.40,2.33,"201,032",30.70,9.85,...,...,1.88,32.45
