Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg
3D Systems,DDD,11.80,12.25,11.75,11.99,0.22,1.87,"1,647,714",23.70,7.92,...,...,...,38.77
3M,MMM,215.72,217.68,215.01,216.42,2.09,0.98,"2,261,367",259.77,188.62,5.44,2.51,27.33,-8.05
8X8,EGHT,18.70,19.27,18.70,19.25,0.35,1.85,"335,126",20.25,13.90,...,...,...,36.52
58.com ADR,WUBA,82.00,83.20,81.73,82.03,0.56,0.69,"1,003,574",87.65,34.84,...,...,63.58,14.62
500.com ADR,WBAI,18.07,18.25,17.01,17.46,-0.59,-3.27,"186,774",23.22,8.12,...,...,...,72.70
A10 Networks,ATEN,6.11,6.18,6.04,6.11,0.01,0.16,"282,193",9.75,5.63,...,...,...,-20.85
AAC Holdings,AAC,11.13,11.46,11.05,11.14,0.11,1.00,"64,135",13.06,5.99,...,...,...,23.78
AAR Corp.,AIR,43.91,44.71,43.91,44.32,0.52,1.19,"163,033",45.60,32.57,0.30,0.68,62.92,12.80
Aaron's Inc.,AAN,46.30,46.60,45.87,46.19,-0.06,-0.13,"446,782",49.77,29.97,0.12,0.26,11.38,15.91
ABB ADR,ABB,22.77,22.90,22.74,22.84,0.08,0.35,"4,894,009",28.67,21.92,0.83,3.62,22.01,-14.84
Abbott Laboratories,ABT,58.50,59.18,58.46,58.83,0.66,1.13,"4,498,108",64.60,42.31,1.12,1.90,218.62,3.08
AbbVie,ABBV,93.71,93.71,92.07,92.12,-0.56,-0.60,"6,048,463",125.86,63.12,3.84,4.17,28.00,-4.75
Abercrombie&Fitch,ANF,28.17,28.75,28.17,28.64,0.53,1.89,"1,955,069",28.75,8.81,0.80,2.79,477.33,64.31
ABM Industries,ABM,32.72,32.88,32.28,32.30,-0.26,-0.80,"443,830",45.12,32.08,0.70,2.17,21.64,-14.37
Acadia Realty Trust,AKR,24.33,24.42,23.65,23.84,-0.44,-1.81,"974,975",32.02,21.34,1.08,4.53,166.83,-12.87
Accenture Cl A,ACN,149.18,151.13,148.93,150.09,1.69,1.14,"1,826,943",165.58,114.82,2.66,1.77,26.38,-1.96
ACCO Brands,ACCO,13.05,13.20,13.00,13.00,-0.05,-0.38,"386,661",14.75,10.35,...,...,10.83,6.56
Acorn International ADR,ATV,21.18,25.80,21.00,23.50,2.61,12.49,"4,708",25.80,8.95,...,...,...,33.21
Actuant Cl A,ATU,23.45,23.60,23.35,23.55,0.20,0.86,"217,064",27.95,21.50,0.04,0.17,...,-6.92
Acuity Brands,AYI,130.24,132.14,129.11,131.18,1.27,0.98,"738,031",208.82,119.02,0.52,0.40,16.24,-25.47
Acushnet Holdings,GOLF,24.24,24.49,24.12,24.32,0.21,0.87,"392,746",24.49,15.16,0.52,2.14,19.77,15.37
Adecoagro,AGRO,8.03,8.14,7.99,8.01,-0.01,-0.12,"505,234",11.92,7.22,...,...,98.89,-22.53
Adient,ADNT,66.07,66.67,65.66,66.19,0.52,0.79,"503,268",86.42,57.40,1.10,1.66,11.90,-15.90
ADT,ADT,9.07,9.25,8.95,9.10,0.08,0.89,"2,700,534",13.02,7.36,...,...,...,...
Adtalem Global Education,ATGE,49.45,49.75,49.15,49.65,0.35,0.71,"364,706",50.00,30.15,...,...,267.51,18.07
Advance Auto Parts,AAP,111.46,112.59,110.36,110.57,-0.36,-0.32,"810,576",151.72,78.81,0.24,0.22,17.22,10.91
Advanced Disposal Services,ADSW,22.50,22.80,22.41,22.72,0.27,1.20,"294,655",25.71,20.94,...,...,53.12,-5.10
Advanced Drainage Systems,WMS,24.80,24.80,24.50,24.60,0.05,0.20,"200,363",28.15,17.90,0.28,1.14,33.24,3.14
Advanced Semiconductor Engineering ADR,ASX,7.21,7.30,7.16,7.28,0.11,1.53,"971,974",7.52,5.86,0.23,3.14,16.93,12.35
AdvanSix,ASIX,35.46,35.90,34.56,35.54,-0.06,-0.17,"630,898",46.51,24.72,...,...,7.56,-15.52
Advantage Oil&Gas,AAV,3.50,3.50,3.27,3.35,-0.10,-2.90,"195,280",7.35,2.70,...,...,8.75,-22.09
AECOM,ACM,36.06,36.38,36.00,36.08,0.18,0.50,"342,826",39.90,30.15,...,...,14.26,-2.88
Aegean Marine Petroleum Network,ANW,2.35,2.40,2.30,2.40,0.05,2.13,"107,889",12.20,1.75,0.04,1.67,...,-44.19
Aegon ADR,AEG,7.21,7.25,7.16,7.23,0.15,2.12,"2,168,488",7.25,4.73,0.35,4.83,8.87,14.76
AerCap Holdings,AER,51.99,52.13,51.71,51.86,0.20,0.39,"640,576",55.66,42.35,...,...,9.09,-1.43
