Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg
3D Systems,DDD,17.78,18.70,17.23,18.16,0.20,1.11,"8,157,601",18.70,7.92,...,...,...,110.19
3M,MMM,207.14,207.97,204.49,204.78,-2.36,-1.14,"1,772,445",259.77,190.57,5.44,2.66,28.32,-13.00
8X8,EGHT,22.00,22.45,21.95,22.25,0.30,1.37,"470,464",23.10,13.90,...,...,...,57.80
58.com ADR,WUBA,65.99,68.00,65.57,67.39,1.75,2.67,"954,010",89.90,50.38,...,...,45.14,-5.84
500.com ADR,WBAI,13.49,13.62,13.34,13.35,-0.15,-1.11,"48,028",23.22,9.05,...,...,...,32.05
A10 Networks,ATEN,6.66,6.78,6.56,6.56,-0.12,-1.80,"134,293",8.25,5.63,...,...,...,-15.03
AAC Holdings,AAC,8.77,9.54,8.77,9.26,0.50,5.71,"122,620",13.06,7.41,...,...,...,2.89
AAR Corp.,AIR,46.97,47.34,46.54,46.62,-0.37,-0.79,"103,585",49.05,34.25,0.30,0.64,109.85,18.66
Aaron's Inc.,AAN,47.46,48.24,47.02,47.86,0.55,1.16,"445,983",50.80,34.29,0.12,0.25,11.73,20.10
ABB ADR,ABB,23.06,23.12,22.87,22.90,-0.26,-1.12,"2,078,625",28.67,21.22,0.83,3.61,21.88,-14.62
Abbott Laboratories,ABT,64.79,65.06,64.58,64.64,-0.20,-0.31,"2,393,577",65.90,48.05,1.12,1.73,127.80,13.26
AbbVie,ABBV,94.20,96.14,93.47,95.47,1.74,1.86,"5,926,077",125.86,69.47,3.84,4.02,23.63,-1.28
Abercrombie&Fitch,ANF,26.05,26.51,25.76,26.08,0.17,0.66,"1,448,989",29.20,9.03,0.80,3.07,74.51,49.63
ABM Industries,ABM,31.42,31.58,31.14,31.17,-0.21,-0.67,"542,830",44.83,28.17,0.70,2.25,23.21,-17.36
Acadia Realty Trust,AKR,26.86,27.02,26.75,26.82,...,...,"301,822",30.63,21.34,1.08,4.03,...,-1.97
Accenture Cl A,ACN,161.13,161.74,160.54,160.64,-0.50,-0.31,"1,599,088",168.95,127.26,2.66,1.66,25.74,4.93
