Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg
3D Systems,DDD,10.32,10.59,9.70,9.95,-0.46,-4.42,"1,783,670",21.78,8.53,...,...,...,15.16
3M,MMM,189.11,191.12,185.50,187.38,-2.58,-1.36,"3,546,256",259.77,181.98,5.44,2.90,25.05,-20.39
8X8,EGHT,18.01,18.30,17.32,18.04,-0.04,-0.22,"1,065,503",23.50,14.00,...,...,...,27.94
58.com ADR,WUBA,54.02,55.17,53.23,54.94,0.88,1.63,"1,440,697",89.90,52.14,...,...,27.03,-23.24
500.com ADR,WBAI,8.10,8.20,7.30,7.55,-0.46,-5.74,"65,664",23.22,5.22,...,...,...,-25.32
A10 Networks,ATEN,5.93,6.12,5.91,5.98,0.04,0.67,"331,339",7.93,5.51,...,...,...,-22.54
AAC Holdings,AAC,1.79,1.79,1.63,1.63,-0.15,-8.43,"388,825",12.96,1.63,...,...,...,-81.89
AAR Corp.,AIR,38.55,39.01,35.30,35.51,-3.59,-9.18,"892,171",51.52,35.30,0.30,0.84,25.18,-9.62
Aaron's Inc.,AAN,42.59,42.95,40.84,41.94,-0.30,-0.71,"796,127",56.00,36.20,0.14,0.33,9.64,5.24
ABB ADR,ABB,18.82,18.93,18.59,18.70,-0.36,-1.89,"3,651,774",28.67,18.59,0.83,4.42,17.74,-30.28
Abbott Laboratories,ABT,68.34,68.90,66.99,68.38,-0.62,-0.90,"11,090,691",74.92,55.58,1.28,1.87,140.96,19.82
AbbVie,ABBV,82.99,86.48,82.41,85.37,1.85,2.22,"9,132,223",125.86,77.50,4.28,5.01,17.64,-11.73
Abercrombie&Fitch,ANF,18.74,18.91,18.17,18.61,-0.16,-0.85,"2,439,195",29.69,15.28,0.80,4.30,25.84,6.77
ABM Industries,ABM,30.43,31.49,29.98,31.07,0.29,0.94,"1,257,262",40.00,25.64,0.70,2.25,21.05,-17.63
Acadia Realty Trust,AKR,25.29,25.36,24.54,24.65,-0.66,-2.61,"606,910",29.28,21.34,1.12,4.54,514.61,-9.90
Accenture Cl A,ACN,146.00,147.20,139.49,143.50,-7.46,-4.94,"6,135,256",175.64,139.49,2.92,2.03,22.63,-6.26
ACCO Brands,ACCO,6.49,6.58,6.40,6.49,-0.01,-0.15,"694,310",14.63,6.40,0.24,3.70,4.81,-46.80
Acorn International ADR,ATV,24.30,24.67,22.00,22.06,-2.40,-9.80,"8,986",38.86,13.50,...,...,...,25.05
Actuant Cl A,ATU,21.46,23.60,19.07,20.57,-2.59,-11.18,"1,772,429",31.00,19.07,0.04,0.19,...,-18.70
Acuity Brands,AYI,110.89,113.86,107.65,109.15,-1.74,-1.57,"498,743",186.99,107.65,0.52,0.48,12.80,-37.98
Acushnet Holdings,GOLF,21.24,21.73,21.08,21.54,0.11,0.51,"234,900",27.87,17.55,0.52,2.41,16.20,2.18
Adecoagro,AGRO,6.67,6.73,6.50,6.64,-0.02,-0.30,"421,579",10.63,6.50,...,...,...,-35.78
Adient,ADNT,17.50,17.82,16.47,17.18,-0.29,-1.66,"3,205,346",84.59,16.47,1.10,6.40,...,-78.17
ADT,ADT,6.48,6.54,6.26,6.39,-0.13,-1.99,"2,484,867",13.02,6.26,0.14,2.19,30.04,...
Adtalem Global Education,ATGE,48.38,49.02,47.09,47.66,-0.75,-1.55,"503,285",58.80,41.76,...,...,283.02,13.34
Advance Auto Parts,AAP,155.28,156.15,150.65,152.50,-3.56,-2.28,"1,491,241",186.15,98.17,0.24,0.16,20.38,52.97
Advanced Disposal Services,ADSW,24.30,24.31,23.38,23.43,-0.85,-3.50,"419,053",27.93,21.50,...,...,43.21,-2.13
Advanced Drainage Systems,WMS,23.98,24.45,23.90,24.19,0.08,0.33,"260,363",33.50,21.70,0.32,1.32,17.79,1.43
AdvanSix,ASIX,23.71,24.08,23.05,23.12,-0.70,-2.94,"203,349",44.44,22.84,...,...,6.14,-45.04
AECOM,ACM,26.49,26.74,25.45,25.97,-0.65,-2.44,"1,675,524",39.90,25.45,...,...,31.32,-30.09
Aegon ADR,AEG,4.67,4.71,4.60,4.61,-0.05,-1.07,"3,408,385",7.48,4.60,0.32,6.92,...,-26.83
AerCap Holdings,AER,44.36,44.61,41.97,42.16,-2.54,-5.68,"2,477,717",58.30,41.97,...,...,6.13,-19.86
Aerohive Networks,HIVE,3.27,3.32,3.23,3.28,-0.02,-0.61,"238,495",6.18,3.23,...,...,...,-43.74
