Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg
3D Systems,DDD,10.27,10.30,9.89,9.92,-0.53,-5.07,"1,218,318",21.78,8.88,...,...,...,-2.46
3M,MMM,188.28,188.28,182.89,183.76,-7.19,-3.77,"3,125,686",259.77,176.87,5.44,2.96,24.57,-3.56
8X8,EGHT,17.50,17.97,17.18,17.49,-0.30,-1.69,"518,563",23.50,14.30,...,...,...,-3.05
58.com ADR,WUBA,53.91,54.16,51.33,51.78,-3.24,-5.89,"812,056",89.90,50.30,...,...,25.48,-4.48
500.com ADR,WBAI,7.61,7.99,7.55,7.91,0.30,3.94,"13,404",23.22,5.22,...,...,...,4.35
A10 Networks,ATEN,6.15,6.18,6.01,6.01,-0.19,-3.06,"146,380",7.82,5.51,...,...,...,-3.69
AAC Holdings,AAC,1.61,1.68,1.57,1.58,-0.05,-3.07,"146,558",12.96,1.33,...,...,...,12.86
AAR Corp.,AIR,37.37,37.63,36.31,36.64,-0.81,-2.16,"283,409",51.52,33.94,0.30,0.82,26.04,-1.87
Aaron's Inc.,AAN,42.91,43.47,41.84,42.76,-0.72,-1.66,"510,378",56.00,36.20,0.14,0.33,9.83,1.69
ABB ADR,ABB,18.85,18.88,18.61,18.62,-0.38,-2.00,"1,885,893",28.67,18.05,0.83,4.44,17.67,-2.05
Abbott Laboratories,ABT,68.74,68.88,65.50,66.22,-3.28,-4.72,"9,583,176",74.92,55.58,1.28,1.93,136.51,-8.45
AbbVie,ABBV,88.64,88.80,86.08,86.29,-2.94,-3.29,"7,291,872",125.86,77.50,4.28,4.96,17.83,-6.40
Abercrombie&Fitch,ANF,20.36,20.44,19.72,19.77,-0.87,-4.22,"2,014,796",29.69,15.28,0.80,4.05,27.45,-1.40
ABM Industries,ABM,31.22,31.81,30.79,30.95,-0.33,-1.05,"703,987",40.00,25.64,0.72,2.33,20.97,-3.61
Acadia Realty Trust,AKR,23.30,23.90,23.24,23.41,0.11,0.47,"296,726",29.28,21.34,1.12,4.78,488.73,-1.47
Accenture Cl A,ACN,139.13,139.57,135.58,135.79,-4.80,-3.41,"2,614,722",175.64,132.63,2.92,2.15,20.86,-3.70
ACCO Brands,ACCO,7.10,7.35,7.04,7.20,0.03,0.42,"1,014,869",14.63,6.07,0.24,3.33,5.33,6.19
