Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg
3D Systems,DDD,14.96,15.20,14.85,15.03,0.01,0.07,"1,285,902",18.42,7.92,...,...,...,73.96
3M,MMM,201.76,202.29,199.51,201.60,-0.60,-0.30,"2,137,017",259.77,191.44,5.44,2.70,29.91,-14.35
8X8,EGHT,21.45,21.80,21.45,21.65,0.10,0.46,"975,108",23.05,13.90,...,...,...,53.55
58.com ADR,WUBA,63.69,64.52,62.30,62.48,-2.00,-3.10,"761,663",89.90,48.87,...,...,41.85,-12.70
500.com ADR,WBAI,13.95,14.08,13.81,14.01,-0.04,-0.28,"44,561",23.22,9.05,...,...,...,38.58
A10 Networks,ATEN,7.37,7.46,7.30,7.30,-0.04,-0.54,"218,342",8.25,5.63,...,...,...,-5.44
AAC Holdings,AAC,9.57,9.67,9.46,9.61,0.01,0.10,"123,880",13.06,5.99,...,...,...,6.78
AAR Corp.,AIR,46.55,47.27,46.48,47.08,0.32,0.70,"186,577",49.05,34.25,0.30,0.64,110.93,19.83
Aaron's Inc.,AAN,44.81,46.72,44.75,46.61,1.71,3.81,"712,999",49.77,34.29,0.12,0.26,11.51,16.96
ABB ADR,ABB,22.78,22.81,22.48,22.60,0.60,2.73,"3,088,182",28.67,21.22,0.83,3.66,23.25,-15.73
Abbott Laboratories,ABT,64.68,64.97,63.51,63.78,-0.97,-1.50,"6,395,352",65.50,48.05,1.12,1.76,126.10,11.76
AbbVie,ABBV,93.22,93.28,87.76,89.95,-4.45,-4.71,"19,290,644",125.86,69.38,3.84,4.27,22.66,-6.99
Abercrombie&Fitch,ANF,26.56,26.97,26.18,26.87,0.27,1.02,"1,475,896",29.20,9.03,0.80,2.98,76.77,54.16
ABM Industries,ABM,29.54,30.12,29.31,30.02,0.39,1.32,"392,657",45.12,28.17,0.70,2.33,22.36,-20.41
Acadia Realty Trust,AKR,26.34,27.01,26.22,26.79,0.44,1.67,"455,806",30.63,21.34,1.08,4.03,558.13,-2.08
Accenture Cl A,ACN,166.21,167.27,165.51,166.89,0.51,0.31,"1,957,275",168.95,127.26,2.66,1.59,26.75,9.01
ACCO Brands,ACCO,14.25,14.25,14.00,14.05,-0.20,-1.40,"447,001",14.63,10.35,0.24,1.71,11.15,15.16
Acorn International ADR,ATV,22.10,22.50,21.59,22.14,0.28,1.29,"2,043",38.86,9.33,...,...,...,25.50
Actuant Cl A,ATU,28.05,28.20,27.85,28.05,-0.05,-0.18,"375,616",30.05,21.50,0.04,0.14,...,10.87
Acuity Brands,AYI,133.11,134.48,131.81,133.64,1.79,1.36,"615,914",208.82,109.98,0.52,0.39,16.75,-24.07
Acushnet Holdings,GOLF,23.89,24.21,23.89,23.99,0.07,0.29,"133,051",25.66,15.16,0.52,2.17,18.89,13.80
Adecoagro,AGRO,8.36,8.43,8.28,8.33,-0.09,-1.07,"547,464",11.15,7.20,...,...,84.14,-19.44
Adient,ADNT,49.15,49.70,48.32,48.48,-1.12,-2.26,"676,881",86.42,47.03,1.10,2.27,28.19,-38.40
ADT,ADT,9.45,9.46,9.22,9.36,-0.09,-0.95,"2,046,856",13.02,6.93,0.14,1.50,...,...
Adtalem Global Education,ATGE,53.10,53.15,52.50,52.70,-0.50,-0.94,"327,026",53.40,30.15,...,...,269.43,25.33
Advance Auto Parts,AAP,139.85,143.70,139.44,143.37,3.40,2.43,"1,111,241",143.70,78.81,0.24,0.17,21.08,43.82
Advanced Disposal Services,ADSW,24.31,24.51,24.30,24.38,0.02,0.08,"293,968",25.80,21.50,...,...,46.20,1.84
Advanced Drainage Systems,WMS,28.85,29.15,28.65,28.95,-0.05,-0.17,"121,419",31.00,17.90,0.32,1.11,29.85,21.38
AdvanSix,ASIX,39.06,40.11,38.74,40.08,0.87,2.22,"245,476",46.51,29.55,...,...,9.57,-4.73
Advantage Oil&Gas,AAV,3.20,3.20,3.11,3.15,-0.05,-1.56,"72,944",7.28,2.70,...,...,12.29,-26.74
AECOM,ACM,32.67,33.23,32.52,33.17,0.26,0.79,"560,990",39.90,30.15,...,...,29.35,-10.71
Aegean Marine Petroleum Network,ANW,1.45,1.50,1.33,1.42,-0.05,-3.40,"1,733,507",5.50,0.60,0.04,2.82,...,-66.98
Aegon ADR,AEG,6.13,6.17,6.10,6.13,-0.03,-0.49,"1,113,461",7.48,5.33,0.33,5.37,5.18,-2.70
AerCap Holdings,AER,55.74,55.82,55.28,55.52,-0.33,-0.59,"885,197",56.26,47.70,...,...,8.31,5.53
Aerohive Networks,HIVE,4.06,4.13,4.06,4.09,0.03,0.74,"113,733",6.50,3.02,...,...,...,-29.85
Aerojet Rocketdyne Holdings,AJRD,30.48,30.75,29.38,30.41,-0.14,-0.46,"1,586,467",36.25,22.73,...,...,...,-2.53
AES,AES,12.72,13.11,12.72,13.03,0.30,2.36,"8,660,148",13.55,9.87,0.52,3.99,55.90,20.31
Aetna,AET,190.79,190.94,188.34,190.04,-1.29,-0.67,"2,290,226",194.40,149.69,2.00,1.05,18.05,5.35
Affiliated Managers Group,AMG,149.60,151.06,148.48,149.31,-1.94,-1.28,"306,869",217.00,145.00,1.20,0.80,11.75,-27.25
AFLAC,AFL,43.21,43.44,42.75,42.89,-0.37,-0.86,"2,561,507",46.19,38.31,1.04,2.42,7.18,-2.28
AGCO,AGCO,60.12,60.76,59.48,60.43,0.25,0.42,"369,474",75.95,56.36,0.60,0.99,21.97,-15.40
Agilent Technologies,A,63.61,64.65,63.40,64.15,1.16,1.84,"1,667,776",75.00,58.22,0.60,0.93,89.10,-4.21
AG Mortgage Investment Trust,MITT,19.23,19.38,19.17,19.35,0.14,0.73,"154,083",19.95,16.31,2.00,10.34,6.14,1.79
Agnico-Eagle Mines,AEM,44.96,46.11,44.73,45.49,-0.05,-0.11,"842,831",51.86,37.35,0.44,0.97,50.54,-1.49
Agree Realty,ADC,53.12,54.70,53.01,54.42,1.29,2.43,"203,722",54.70,43.74,2.16,3.97,26.33,5.79
A. H. Belo Series A,AHC,4.30,4.47,4.30,4.45,0.10,2.30,"28,940",5.80,4.25,0.32,7.19,9.28,-7.29
Aircastle,AYR,20.57,20.74,20.48,20.58,0.01,0.05,"225,779",25.30,18.97,1.12,5.44,9.94,-12.01
Air Lease,AL,43.66,44.00,43.45,43.51,-0.28,-0.64,"521,885",50.70,38.46,0.40,0.92,6.18,-9.52
Air Products&Chemicals,APD,155.10,155.67,154.24,154.40,-1.54,-0.99,"1,362,246",175.17,141.88,4.40,2.85,29.68,-5.90
AK Steel Holding,AKS,4.83,4.89,4.78,4.83,-0.08,-1.63,"8,870,930",6.88,4.00,...,...,...,-14.66
Alamo Group,ALG,89.37,90.89,89.37,90.69,0.99,1.10,"36,488",120.58,86.41,0.44,0.49,22.72,-19.65
Alamos Gold,AGI,5.35,5.61,5.32,5.47,0.02,0.37,"2,088,487",8.58,4.83,0.02,0.37,59.78,-15.98
Alaska Air Group,ALK,63.29,63.96,62.94,63.79,0.60,0.95,"1,299,268",90.26,57.53,1.28,2.01,8.48,-13.22
Albany International Cl A,AIN,63.50,64.10,63.20,63.95,0.35,0.55,"100,605",68.85,49.20,0.68,1.06,68.03,4.07
Albemarle,ALB,95.99,96.55,95.04,96.21,-0.53,-0.55,"942,637",144.99,86.75,1.34,1.39,22.26,-24.77
Alcoa,AA,45.75,46.30,41.02,41.56,-6.40,-13.34,"19,615,521",62.35,35.54,...,...,56.16,-22.85
Alexander&Baldwin,ALEX,23.90,24.53,23.83,24.48,0.59,2.47,"357,372",46.96,20.83,...,...,7.18,-11.75
Alexander's Inc.,ALX,378.50,385.00,378.50,384.09,5.19,1.37,"6,478",436.80,332.98,18.00,4.69,39.97,-2.97
Alexandria Real Estate Equities,ARE,125.36,127.67,125.04,126.92,1.28,1.02,"356,411",134.37,114.00,3.72,2.93,48.70,-2.81
Algonquin Power&Utilities,AQN,9.57,9.93,9.55,9.86,0.26,2.71,"228,302",11.34,9.45,0.51,5.20,27.47,-11.65
Alibaba Group Holding ADR,BABA,188.68,189.68,186.87,187.34,-3.45,-1.81,"13,292,875",211.70,147.50,...,...,50.84,8.65
Alleghany,Y,606.05,607.47,604.00,607.47,1.42,0.23,"27,375",639.42,521.07,...,...,90.67,1.91
Allegheny Technologies,ATI,26.60,26.64,26.30,26.56,-0.38,-1.41,"1,362,119",30.25,16.82,...,...,...,10.02
Allegion,ALLE,78.92,79.22,78.28,78.68,-0.55,-0.69,"889,168",89.81,73.85,0.84,1.07,27.22,-1.11
Allergan,AGN,174.95,174.95,170.92,173.39,-2.47,-1.40,"1,719,443",256.80,142.81,2.88,1.66,...,6.00
Allete,ALE,77.17,78.75,77.17,78.41,1.21,1.57,"132,542",81.24,66.64,2.24,2.86,23.06,5.45
AllianceBernstein Holding,AB,29.80,30.07,29.80,30.00,0.10,0.33,"195,324",30.10,22.55,2.92,9.73,12.88,19.76
Alliance Data Systems,ADS,226.19,232.00,216.06,227.19,1.04,0.46,"1,127,877",278.33,192.02,2.28,1.00,15.68,-10.37
Alliance One International,AOI,14.60,14.75,14.05,14.55,-0.20,-1.36,"101,201",30.70,9.85,...,...,2.52,9.81
Alliant Energy,LNT,42.93,43.35,42.80,42.96,0.27,0.63,"1,312,038",45.55,36.84,1.34,3.12,20.75,0.82
Allison Transmission Holdings,ALSN,41.79,42.29,41.34,42.02,0.22,0.53,"692,882",45.69,32.93,0.60,1.43,10.57,-2.44
Allstate,ALL,95.21,95.43,93.37,93.42,-2.34,-2.44,"1,892,576",105.36,85.59,1.84,1.97,10.14,-10.78
Ally Financial,ALLY,27.91,28.13,27.78,27.87,-0.11,-0.39,"2,129,337",31.29,21.31,0.60,2.15,12.90,-4.42
Alteryx Cl A,AYX,42.77,43.19,41.26,41.88,-0.97,-2.26,"549,394",43.48,18.64,...,...,...,65.73
Altice USA Cl A,ATUS,17.73,17.89,17.56,17.64,-0.22,-1.23,"2,697,464",34.86,16.02,...,...,9.19,-16.91
Altria Group,MO,56.67,57.03,55.18,56.94,-0.49,-0.85,"8,924,698",74.38,53.91,2.80,4.92,10.17,-20.26
Aluminum Corp. of China ADR,ACH,10.04,10.14,9.99,10.02,-0.25,-2.43,"36,697",23.54,9.80,...,...,30.76,-44.12
Amber Road,AMBR,8.59,8.82,8.51,8.60,-0.02,-0.23,"150,889",10.29,6.14,...,...,...,17.17
Ambev ADR,ABEV,4.76,4.88,4.75,4.86,...,...,"33,189,085",7.43,4.58,...,...,33.43,-24.77
AMC Entertainment Holding,AMC,16.25,16.75,15.75,16.45,0.10,0.61,"1,594,322",21.20,10.80,0.80,4.86,...,8.94
Ameren,AEE,61.38,61.98,61.17,61.71,0.64,1.05,"637,711",64.89,51.89,1.83,2.97,26.17,4.61
Ameresco,AMRC,12.85,13.00,12.65,12.85,...,...,"77,066",13.95,5.25,...,...,12.98,49.42
America Movil ADR,AMX,17.25,17.36,16.85,16.86,-0.56,-3.21,"3,819,521",19.91,14.85,0.34,2.01,87.13,-1.69
America Movil Cl A ADR,AMOV,17.45,17.45,16.48,16.48,-0.84,-4.85,"21,274",19.87,14.77,0.34,2.06,85.17,-3.09
American Assets Trust,AAT,37.36,38.32,37.34,38.21,0.91,2.44,"206,352",41.69,30.62,1.08,2.83,84.91,-0.08
American Axle&Manufacturing Holdings,AXL,16.77,17.00,16.43,16.47,-0.56,-3.29,"1,497,179",20.27,13.38,...,...,5.40,-3.29
American Campus Communities,ACC,42.18,43.05,42.15,42.69,0.38,0.90,"578,495",49.26,34.52,1.84,4.31,99.28,4.05
American Eagle Outfitters,AEO,24.31,24.74,24.24,24.49,0.14,0.57,"4,268,106",25.77,10.23,0.55,2.25,20.07,30.27
American Electric Power,AEP,70.46,71.17,70.38,70.64,0.40,0.57,"1,971,025",78.07,62.70,2.48,3.51,19.68,-3.98
American Equity Investment Life Holding,AEL,35.35,35.64,35.03,35.15,-0.30,-0.85,"385,967",37.16,25.43,0.26,0.74,12.16,14.38
American Express,AXP,100.20,101.37,99.28,100.17,-2.81,-2.73,"6,961,854",103.24,83.33,1.40,1.40,29.29,0.87
American Financial Group,AFG,109.05,110.01,108.50,109.97,0.52,0.48,"238,016",121.69,95.19,1.40,1.27,21.26,1.32
American Homes 4 Rent Cl A,AMH,22.63,22.96,22.57,22.88,0.27,1.19,"4,926,150",23.23,18.39,0.20,0.87,...,4.76
American International Group,AIG,54.90,55.05,53.68,53.85,-1.28,-2.32,"4,573,454",67.30,49.57,1.28,2.38,...,-9.62
American International Group WT,AIG%,16.44,16.65,15.29,15.60,-0.90,-5.45,"592,930",24.50,13.25,...,...,...,-13.91
American Midstream Partners,AMID,11.75,11.75,11.25,11.40,-0.20,-1.72,"570,860",15.25,9.42,1.65,14.47,...,-14.61
American Realty Investors,ARL,17.50,17.66,16.86,17.50,0.01,0.06,"2,002",21.57,8.00,...,...,...,36.19
American Renal Associates Holdings,ARA,16.00,16.14,15.54,15.71,-0.42,-2.60,"206,902",24.07,9.91,...,...,120.85,-9.71
American States Water,AWR,59.89,60.95,59.83,60.84,0.73,1.21,"108,168",60.95,46.87,1.02,1.68,33.25,5.06
American Tower REIT,AMT,140.98,142.55,140.76,141.67,0.29,0.21,"1,450,649",155.28,130.37,3.08,2.17,53.87,-0.70
American Vanguard,AVD,21.75,21.90,21.55,21.85,-0.20,-0.91,"37,982",24.00,17.50,0.08,0.37,29.93,11.20
American Water Works,AWK,87.74,88.73,87.49,88.53,0.95,1.08,"450,490",92.37,76.04,1.82,2.06,36.28,-3.24
Americold Realty Trust,COLD,21.25,21.46,21.15,21.44,0.19,0.89,"953,028",23.54,16.13,0.75,3.50,...,...
AmeriGas Partners,APU,42.63,43.47,42.56,43.27,0.64,1.50,"218,216",48.37,39.41,3.80,8.78,29.44,-6.40
Ameriprise Financial,AMP,144.48,144.98,141.13,141.27,-3.94,-2.71,"833,796",183.90,129.87,3.60,2.55,13.04,-16.64
AmerisourceBergen,ABC,86.26,86.38,83.51,85.56,-0.77,-0.89,"2,162,444",106.27,71.90,1.52,1.78,21.02,-6.82
Ametek,AME,73.47,73.78,73.27,73.64,-0.12,-0.16,"607,807",79.32,60.50,0.56,0.76,23.60,1.61
Amira Nature Foods,ANFI,1.99,2.00,1.95,1.99,0.03,1.53,"65,707",7.05,1.62,...,...,2.31,-52.28
Amneal Pharmaceuticals,AMRX,18.47,18.65,18.37,18.49,0.04,0.22,"669,558",25.70,13.47,...,...,...,11.05
