Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg
3D Systems,DDD,14.44,14.69,14.07,14.47,0.03,0.21,"1,471,545",22.57,7.92,...,...,...,67.48
3M,MMM,205.76,206.27,203.50,203.63,-1.26,-0.61,"2,108,081",259.77,191.44,5.44,2.67,30.21,-13.49
8X8,EGHT,19.60,19.88,19.45,19.75,0.30,1.54,"1,279,961",23.05,13.90,...,...,...,40.07
58.com ADR,WUBA,80.46,81.79,80.00,81.20,1.36,1.70,"702,997",89.90,40.02,...,...,54.39,13.46
500.com ADR,WBAI,15.10,16.38,14.16,16.02,1.13,7.59,"432,530",23.22,9.05,...,...,...,58.46
A10 Networks,ATEN,6.42,6.48,6.40,6.46,0.06,0.94,"332,512",8.85,5.63,...,...,...,-16.32
AAC Holdings,AAC,10.16,10.19,9.56,9.85,-0.27,-2.67,"277,882",13.06,5.99,...,...,...,9.44
AAR Corp.,AIR,48.81,49.05,47.52,47.95,-0.70,-1.44,"256,049",49.05,33.92,0.30,0.63,68.07,22.04
Aaron's Inc.,AAN,44.02,44.31,43.84,44.00,0.03,0.07,"400,299",49.77,34.29,0.12,0.27,10.86,10.41
ABB ADR,ABB,23.52,23.59,23.42,23.47,0.23,0.99,"2,734,421",28.67,21.92,0.83,3.52,24.15,-12.49
Abbott Laboratories,ABT,62.86,63.23,62.74,62.96,0.33,0.53,"3,757,510",64.60,47.37,1.12,1.78,244.41,10.32
AbbVie,ABBV,98.38,98.92,97.75,98.75,1.17,1.20,"4,427,146",125.86,69.38,3.84,3.89,24.87,2.11
Abercrombie&Fitch,ANF,25.83,26.04,25.35,25.59,-0.41,-1.58,"2,470,066",29.20,8.81,0.80,3.13,73.11,46.82
ABM Industries,ABM,31.07,31.15,30.61,31.09,-0.02,-0.06,"843,705",45.12,28.17,0.70,2.25,23.15,-17.58
Acadia Realty Trust,AKR,27.18,27.40,27.08,27.24,0.11,0.41,"650,431",30.63,21.34,1.08,3.96,567.50,-0.44
Accenture Cl A,ACN,163.33,163.95,162.14,162.76,-0.26,-0.16,"1,847,200",165.58,119.10,2.66,1.63,28.60,6.32
ACCO Brands,ACCO,13.20,13.20,13.00,13.20,...,...,"427,007",13.97,10.35,0.24,1.82,10.48,8.20
Acorn International ADR,ATV,29.99,30.94,29.99,29.99,-0.21,-0.70,"9,629",38.86,9.33,...,...,...,70.00
Actuant Cl A,ATU,25.80,26.02,25.65,25.90,0.10,0.39,"236,426",27.95,21.50,0.04,0.15,...,2.37
Acuity Brands,AYI,123.87,125.00,119.77,120.77,-2.84,-2.30,"975,876",208.82,109.98,0.52,0.43,14.95,-31.38
Acushnet Holdings,GOLF,24.88,25.29,24.66,24.84,0.12,0.49,"209,878",25.39,15.16,0.52,2.09,19.56,17.84
Adecoagro,AGRO,8.29,8.36,8.22,8.25,-0.02,-0.24,"353,555",11.15,7.20,...,...,83.33,-20.21
Adient,ADNT,47.54,48.18,47.28,48.07,0.53,1.11,"1,202,910",86.42,47.03,1.10,2.29,27.95,-38.92
ADT,ADT,8.08,8.18,7.93,8.09,0.04,0.50,"2,877,729",13.02,6.93,0.14,1.73,...,...
Adtalem Global Education,ATGE,49.25,49.30,48.55,49.00,-0.20,-0.41,"327,563",50.15,30.15,...,...,244.63,16.53
Advance Auto Parts,AAP,133.27,133.99,132.57,133.50,0.82,0.62,"803,389",134.75,78.81,0.24,0.18,19.63,33.92
Advanced Disposal Services,ADSW,23.68,23.90,23.58,23.87,0.25,1.06,"332,606",25.71,21.50,...,...,45.23,-0.29
Advanced Drainage Systems,WMS,29.10,29.15,28.80,29.05,...,...,"301,459",31.00,17.90,0.32,1.10,29.95,21.80
AdvanSix,ASIX,41.19,41.24,40.24,40.53,-0.39,-0.95,"190,163",46.51,28.87,...,...,9.67,-3.66
Advantage Oil&Gas,AAV,3.10,3.20,3.05,3.10,...,...,"98,296",7.35,2.70,...,...,12.10,-27.91
AECOM,ACM,34.06,34.23,33.45,33.63,-0.27,-0.80,"952,663",39.90,30.15,...,...,29.76,-9.48
Aegean Marine Petroleum Network,ANW,0.93,0.99,0.90,0.94,0.02,1.86,"912,453",6.00,0.70,0.04,4.24,...,-78.08
Aegon ADR,AEG,6.33,6.34,6.29,6.30,-0.11,-1.72,"681,435",7.48,4.82,0.33,5.22,5.29,...
AerCap Holdings,AER,54.74,55.01,54.42,54.55,-0.14,-0.26,"623,090",56.26,44.69,...,...,8.17,3.69
