Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg
3D Systems,DDD,11.33,11.68,11.07,11.59,0.29,2.57,"2,565,961",23.70,7.92,...,...,...,34.14
3M,MMM,217.79,221.38,217.46,219.52,2.98,1.38,"2,539,269",259.77,188.62,5.44,2.48,27.72,-6.73
8X8,EGHT,18.40,18.95,18.20,18.65,0.50,2.75,"442,914",20.25,13.90,...,...,...,32.27
58.com ADR,WUBA,77.90,80.76,77.90,79.86,2.26,2.91,"709,878",87.65,34.55,...,...,61.90,11.58
500.com ADR,WBAI,17.31,17.55,16.73,17.16,-0.40,-2.28,"197,915",23.22,8.12,...,...,...,69.73
A10 Networks,ATEN,5.72,5.90,5.64,5.82,0.11,1.93,"302,337",9.75,5.64,...,...,...,-24.61
AAC Holdings,AAC,11.50,11.79,11.42,11.48,0.21,1.86,"91,277",13.06,5.99,...,...,...,27.56
AAR Corp.,AIR,43.75,44.68,43.75,44.11,0.59,1.36,"228,642",45.60,32.57,0.30,0.68,62.62,12.27
Aaron's Inc.,AAN,45.88,47.05,45.82,46.60,1.03,2.26,"452,073",49.77,29.05,0.12,0.26,11.48,16.94
ABB ADR,ABB,23.65,23.87,23.62,23.74,0.18,0.76,"1,317,846",28.67,22.04,0.83,3.48,22.88,-11.48
Abbott Laboratories,ABT,59.57,60.38,59.30,59.92,0.69,1.16,"6,350,522",64.60,42.31,1.12,1.87,222.67,4.99
AbbVie,ABBV,94.52,95.54,93.50,94.65,0.38,0.40,"7,206,712",125.86,63.12,3.84,4.06,28.77,-2.13
Abercrombie&Fitch,ANF,23.64,24.32,23.64,24.21,0.57,2.41,"1,987,828",24.52,8.81,0.80,3.30,403.50,38.90
ABM Industries,ABM,33.48,33.86,33.22,33.48,0.25,0.75,"2,130,062",45.12,32.46,0.70,2.09,22.43,-11.24
Acadia Realty Trust,AKR,24.84,25.01,24.44,24.60,-0.19,-0.77,"545,009",32.02,21.34,1.08,4.39,172.15,-10.09
Accenture Cl A,ACN,148.29,153.50,147.82,153.50,6.09,4.13,"3,518,462",165.58,114.82,2.66,1.73,26.98,0.27
ACCO Brands,ACCO,12.55,12.75,12.45,12.55,0.10,0.80,"515,685",14.75,10.35,...,...,10.46,2.87
Acorn International ADR,ATV,19.34,19.93,19.34,19.62,0.87,4.64,"2,587",21.84,8.87,...,...,...,11.22
Actuant Cl A,ATU,22.95,23.50,22.90,23.25,0.45,1.97,"619,701",27.95,21.50,0.04,0.17,...,-8.10
Acuity Brands,AYI,137.98,140.90,137.98,139.19,2.18,1.59,"929,027",209.18,131.64,0.52,0.37,18.71,-20.91
Acushnet Holdings,GOLF,23.24,23.62,23.08,23.09,0.02,0.09,"237,642",24.41,15.16,0.52,2.25,18.77,9.54
Adecoagro,AGRO,7.36,7.57,7.31,7.52,0.19,2.59,"336,203",11.92,7.24,...,...,92.84,-27.27
Adient,ADNT,58.88,59.91,58.22,59.76,1.63,2.80,"755,990",86.42,57.40,1.10,1.84,10.75,-24.07
ADT,ADT,7.59,7.95,7.59,7.93,0.33,4.34,"2,945,031",13.02,7.51,...,...,...,...
Adtalem Global Education,ATGE,47.00,47.95,47.00,47.55,0.80,1.71,"346,457",50.00,30.15,...,...,256.20,13.08
Advance Auto Parts,AAP,116.34,119.22,115.40,118.55,2.57,2.22,"760,946",151.72,78.81,0.24,0.20,18.47,18.92
Advanced Disposal Services,ADSW,22.00,22.39,21.90,22.28,0.40,1.83,"459,935",25.71,20.94,...,...,52.09,-6.93
Advanced Drainage Systems,WMS,25.45,26.15,25.45,25.90,0.60,2.37,"183,068",28.15,17.90,0.28,1.08,35.00,8.60
Advanced Semiconductor Engineering ADR,ASX,7.27,7.30,7.23,7.26,-0.04,-0.55,"788,034",7.52,5.86,0.23,3.14,16.88,12.04
AdvanSix,ASIX,33.68,34.95,33.68,34.78,1.18,3.51,"252,946",46.51,24.72,...,...,7.40,-17.33
Advantage Oil&Gas,AAV,2.85,3.00,2.85,2.95,0.10,3.51,"184,168",7.35,2.70,...,...,7.70,-31.40
AECOM,ACM,34.93,35.84,34.93,35.63,0.90,2.59,"624,972",39.90,30.15,...,...,14.08,-4.09
Aegean Marine Petroleum Network,ANW,2.50,2.50,2.25,2.25,-0.15,-6.25,"503,072",13.00,1.75,0.04,1.78,...,-47.67
Aegon ADR,AEG,6.78,6.78,6.71,6.77,0.01,0.15,"1,253,049",7.03,4.73,0.35,5.16,8.30,7.46
AerCap Holdings,AER,50.32,50.80,50.20,50.72,0.55,1.10,"1,176,818",55.66,42.35,...,...,8.89,-3.59
Aerohive Networks,HIVE,3.89,4.08,3.84,4.04,0.20,5.21,"277,936",6.50,3.02,...,...,...,-30.70
Aerojet Rocketdyne Holdings,AJRD,27.33,28.24,27.21,27.97,0.81,2.98,"532,019",36.25,20.06,...,...,...,-10.35
AES,AES,11.24,11.43,11.14,11.37,0.14,1.25,"8,609,559",12.05,9.87,0.52,4.57,...,4.99
Aetna,AET,169.76,169.82,168.19,169.00,-0.43,-0.25,"2,613,028",194.40,125.53,2.00,1.18,29.39,-6.31
Affiliated Managers Group,AMG,186.26,190.82,185.30,189.58,4.58,2.48,"261,562",217.00,148.81,1.20,0.63,15.71,-7.63
AFLAC,AFL,43.77,44.03,43.66,43.76,0.21,0.48,"2,713,906",45.88,35.73,2.08,4.75,7.54,-0.30
AGCO,AGCO,64.44,65.22,64.01,64.85,0.74,1.15,"540,938",75.95,58.01,0.60,0.93,27.95,-9.21
Agilent Technologies,A,66.75,67.58,66.11,66.90,0.50,0.75,"2,595,539",75.00,52.26,0.60,0.89,113.39,-0.10
AG Mortgage Investment Trust,MITT,17.29,17.53,17.29,17.37,0.16,0.93,"200,883",19.95,16.31,1.90,10.94,4.62,-8.63
Agnico-Eagle Mines,AEM,41.53,42.13,41.42,42.07,0.65,1.57,"910,818",51.86,37.35,0.44,1.05,40.45,-8.90
Agree Realty,ADC,48.39,48.61,47.84,48.04,-0.16,-0.33,"252,623",53.65,43.74,2.08,4.33,22.91,-6.61
A. H. Belo Series A,AHC,5.15,5.25,5.15,5.15,0.05,0.98,"26,268",6.40,4.35,0.32,6.21,11.21,7.29
Aircastle,AYR,19.94,20.15,19.76,19.86,0.02,0.10,"719,592",25.30,18.97,1.12,5.64,10.56,-15.09
