Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg
3D Systems,DDD,12.69,12.89,12.27,12.36,-0.12,-0.96,"1,310,773",22.57,7.92,...,...,...,43.06
3M,MMM,198.11,198.45,196.26,197.23,-1.45,-0.73,"4,816,501",259.77,191.44,5.44,2.76,29.26,-16.20
8X8,EGHT,18.35,18.95,18.35,18.70,0.45,2.47,"1,297,887",23.05,13.90,...,...,...,32.62
58.com ADR,WUBA,79.92,81.91,79.86,81.22,1.39,1.74,"1,502,871",89.90,40.02,...,...,54.40,13.48
500.com ADR,WBAI,18.47,19.22,18.41,19.10,0.69,3.75,"292,410",23.22,8.93,...,...,...,88.92
A10 Networks,ATEN,6.37,6.54,6.37,6.43,0.07,1.10,"373,829",8.88,5.63,...,...,...,-16.71
AAC Holdings,AAC,10.77,11.01,10.73,10.76,-0.17,-1.56,"160,352",13.06,5.99,...,...,...,19.56
AAR Corp.,AIR,45.16,45.19,44.52,44.69,-0.53,-1.17,"87,509",47.97,33.92,0.30,0.67,63.44,13.74
Aaron's Inc.,AAN,41.33,41.34,39.76,39.78,-1.37,-3.33,"467,397",49.77,34.29,0.12,0.30,9.82,-0.18
ABB ADR,ABB,22.91,22.95,22.59,22.74,-0.37,-1.60,"3,394,041",28.67,21.92,0.83,3.63,23.40,-15.21
Abbott Laboratories,ABT,61.90,62.23,61.51,61.53,-0.54,-0.87,"5,772,010",64.60,45.47,1.12,1.82,238.86,7.81
AbbVie,ABBV,100.93,101.10,98.50,98.94,-4.07,-3.95,"17,443,784",125.86,66.12,3.84,3.88,24.92,2.31
Abercrombie&Fitch,ANF,25.63,25.97,23.66,23.85,-1.89,-7.34,"5,651,052",29.20,8.81,0.80,3.35,397.50,36.83
ABM Industries,ABM,29.09,29.15,28.26,28.46,-0.69,-2.37,"1,064,879",45.12,28.26,0.70,2.46,19.07,-24.55
Acadia Realty Trust,AKR,25.67,25.82,25.53,25.75,0.02,0.08,"661,611",30.63,21.34,1.08,4.19,536.46,-5.88
Accenture Cl A,ACN,156.00,156.78,154.91,155.74,-0.29,-0.19,"2,475,251",165.58,119.10,2.66,1.71,27.37,1.73
ACCO Brands,ACCO,13.20,13.25,12.90,12.90,-0.24,-1.83,"388,250",13.97,10.35,0.24,1.86,10.24,5.74
Acorn International ADR,ATV,34.90,34.90,31.10,31.26,0.32,1.04,"25,768",38.86,9.33,...,...,...,77.22
Actuant Cl A,ATU,24.05,24.08,23.35,23.35,-0.70,-2.91,"524,312",27.95,21.50,0.04,0.17,...,-7.71
Acuity Brands,AYI,122.01,122.02,118.08,118.25,-3.27,-2.69,"1,017,821",208.82,109.98,0.52,0.44,14.63,-32.81
Acushnet Holdings,GOLF,24.04,24.04,23.59,23.91,-0.16,-0.66,"138,633",24.70,15.16,0.52,2.17,18.83,13.43
Adecoagro,AGRO,8.06,8.20,7.94,8.13,0.11,1.37,"2,247,337",11.18,7.20,...,...,82.12,-21.37
Adient,ADNT,53.23,53.52,52.55,53.24,0.17,0.32,"547,171",86.42,52.52,1.10,2.07,30.95,-32.35
ADT,ADT,7.70,7.72,7.44,7.52,-0.15,-1.96,"3,657,765",13.02,6.93,0.14,1.86,...,...
Adtalem Global Education,ATGE,47.55,48.30,47.48,47.75,0.25,0.53,"260,067",50.15,30.15,...,...,238.39,13.56
Advance Auto Parts,AAP,128.34,129.41,126.00,128.62,0.09,0.07,"1,509,291",138.23,78.81,0.24,0.19,18.91,29.02
Advanced Disposal Services,ADSW,23.60,23.64,23.25,23.38,-0.17,-0.72,"352,932",25.71,21.50,...,...,44.31,-2.34
Advanced Drainage Systems,WMS,29.05,31.00,28.75,29.00,-1.00,-3.33,"605,645",31.00,17.90,0.32,1.10,29.90,21.59
AdvanSix,ASIX,37.42,37.65,36.51,36.51,-1.02,-2.72,"216,928",46.51,28.48,...,...,8.71,-13.22
Advantage Oil&Gas,AAV,2.90,3.04,2.86,3.00,0.10,3.45,"234,415",7.35,2.70,...,...,11.71,-30.23
AECOM,ACM,33.39,33.44,32.84,33.00,-0.45,-1.35,"683,025",39.90,30.15,...,...,29.20,-11.17
Aegean Marine Petroleum Network,ANW,3.05,3.20,3.05,3.10,...,...,"407,988",6.33,1.75,0.04,1.29,...,-27.91
Aegon ADR,AEG,6.20,6.23,6.15,6.21,-0.04,-0.64,"1,418,509",7.48,4.81,0.33,5.30,5.21,-1.43
AerCap Holdings,AER,55.68,55.68,54.94,55.31,-0.29,-0.52,"1,087,475",56.26,44.21,...,...,8.28,5.13
Aerohive Networks,HIVE,4.17,4.23,4.00,4.01,-0.19,-4.52,"328,727",6.50,3.02,...,...,...,-31.22
Aerojet Rocketdyne Holdings,AJRD,29.66,29.79,28.81,28.94,-0.72,-2.43,"600,885",36.25,20.17,...,...,...,-7.24
AES,AES,12.62,12.86,12.62,12.75,0.08,0.63,"6,639,230",12.86,9.87,0.52,4.08,54.70,17.73
Aetna,AET,177.71,177.71,175.10,176.13,-1.74,-0.98,"2,422,611",194.40,144.98,2.00,1.14,16.73,-2.36
Affiliated Managers Group,AMG,160.43,161.40,158.22,159.26,-1.60,-0.99,"361,758",217.00,153.72,1.20,0.75,12.53,-22.41
AFLAC,AFL,45.30,45.40,44.87,45.06,-0.50,-1.10,"4,165,120",46.19,37.27,1.04,2.31,7.54,2.67
AGCO,AGCO,64.87,65.23,63.58,63.60,-1.43,-2.20,"1,054,650",75.95,58.12,0.60,0.94,23.13,-10.96
Agilent Technologies,A,62.65,62.83,61.85,61.92,-0.77,-1.23,"2,100,475",75.00,57.92,0.60,0.96,86.00,-7.54
AG Mortgage Investment Trust,MITT,19.03,19.03,18.81,18.88,-0.14,-0.74,"115,613",19.95,16.31,1.90,10.06,5.99,-0.68
Agnico-Eagle Mines,AEM,44.83,45.25,44.64,44.95,-0.29,-0.64,"1,365,868",51.86,37.35,0.44,0.98,49.94,-2.66
Agree Realty,ADC,53.11,53.26,52.72,52.94,-0.18,-0.34,"221,573",53.77,43.74,2.16,4.08,25.61,2.92
A. H. Belo Series A,AHC,4.75,4.75,4.65,4.75,0.05,1.06,"16,212",5.80,4.35,0.32,6.74,9.91,-1.04
Aircastle,AYR,21.40,21.53,21.14,21.36,-0.04,-0.19,"615,899",25.30,18.97,1.12,5.24,10.32,-8.68
Air Lease,AL,44.36,44.63,43.99,44.41,0.01,0.02,"510,338",50.70,35.75,0.40,0.90,6.31,-7.65
Air Products&Chemicals,APD,162.68,163.18,161.05,161.41,-1.62,-0.99,"954,129",175.17,140.78,4.40,2.73,31.15,-1.63
AK Steel Holding,AKS,4.82,4.92,4.48,4.52,-0.06,-1.31,"32,588,402",7.04,4.00,...,...,...,-20.14
Alamo Group,ALG,94.76,94.76,92.12,92.21,-2.94,-3.09,"73,540",120.58,84.33,0.44,0.48,23.10,-18.30
Alamos Gold,AGI,5.47,5.58,5.40,5.54,0.07,1.28,"1,695,076",8.58,4.83,0.02,0.36,60.55,-14.90
Alaska Air Group,ALK,60.35,61.40,60.17,60.81,0.53,0.88,"1,832,137",95.75,57.53,1.28,2.10,8.09,-17.28
Albany International Cl A,AIN,61.80,62.00,60.80,61.50,-0.25,-0.40,"125,188",68.85,48.20,0.68,1.11,65.43,0.08
Albemarle,ALB,93.56,94.32,93.25,93.47,-0.12,-0.13,"1,145,106",144.99,86.75,1.34,1.43,21.63,-26.91
Alcoa,AA,49.98,50.43,47.81,48.07,-0.47,-0.97,"3,484,284",62.35,29.55,...,...,64.96,-10.77
Alexander&Baldwin,ALEX,21.83,21.90,21.31,21.31,-0.51,-2.34,"473,612",46.96,20.83,...,...,6.33,-23.18
Alexander's Inc.,ALX,389.47,389.56,385.66,387.50,-1.50,-0.39,"5,845",437.35,332.98,18.00,4.65,40.32,-2.11
Alexandria Real Estate Equities,ARE,124.65,125.50,124.36,124.92,-0.41,-0.33,"1,306,027",134.37,114.00,3.60,2.88,47.94,-4.34
Algonquin Power&Utilities,AQN,9.92,9.92,9.73,9.75,-0.16,-1.61,"137,821",11.34,9.53,0.51,5.26,27.16,-12.63
Alibaba Group Holding ADR,BABA,198.00,199.48,196.85,198.01,0.03,0.02,"17,590,343",206.20,122.26,...,...,53.74,14.84
Alleghany,Y,572.60,574.18,561.25,570.56,-4.33,-0.75,"286,866",639.42,521.07,...,...,85.16,-4.28
Allegheny Technologies,ATI,28.50,29.05,28.14,28.52,0.35,1.24,"1,978,455",30.25,15.25,...,...,...,18.14
Allegion,ALLE,79.31,79.31,76.42,76.43,-2.78,-3.51,"659,078",89.81,73.85,0.84,1.10,26.45,-3.93
Allergan,AGN,151.70,152.37,149.54,150.80,-0.72,-0.48,"2,351,617",256.80,142.81,2.88,1.91,...,-7.81
Allete,ALE,77.97,77.97,76.81,76.82,-0.94,-1.21,"212,382",81.24,66.64,2.24,2.92,22.59,3.31
AllianceBernstein Holding,AB,28.45,28.48,28.05,28.35,-0.05,-0.18,"267,856",28.60,22.45,2.92,10.30,12.17,13.17
Alliance Data Systems,ADS,213.58,213.58,209.85,210.82,-2.48,-1.16,"526,631",278.33,192.02,2.28,1.08,14.55,-16.83
Alliance One International,AOI,21.00,21.75,20.30,20.90,-0.20,-0.95,"131,789",30.70,9.85,...,...,3.34,57.74
Alliant Energy,LNT,41.41,41.81,41.09,41.42,-0.02,-0.05,"1,905,391",45.55,36.84,1.34,3.24,20.01,-2.79
Allison Transmission Holdings,ALSN,42.15,42.30,40.98,41.31,-0.84,-1.99,"1,318,128",45.69,32.93,0.60,1.45,10.39,-4.09
Allstate,ALL,94.28,94.28,93.21,93.48,-0.89,-0.94,"1,683,810",105.36,85.57,1.84,1.97,10.15,-10.72
Ally Financial,ALLY,25.72,26.09,25.43,25.65,-0.10,-0.39,"5,177,165",31.29,18.48,0.52,2.03,11.88,-12.04
Alteryx Cl A,AYX,33.54,34.20,33.17,34.02,0.47,1.40,"785,509",39.21,17.77,...,...,...,34.63
Altice USA Cl A,ATUS,19.44,19.90,18.83,19.56,0.21,1.09,"4,718,639",35.29,16.25,...,...,10.19,-7.87
Altice USA Wi,ATUS@,17.46,17.79,16.86,16.86,-1.04,-5.81,"1,820,640",19.21,16.02,...,...,...,...
Altria Group,MO,56.41,56.52,55.54,55.74,-0.85,-1.50,"8,769,739",77.79,53.91,2.80,5.02,9.95,-21.94
Aluminum Corp. of China ADR,ACH,13.09,13.16,12.99,13.03,0.26,2.04,"57,278",23.54,11.26,...,...,39.99,-27.33
Amber Road,AMBR,9.10,9.26,9.04,9.04,-0.11,-1.20,"30,839",10.29,6.14,...,...,...,23.16
Ambev ADR,ABEV,5.27,5.30,5.22,5.26,...,...,"11,239,158",7.43,5.16,...,...,36.18,-18.58
AMC Entertainment Holding,AMC,14.85,14.95,14.65,14.80,-0.05,-0.34,"999,036",25.57,10.80,0.80,5.41,...,-1.99
Ameren,AEE,59.23,59.79,58.94,59.19,-0.20,-0.34,"1,562,195",64.89,51.89,1.83,3.09,25.10,0.34
Ameresco,AMRC,12.25,12.35,11.86,11.95,-0.30,-2.45,"106,226",13.20,5.25,...,...,12.07,38.95
America Movil ADR,AMX,15.50,15.58,15.22,15.51,-0.10,-0.64,"4,373,613",19.91,15.22,0.31,2.02,80.16,-9.56
