Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg
3D Systems,DDD,12.65,12.95,12.23,12.86,0.14,1.10,"1,864,063",21.78,8.05,...,...,...,48.84
3M,MMM,197.73,205.13,196.24,204.91,6.85,3.46,"3,035,284",259.77,181.98,5.44,2.65,27.39,-12.94
8X8,EGHT,18.07,18.61,17.89,18.60,0.43,2.37,"646,458",23.50,13.90,...,...,...,31.91
58.com ADR,WUBA,56.58,65.28,55.85,64.32,3.77,6.23,"183,750",89.90,55.85,...,...,38.34,-10.13
500.com ADR,WBAI,7.51,7.79,7.34,7.54,0.35,4.87,"2,622",23.22,5.22,...,...,...,-25.42
A10 Networks,ATEN,6.14,6.26,6.10,6.22,0.08,1.30,"155,016",8.25,5.51,...,...,...,-19.43
AAC Holdings,AAC,2.31,2.41,2.31,2.36,0.03,1.29,"354,521",12.96,2.16,...,...,...,-73.78
AAR Corp.,AIR,45.62,46.59,45.18,46.30,0.42,0.92,"143,922",51.52,36.46,0.30,0.65,84.18,17.84
Aaron's Inc.,AAN,48.52,49.72,47.69,49.66,0.69,1.41,"475,866",56.00,35.34,0.14,0.28,11.42,24.62
ABB ADR,ABB,19.65,20.02,19.55,19.95,0.25,1.27,"3,061,839",28.67,19.08,0.83,4.14,18.93,-25.62
Abbott Laboratories,ABT,68.93,70.75,67.94,70.73,1.32,1.90,"6,538,551",74.15,54.32,1.12,1.58,145.80,23.94
AbbVie,ABBV,87.63,90.29,85.96,90.14,1.83,2.07,"8,576,962",125.86,77.50,4.28,4.75,18.62,-6.79
Abercrombie&Fitch,ANF,17.57,17.76,17.05,17.53,-0.27,-1.52,"1,960,152",29.69,12.36,0.80,4.56,33.71,0.57
ABM Industries,ABM,29.98,31.18,29.75,30.96,0.78,2.58,"313,365",44.70,28.17,0.70,2.26,24.33,-17.92
Acadia Realty Trust,AKR,28.31,28.32,27.89,28.23,-0.21,-0.74,"601,561",29.48,21.34,1.08,3.83,589.35,3.18
Accenture Cl A,ACN,159.92,162.94,159.43,162.49,2.20,1.37,"2,459,038",175.64,144.60,2.92,1.80,25.63,6.14
ACCO Brands,ACCO,8.04,8.28,7.96,8.23,0.15,1.86,"349,033",14.63,7.39,0.24,2.92,6.10,-32.54
Acorn International ADR,ATV,21.31,22.17,20.90,21.85,0.78,3.70,"1,869",38.86,13.50,...,...,...,23.86
Actuant Cl A,ATU,24.24,25.62,24.24,25.35,0.84,3.43,"285,318",31.00,21.50,0.04,0.16,...,0.20
Acuity Brands,AYI,123.75,125.46,122.56,123.97,-0.10,-0.08,"488,179",186.99,109.98,0.52,0.42,14.53,-29.56
Acushnet Holdings,GOLF,24.26,24.45,23.98,24.41,-0.02,-0.08,"250,496",27.87,17.55,0.52,2.13,18.35,15.80
Adecoagro,AGRO,7.17,7.30,7.07,7.14,-0.01,-0.14,"511,052",10.63,6.93,...,...,...,-30.95
Adient,ADNT,23.62,23.76,22.66,23.66,-0.49,-2.03,"2,117,616",84.59,21.09,1.10,4.65,182.00,-69.94
ADT,ADT,7.62,7.95,7.52,7.91,0.17,2.20,"1,038,311",13.02,6.93,0.14,1.77,37.31,...
Adtalem Global Education,ATGE,56.84,57.74,56.26,57.71,0.69,1.21,"304,659",58.80,37.20,...,...,342.70,37.24
Advance Auto Parts,AAP,176.88,180.44,174.80,179.05,1.37,0.77,"994,287",186.15,88.24,0.24,0.13,23.93,79.61
Advanced Disposal Services,ADSW,26.04,26.23,25.68,25.90,-0.19,-0.73,"467,921",27.93,21.50,...,...,47.96,8.19
Advanced Drainage Systems,WMS,26.56,27.57,26.29,27.53,0.87,3.26,"61,264",33.50,21.30,0.32,1.16,20.25,15.43
AdvanSix,ASIX,26.25,26.98,26.09,26.82,0.36,1.36,"161,020",44.44,22.84,...,...,7.12,-36.25
AECOM,ACM,32.33,34.24,32.33,34.16,1.67,5.14,"1,769,125",39.90,29.13,...,...,41.16,-8.05
Aegon ADR,AEG,6.03,6.12,6.00,6.12,-0.02,-0.33,"1,130,622",7.48,5.80,0.32,5.21,...,-2.86
AerCap Holdings,AER,51.61,51.62,50.94,51.15,-0.70,-1.35,"1,458,119",58.30,48.29,...,...,7.43,-2.78
Aerohive Networks,HIVE,3.85,4.02,3.85,4.00,0.10,2.56,"147,349",6.50,3.54,...,...,...,-31.39
Aerojet Rocketdyne Holdings,AJRD,35.33,36.27,35.22,35.95,0.38,1.07,"518,567",38.92,24.41,...,...,47.57,15.22
AES,AES,15.24,15.48,15.13,15.42,0.18,1.18,"6,615,814",16.28,9.87,0.52,3.37,30.21,42.38
Aetna,AET,207.28,209.85,206.65,209.36,1.31,0.63,"3,232,847",210.90,166.88,2.00,0.96,18.84,16.06
Affiliated Managers Group,AMG,110.12,113.35,108.95,113.29,2.22,2.00,"613,433",217.00,108.95,1.20,1.06,8.87,-44.80
AFLAC,AFL,43.60,44.28,43.36,44.27,0.32,0.73,"2,951,836",48.19,41.41,1.04,2.35,6.98,0.87
AGCO,AGCO,56.26,57.58,55.57,57.40,0.59,1.04,"880,554",75.95,49.50,0.60,1.05,19.92,-19.64
Agilent Technologies,A,63.32,64.95,62.54,64.72,1.25,1.97,"3,713,441",75.00,60.42,0.66,1.01,71.12,-3.36
AG Mortgage Investment Trust,MITT,18.18,18.18,17.95,18.07,-0.18,-0.99,"128,027",19.95,16.31,2.00,11.07,10.13,-4.94
Agnico-Eagle Mines,AEM,35.20,35.54,34.90,35.30,0.42,1.20,"1,304,717",49.80,32.18,0.44,1.25,82.09,-23.56
Agree Realty,ADC,57.90,58.47,57.36,57.86,-0.10,-0.17,"255,662",59.69,43.74,2.16,3.73,29.27,12.48
A. H. Belo Series A,AHC,4.50,4.62,4.49,4.54,0.02,0.44,"19,345",5.80,4.25,0.32,7.05,14.21,-5.42
Aircastle,AYR,19.10,19.32,18.92,19.20,-0.06,-0.31,"293,880",25.30,17.86,1.20,6.25,7.59,-17.91
Air Lease,AL,38.25,38.39,37.51,38.34,-0.17,-0.44,"899,455",50.70,36.46,0.52,1.36,5.06,-20.27
Air Products&Chemicals,APD,156.08,162.11,155.90,160.64,3.43,2.18,"1,269,868",175.17,148.44,4.40,2.74,23.68,-2.10
AK Steel Holding,AKS,3.68,3.78,3.65,3.75,0.06,1.63,"4,806,516",6.80,3.42,...,...,26.79,-33.75
Alamo Group,ALG,85.00,86.20,83.16,85.41,-0.14,-0.16,"48,361",120.58,79.85,0.44,0.52,16.69,-24.33
Alamos Gold,AGI,3.55,3.63,3.51,3.57,0.05,1.42,"1,157,108",7.04,3.32,0.02,0.56,...,-45.16
Alaska Air Group,ALK,67.08,67.88,66.27,67.71,0.50,0.74,"916,667",76.06,57.53,1.28,1.89,10.73,-7.89
Albany International Cl A,AIN,72.59,74.34,71.79,74.34,1.30,1.78,"153,598",82.20,57.95,0.68,0.91,32.98,20.98
Albemarle,ALB,99.73,103.37,99.07,102.70,2.76,2.76,"1,097,161",138.67,86.75,1.34,1.30,23.76,-19.70
Alcoa,AA,35.09,36.16,34.80,35.94,0.79,2.25,"2,402,488",62.35,33.08,...,...,...,-33.28
Alexander&Baldwin,ALEX,20.95,21.08,20.59,20.73,-0.45,-2.12,"232,982",45.47,19.14,...,...,6.07,-25.27
Alexander's Inc.,ALX,313.46,316.85,313.46,316.85,3.08,0.98,"2,641",426.99,307.00,18.00,5.68,39.81,-19.96
Alexandria Real Estate Equities,ARE,123.08,123.08,120.84,121.83,-2.01,-1.62,"416,793",134.37,114.00,3.72,3.05,28.99,-6.71
Algonquin Power&Utilities,AQN,10.62,10.78,10.60,10.67,0.01,0.09,"209,083",11.34,9.45,0.51,4.81,26.21,-4.39
Alibaba Group Holding ADR,BABA,152.90,157.40,150.89,156.22,5.78,3.84,"29,298,359",211.70,130.06,...,...,44.87,-9.40
Alleghany,Y,625.31,629.82,604.10,627.97,15.61,2.55,"8,060",659.88,549.00,...,...,10.55,5.35
Allegheny Technologies,ATI,26.65,27.39,26.57,27.37,0.51,1.90,"705,383",30.25,21.18,...,...,21.08,13.38
Allegion,ALLE,86.54,89.54,86.29,88.46,1.35,1.55,"771,114",92.87,73.85,0.84,0.95,27.22,11.19
Allergan,AGN,157.04,159.41,154.00,159.37,1.65,1.05,"3,952,901",197.00,142.81,2.88,1.81,25.75,-2.57
Allete,ALE,77.42,78.66,76.81,78.51,0.73,0.94,"229,405",81.24,66.64,2.24,2.85,26.13,5.58
AllianceBernstein Holding,AB,29.94,30.06,29.43,29.75,-0.30,-1.00,"464,796",31.24,24.00,2.76,9.28,10.98,18.76
Alliance Data Systems,ADS,198.07,198.97,194.83,197.90,-1.84,-0.92,"574,696",278.33,192.02,2.28,1.15,11.54,-21.93
Alliant Energy,LNT,44.40,45.23,44.12,45.12,0.46,1.03,"1,714,917",45.73,36.84,1.34,2.97,20.20,5.89
Allison Transmission Holdings,ALSN,46.56,47.59,46.43,47.43,0.54,1.15,"983,979",53.76,37.41,0.60,1.27,9.21,10.12
Allstate,ALL,87.86,89.31,87.14,89.29,0.65,0.73,"1,995,197",105.36,87.14,1.84,2.06,8.80,-14.73
Ally Financial,ALLY,25.20,25.38,25.01,25.37,-0.03,-0.12,"3,485,631",31.29,23.69,0.60,2.36,9.50,-13.00
Alteryx Cl A,AYX,57.59,60.75,57.53,60.61,2.85,4.93,"1,037,311",67.40,23.95,...,...,...,139.85
Altice USA Cl A,ATUS,17.60,18.08,17.31,17.82,0.11,0.62,"5,660,204",25.15,14.49,...,...,6.35,-16.06
Altria Group,MO,58.77,58.83,57.15,57.28,-1.82,-3.08,"13,593,175",74.38,53.91,3.20,5.59,10.19,-19.79
Aluminum Corp. of China ADR,ACH,9.62,9.79,9.45,9.68,0.17,1.79,"35,253",19.41,8.74,...,...,25.01,-46.01
Amber Road,AMBR,8.80,8.95,8.73,8.94,0.09,1.02,"79,285",10.41,6.14,...,...,...,21.80
Ambev ADR,ABEV,4.22,4.27,4.19,4.23,0.03,0.71,"17,286,446",7.43,3.86,...,...,21.63,-34.52
AMC Entertainment Holding,AMC,15.50,15.51,14.74,14.74,-0.94,-5.99,"2,142,107",21.45,12.30,0.80,5.43,...,-2.38
Ameren,AEE,68.34,69.47,67.47,69.39,0.65,0.95,"1,768,598",69.47,51.89,1.90,2.74,24.85,17.63
Ameresco,AMRC,14.60,14.84,14.26,14.75,0.23,1.58,"103,586",16.59,7.65,...,...,13.56,71.51
America Movil ADR,AMX,13.53,13.71,13.26,13.40,-0.09,-0.67,"5,082,253",19.91,13.26,0.31,2.35,31.18,-21.87
America Movil Cl A ADR,AMOV,13.41,13.43,13.36,13.36,-0.12,-0.89,"565",19.87,13.28,0.31,2.36,31.08,-21.43
American Assets Trust,AAT,39.20,39.20,38.40,38.76,-0.53,-1.35,"222,380",39.99,30.62,1.12,2.89,89.87,1.36
American Axle&Manufacturing Holdings,AXL,12.15,12.69,11.95,12.59,0.33,2.69,"3,208,632",19.63,11.26,...,...,3.54,-26.07
American Campus Communities,ACC,41.17,41.17,40.58,40.96,-0.43,-1.04,"469,722",43.86,34.52,1.84,4.49,53.20,-0.17
American Eagle Outfitters,AEO,20.83,21.05,20.50,20.93,-0.14,-0.66,"3,614,756",29.88,13.79,0.55,2.63,14.53,11.33
American Electric Power,AEP,75.74,76.82,75.10,76.79,0.66,0.87,"2,950,102",78.07,62.70,2.68,3.49,19.34,4.38
American Equity Investment Life Holding,AEL,33.85,34.36,33.48,34.34,0.16,0.47,"651,761",38.56,27.06,0.26,0.76,7.10,11.75
American Express,AXP,106.68,109.69,106.34,109.60,1.83,1.70,"3,594,941",111.77,87.54,1.56,1.42,26.25,10.36
American Financial Group,AFG,100.06,103.37,99.36,103.15,2.49,2.47,"325,513",121.69,98.22,1.60,1.55,12.89,-4.97
American Homes 4 Rent Cl A,AMH,20.16,20.17,19.86,19.87,-0.42,-2.07,"2,282,454",23.34,18.39,0.20,1.01,...,-9.02
American International Group,AIG,41.59,42.93,41.21,42.69,0.75,1.79,"7,073,509",65.05,39.29,1.28,3.00,...,-28.35
American International Group WT,AIG%,7.55,8.34,7.30,8.34,0.73,9.59,"180,171",23.00,6.70,...,...,...,-53.97
American Midstream Partners,AMID,5.75,5.95,5.62,5.70,0.03,0.53,"443,945",15.25,5.30,0.41,7.24,...,-57.30
American Realty Investors,ARL,15.44,16.10,15.44,16.10,0.26,1.64,"1,109",21.57,9.71,...,...,11.04,25.29
American Renal Associates Holdings,ARA,15.47,15.66,14.91,15.59,0.03,0.19,"213,802",24.07,11.62,...,...,...,-10.40
American States Water,AWR,63.85,65.48,63.40,65.46,1.38,2.15,"170,839",65.57,50.06,1.10,1.68,38.56,13.04
American Tower REIT,AMT,162.75,162.85,160.65,162.13,-1.28,-0.78,"1,936,486",163.58,130.37,3.16,1.95,60.95,13.64
American Vanguard,AVD,16.77,17.20,16.76,17.08,0.23,1.36,"36,859",24.00,15.31,0.08,0.47,20.19,-13.08
American Water Works,AWK,90.14,92.11,89.23,92.08,1.70,1.88,"819,847",92.79,76.04,1.82,1.98,36.57,0.64
Americold Realty Trust,COLD,26.40,26.47,25.69,26.30,-0.23,-0.87,"1,025,971",26.97,16.13,0.75,2.85,110.60,...
AmeriGas Partners,APU,35.40,35.52,34.73,35.02,-0.38,-1.07,"324,105",48.37,34.01,3.80,10.85,33.52,-24.25
Ameriprise Financial,AMP,123.36,126.67,122.64,126.66,1.79,1.43,"832,968",183.90,120.79,3.60,2.84,10.90,-25.26
AmerisourceBergen,ABC,88.66,89.18,86.08,89.15,-0.43,-0.48,"1,151,109",106.27,76.48,1.60,1.79,11.87,-2.91
Ametek,AME,72.40,74.69,72.25,74.40,1.43,1.96,"1,278,455",81.92,64.91,0.56,0.75,21.50,2.66
Amira Nature Foods,ANFI,0.58,0.62,0.58,0.60,0.03,4.82,"117,444",6.14,0.50,...,...,0.70,-85.61
Amneal Pharmaceuticals,AMRX,18.49,18.88,18.24,18.50,-0.18,-0.96,"472,921",24.48,13.47,...,...,...,11.11
AMN Healthcare Services,AMN,57.00,59.72,56.67,59.63,2.53,4.43,"361,014",68.20,42.40,...,...,19.78,21.08
Ampco-Pittsburgh,AP,4.35,4.36,3.82,4.23,-0.17,-3.86,"98,247",15.65,3.58,0.36,8.51,...,-65.89
Amphenol Cl A,APH,86.52,88.29,86.34,87.78,1.14,1.32,"1,605,928",97.56,80.42,0.92,1.05,36.27,-0.02
Amrep,AXR,7.39,7.39,7.15,7.20,0.05,0.70,"1,878",9.88,6.24,...,...,...,2.56
Anadarko Petroleum,APC,53.94,55.72,53.74,55.51,1.11,2.04,"4,537,065",76.70,46.80,1.00,1.80,19.77,3.49
Anaplan,PLAN,22.98,23.28,22.44,23.04,0.11,0.48,"279,005",27.30,20.37,...,...,...,...
Andeavor Logistics,ANDX,36.09,37.24,36.00,36.92,0.60,1.65,"655,979",55.21,36.00,4.12,11.16,17.19,-20.07
