Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg
3D Systems,DDD,17.37,17.79,17.08,17.14,-0.30,-1.72,"2,122,178",21.78,7.92,...,...,...,98.38
3M,MMM,186.57,187.48,182.36,184.99,0.45,0.24,"3,352,687",259.77,182.36,5.44,2.94,24.73,-21.40
8X8,EGHT,16.86,17.54,16.83,17.30,0.46,2.73,"1,709,001",23.50,13.90,...,...,...,22.70
58.com ADR,WUBA,58.23,61.30,57.59,61.09,4.17,7.33,"1,313,095",89.90,56.70,...,...,36.42,-14.64
500.com ADR,WBAI,7.05,7.10,6.87,6.87,-0.01,-0.15,"22,348",23.22,6.82,...,...,...,-32.05
A10 Networks,ATEN,5.66,5.74,5.59,5.69,0.03,0.53,"388,761",8.25,5.51,...,...,...,-26.30
AAC Holdings,AAC,6.88,6.94,6.70,6.84,...,...,"196,445",12.96,6.50,...,...,...,-24.00
AAR Corp.,AIR,44.75,45.96,44.18,45.44,1.21,2.74,"228,607",51.52,36.46,0.30,0.66,82.62,15.65
Aaron's Inc.,AAN,47.31,47.31,43.16,43.89,-4.16,-8.66,"1,377,071",56.00,34.29,0.12,0.27,10.76,10.14
ABB ADR,ABB,19.72,20.05,19.69,19.81,-0.08,-0.40,"2,897,653",28.67,19.69,0.83,4.17,18.93,-26.14
Abbott Laboratories,ABT,67.20,68.33,66.34,67.67,0.73,1.09,"8,491,144",74.15,53.61,1.12,1.66,139.50,18.57
AbbVie,ABBV,80.40,83.19,79.66,81.73,2.32,2.92,"8,429,705",125.86,79.26,3.84,4.70,20.23,-15.49
Abercrombie&Fitch,ANF,18.29,18.88,18.13,18.41,0.27,1.49,"2,263,423",29.69,11.62,0.80,4.35,35.40,5.62
ABM Industries,ABM,29.87,30.44,29.73,30.15,0.41,1.38,"504,361",44.70,28.17,0.70,2.32,23.69,-20.07
Acadia Realty Trust,AKR,26.78,28.35,26.78,27.84,0.60,2.20,"877,740",29.67,21.34,1.08,3.88,...,1.75
Accenture Cl A,ACN,155.40,157.96,154.88,156.92,3.80,2.48,"2,005,255",175.64,141.34,2.92,1.86,24.75,2.50
ACCO Brands,ACCO,9.95,10.23,9.93,10.14,0.23,2.32,"595,294",14.63,9.59,0.24,2.37,7.86,-16.89
Acorn International ADR,ATV,23.49,24.70,22.90,24.30,1.13,4.88,"10,914",38.86,13.50,...,...,...,37.75
Actuant Cl A,ATU,23.27,23.71,23.27,23.55,0.47,2.04,"300,882",31.00,21.50,0.04,0.17,...,-6.92
Acuity Brands,AYI,117.56,120.53,116.49,119.29,2.93,2.52,"310,708",186.99,109.98,0.52,0.44,13.98,-32.22
Acushnet Holdings,GOLF,23.60,24.00,23.56,23.74,0.25,1.06,"162,320",27.87,16.91,0.52,2.19,17.46,12.62
Adecoagro,AGRO,7.77,7.77,7.59,7.70,-0.04,-0.52,"386,377",10.91,6.93,...,...,...,-25.53
