Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg
3D Systems,DDD,19.11,19.72,19.07,19.25,0.17,0.89,"1,336,340",21.78,7.92,...,...,...,122.80
3M,MMM,212.00,212.87,210.00,210.11,-0.96,-0.45,"1,529,372",259.77,190.57,5.44,2.59,29.06,-10.73
8X8,EGHT,21.45,21.80,21.40,21.45,0.10,0.47,"602,388",23.50,13.90,...,...,...,52.13
58.com ADR,WUBA,76.05,76.88,74.64,75.98,0.02,0.03,"528,991",89.90,56.70,...,...,45.29,6.16
500.com ADR,WBAI,11.04,11.12,10.93,11.06,-0.07,-0.63,"19,517",23.22,9.05,...,...,...,9.40
A10 Networks,ATEN,6.07,6.27,6.07,6.10,0.02,0.33,"398,924",8.25,5.63,...,...,...,-20.98
AAC Holdings,AAC,7.19,7.41,7.10,7.28,0.08,1.11,"465,396",12.96,6.72,...,...,...,-19.11
AAR Corp.,AIR,48.91,48.91,45.60,46.19,-2.43,-5.00,"367,086",51.52,36.46,0.30,0.65,83.98,17.56
Aaron's Inc.,AAN,54.03,54.64,53.78,54.28,0.05,0.09,"344,280",56.00,34.29,0.12,0.22,13.30,36.21
ABB ADR,ABB,23.71,23.82,23.67,23.71,-0.04,-0.17,"1,670,678",28.67,21.22,0.83,3.48,22.65,-11.60
Abbott Laboratories,ABT,73.02,73.18,72.69,73.02,0.18,0.25,"5,322,207",73.29,53.20,1.12,1.53,144.57,27.95
AbbVie,ABBV,94.35,94.89,93.96,94.14,-0.04,-0.04,"2,917,349",125.86,85.24,3.84,4.08,23.30,-2.66
Abercrombie&Fitch,ANF,21.38,21.45,20.97,20.99,-0.24,-1.13,"1,231,716",29.69,11.62,0.80,3.81,40.37,20.42
ABM Industries,ABM,32.72,33.02,32.27,32.30,-0.42,-1.28,"340,449",44.70,28.17,0.70,2.17,25.38,-14.37
Acadia Realty Trust,AKR,27.55,27.69,27.38,27.40,0.01,0.04,"258,563",30.63,21.34,1.08,3.94,...,0.15
Accenture Cl A,ACN,168.93,173.93,168.70,170.05,-2.92,-1.69,"3,047,718",175.64,132.27,2.66,1.56,27.25,11.08
ACCO Brands,ACCO,11.55,11.60,11.45,11.45,-0.05,-0.43,"410,810",14.63,10.90,0.24,2.10,8.88,-6.15
Acorn International ADR,ATV,19.45,19.45,18.95,19.43,0.64,3.38,"4,328",38.86,13.21,...,...,...,10.14
Actuant Cl A,ATU,27.50,28.65,27.00,27.80,0.24,0.87,"700,745",31.00,21.50,0.04,0.14,...,9.88
Acuity Brands,AYI,159.54,160.06,157.16,158.54,-0.87,-0.55,"464,562",186.99,109.98,0.52,0.33,19.87,-9.92
Acushnet Holdings,GOLF,27.42,27.82,27.26,27.31,-0.04,-0.15,"212,337",27.87,16.91,0.52,1.90,20.08,29.55
Adecoagro,AGRO,7.45,7.46,7.30,7.39,-0.09,-1.20,"757,014",11.15,6.93,...,...,...,-28.53
Adient,ADNT,40.55,40.64,39.75,39.77,-0.57,-1.41,"773,085",86.42,39.75,1.10,2.77,305.92,-49.47
ADT,ADT,9.36,9.58,9.29,9.39,0.01,0.11,"2,023,412",13.02,6.93,0.14,1.49,...,...
Adtalem Global Education,ATGE,47.25,47.75,47.19,47.50,0.15,0.32,"427,076",56.45,30.71,...,...,89.89,12.96
Advance Auto Parts,AAP,169.42,170.92,169.17,169.79,0.46,0.27,"709,392",171.33,78.81,0.24,0.14,23.52,70.32
Advanced Disposal Services,ADSW,27.05,27.11,26.98,27.01,0.03,0.11,"131,077",27.93,21.50,...,...,42.20,12.82
Advanced Drainage Systems,WMS,31.20,32.00,31.20,31.60,0.40,1.28,"182,957",33.50,17.90,0.32,1.01,26.33,32.49
AdvanSix,ASIX,34.19,34.35,33.85,34.09,-0.15,-0.44,"115,463",46.51,32.29,...,...,7.98,-18.97
AECOM,ACM,32.50,32.77,32.37,32.62,0.11,0.34,"522,440",39.90,30.95,...,...,37.93,-12.19
Aegean Marine Petroleum Network,ANW,1.38,1.46,1.38,1.42,0.02,1.43,"345,560",5.15,0.60,0.04,2.82,...,-66.98
Aegon ADR,AEG,6.62,6.64,6.55,6.56,-0.07,-1.06,"1,033,185",7.48,5.50,0.32,4.86,5.54,4.13
AerCap Holdings,AER,57.19,57.55,57.08,57.27,0.08,0.14,"826,217",58.30,48.29,...,...,8.54,8.86
Aerohive Networks,HIVE,4.04,4.07,4.00,4.00,-0.05,-1.23,"130,343",6.50,3.55,...,...,...,-31.39
Aerojet Rocketdyne Holdings,AJRD,33.37,34.04,33.30,33.95,0.63,1.89,"511,431",37.70,24.41,...,...,321.19,8.81
AES,AES,13.62,13.77,13.55,13.70,0.09,0.66,"3,867,145",14.11,9.87,0.52,3.80,23.10,26.50
Aetna,AET,202.77,203.51,201.87,202.68,0.92,0.46,"2,176,446",206.66,149.69,2.00,0.99,19.12,12.36
Affiliated Managers Group,AMG,139.45,139.63,137.84,138.20,-0.89,-0.64,"394,498",217.00,137.84,1.20,0.87,10.92,-32.67
AFLAC,AFL,47.01,47.35,46.88,47.05,0.01,0.02,"1,737,211",48.19,40.55,1.04,2.21,7.65,7.20
AGCO,AGCO,61.37,61.94,60.52,60.79,-0.37,-0.60,"599,050",75.95,56.36,0.60,0.99,22.11,-14.90
Agilent Technologies,A,70.58,70.85,70.10,70.80,0.47,0.67,"1,518,754",75.00,60.42,0.60,0.84,77.80,5.72
AG Mortgage Investment Trust,MITT,17.93,18.13,17.93,18.08,0.20,1.12,"154,010",19.95,16.31,2.00,11.06,8.04,-4.89
Agnico-Eagle Mines,AEM,33.50,34.14,33.20,33.95,0.20,0.59,"1,311,715",49.80,32.18,0.44,1.30,51.44,-26.48
Agree Realty,ADC,51.71,52.20,51.66,51.84,0.35,0.68,"190,529",57.49,43.74,2.16,4.17,27.04,0.78
A. H. Belo Series A,AHC,4.50,4.60,4.48,4.55,0.10,2.25,"25,886",5.80,4.25,0.32,7.03,9.30,-5.21
Aircastle,AYR,21.47,22.26,21.47,22.00,1.10,5.26,"849,808",25.30,18.97,1.12,5.09,7.86,-5.94
Air Lease,AL,45.92,46.47,45.91,46.10,0.24,0.52,"423,610",50.70,40.26,0.40,0.87,6.44,-4.14
Air Products&Chemicals,APD,168.14,169.33,167.59,168.52,0.72,0.43,"759,072",175.17,150.46,4.40,2.61,24.48,2.71
AK Steel Holding,AKS,4.81,4.86,4.77,4.83,0.01,0.21,"5,266,649",6.80,4.00,...,...,...,-14.66
Alamo Group,ALG,92.07,93.52,91.67,91.84,-0.16,-0.17,"18,704",120.58,88.12,0.44,0.48,20.25,-18.63
Alamos Gold,AGI,4.51,4.53,4.40,4.48,-0.07,-1.54,"1,335,534",7.30,4.06,0.02,0.45,72.85,-31.18
Alaska Air Group,ALK,68.34,70.00,68.21,68.98,1.86,2.77,"2,229,454",82.68,57.53,1.28,1.86,10.30,-6.16
Albany International Cl A,AIN,79.30,80.15,78.65,78.95,-0.15,-0.19,"66,181",82.20,55.80,0.68,0.86,42.68,28.48
Albemarle,ALB,101.41,101.76,99.73,100.95,-0.37,-0.37,"1,062,877",144.99,86.75,1.34,1.33,23.36,-21.06
Alcoa,AA,40.38,40.81,40.08,40.50,0.02,0.05,"2,778,389",62.35,39.58,...,...,54.97,-24.82
Alexander&Baldwin,ALEX,22.28,22.41,22.20,22.24,...,...,"181,912",46.96,20.83,...,...,6.63,-19.83
Alexander's Inc.,ALX,342.79,343.56,341.47,341.47,-0.64,-0.19,"1,541",436.80,332.98,18.00,5.27,37.94,-13.74
Alexandria Real Estate Equities,ARE,122.12,123.88,121.77,122.73,1.23,1.01,"561,642",134.37,114.00,3.72,3.03,44.37,-6.02
