Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg
3D Systems,DDD,11.98,12.19,11.92,11.97,0.05,0.42,"1,211,901",23.70,7.92,...,...,...,38.54
3M,MMM,219.15,221.69,218.74,220.09,2.39,1.10,"1,686,668",259.77,189.51,5.44,2.47,27.79,-6.49
8X8,EGHT,19.00,19.40,18.95,19.35,0.50,2.65,"494,262",20.25,13.90,...,...,...,37.23
58.com ADR,WUBA,79.99,83.46,79.71,82.88,3.20,4.02,"858,787",87.65,34.84,...,...,64.24,15.80
500.com ADR,WBAI,17.55,17.63,17.09,17.42,-0.74,-4.07,"119,654",23.22,8.12,...,...,...,72.30
A10 Networks,ATEN,6.27,6.44,6.24,6.37,0.10,1.59,"335,757",9.75,5.63,...,...,...,-17.49
AAC Holdings,AAC,11.12,11.31,10.86,11.18,0.11,0.99,"46,365",13.06,5.99,...,...,...,24.22
AAR Corp.,AIR,44.17,45.49,44.05,44.72,0.86,1.96,"244,288",45.60,33.17,0.30,0.67,63.49,13.82
Aaron's Inc.,AAN,47.70,48.97,47.40,48.24,0.96,2.03,"565,357",49.77,29.97,0.12,0.25,11.88,21.05
ABB ADR,ABB,23.25,23.36,23.20,23.29,0.28,1.22,"2,178,129",28.67,21.92,0.83,3.55,22.45,-13.16
Abbott Laboratories,ABT,59.65,59.96,59.05,59.80,0.53,0.89,"5,458,247",64.60,42.88,1.12,1.87,222.22,4.78
AbbVie,ABBV,93.20,94.01,92.62,93.59,0.99,1.07,"4,415,178",125.86,63.12,3.84,4.10,28.45,-3.23
Abercrombie&Fitch,ANF,28.15,28.78,28.01,28.56,0.52,1.85,"2,598,548",29.20,8.81,0.80,2.80,476.00,63.86
ABM Industries,ABM,32.73,32.77,32.34,32.47,0.01,0.03,"467,601",45.12,32.08,0.70,2.16,21.75,-13.92
Acadia Realty Trust,AKR,24.00,24.28,23.88,24.02,0.08,0.33,"728,883",32.02,21.34,1.08,4.50,168.09,-12.21
