Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg
3D Systems,DDD,20.34,21.73,20.23,21.61,1.24,6.09,"5,350,638",21.73,7.92,...,...,...,150.12
3M,MMM,205.00,206.04,204.39,205.69,1.09,0.53,"1,654,700",259.77,190.57,5.44,2.64,28.45,-12.61
8X8,EGHT,22.35,22.68,22.25,22.45,0.15,0.67,"583,566",23.10,13.90,...,...,...,59.22
58.com ADR,WUBA,70.97,73.38,70.86,72.57,1.87,2.64,"2,001,378",89.90,56.70,...,...,43.26,1.40
500.com ADR,WBAI,13.78,13.78,13.06,13.49,-0.26,-1.89,"119,556",23.22,9.05,...,...,...,33.43
A10 Networks,ATEN,6.90,7.01,6.89,6.91,0.01,0.14,"158,385",8.25,5.63,...,...,...,-10.49
AAC Holdings,AAC,9.75,10.00,9.69,9.71,-0.08,-0.82,"332,871",13.06,7.41,...,...,...,7.89
AAR Corp.,AIR,45.27,46.23,45.10,45.99,0.89,1.97,"116,286",49.05,34.25,0.30,0.65,108.36,17.05
Aaron's Inc.,AAN,49.53,50.49,49.50,50.17,0.70,1.41,"369,891",50.80,34.29,0.12,0.24,12.30,25.90
ABB ADR,ABB,23.02,23.05,22.93,22.98,0.24,1.06,"1,169,305",28.67,21.22,0.83,3.59,21.96,-14.32
Abbott Laboratories,ABT,64.91,65.07,64.50,64.75,0.11,0.17,"3,692,009",65.90,48.88,1.12,1.73,128.02,13.46
AbbVie,ABBV,97.86,98.05,96.80,97.74,0.11,0.11,"3,423,190",125.86,70.76,3.84,3.93,24.19,1.07
Abercrombie&Fitch,ANF,28.27,28.56,27.74,28.35,0.07,0.25,"2,718,001",29.69,9.14,0.80,2.82,81.00,62.65
ABM Industries,ABM,32.56,33.44,32.39,32.95,0.66,2.04,"530,168",44.83,28.17,0.70,2.12,24.54,-12.65
Acadia Realty Trust,AKR,28.46,28.61,28.34,28.58,0.11,0.39,"762,219",30.63,21.34,1.08,3.78,...,4.46
Accenture Cl A,ACN,165.50,165.90,164.52,164.61,-0.51,-0.31,"1,241,141",168.95,127.99,2.66,1.62,26.38,7.52
ACCO Brands,ACCO,12.25,12.60,12.25,12.40,0.15,1.22,"355,639",14.63,10.68,0.24,1.94,9.61,1.64
Acorn International ADR,ATV,21.06,21.90,20.20,20.34,-0.64,-3.05,"6,472",38.86,13.21,...,...,...,15.30
Actuant Cl A,ATU,29.25,29.50,29.10,29.45,0.35,1.20,"364,266",30.05,21.50,0.04,0.14,...,16.40
Acuity Brands,AYI,145.58,149.12,145.48,148.10,3.01,2.07,"510,232",186.99,109.98,0.52,0.35,18.56,-15.85
Acushnet Holdings,GOLF,27.23,27.70,27.09,27.51,0.40,1.48,"285,308",27.85,15.95,0.52,1.89,20.23,30.50
Adecoagro,AGRO,8.40,8.48,8.40,8.42,...,...,"233,884",11.15,7.20,...,...,...,-18.57
Adient,ADNT,45.77,45.97,44.86,45.56,-0.23,-0.50,"12,862,943",86.42,42.04,1.10,2.41,350.46,-42.11
ADT,ADT,8.76,9.22,8.71,9.14,0.45,5.18,"3,542,813",13.02,6.93,0.14,1.53,...,...
Adtalem Global Education,ATGE,48.65,49.00,48.35,48.50,0.10,0.21,"484,780",56.45,30.71,...,...,91.79,15.34
Advance Auto Parts,AAP,161.22,161.71,159.35,160.15,-0.69,-0.43,"1,178,804",161.71,78.81,0.24,0.15,22.18,60.65
Advanced Disposal Services,ADSW,25.45,25.90,25.45,25.83,0.39,1.53,"330,026",25.90,21.50,...,...,40.36,7.89
Advanced Drainage Systems,WMS,31.55,31.90,31.55,31.75,0.30,0.95,"359,373",32.10,17.90,0.32,1.01,26.46,33.12
AdvanSix,ASIX,33.15,33.81,33.15,33.36,0.25,0.76,"126,317",46.51,30.36,...,...,7.81,-20.70
Advantage Oil&Gas,AAV,2.95,3.05,2.95,3.00,0.05,1.69,"56,589",6.70,2.70,...,...,25.02,-30.23
AECOM,ACM,33.31,33.74,33.31,33.52,0.39,1.18,"497,386",39.90,30.51,...,...,38.98,-9.77
Aegean Marine Petroleum Network,ANW,1.86,1.92,1.81,1.89,0.03,1.61,"707,294",5.25,0.60,0.04,2.12,...,-56.05
Aegon ADR,AEG,6.03,6.12,6.03,6.08,0.10,1.67,"1,081,372",7.48,5.49,0.33,5.41,5.14,-3.49
AerCap Holdings,AER,56.89,57.50,56.89,57.05,0.24,0.42,"1,109,359",58.30,47.99,...,...,8.50,8.44
Aerohive Networks,HIVE,4.25,4.33,4.24,4.25,0.02,0.47,"298,749",6.50,3.30,...,...,...,-27.10
Aerojet Rocketdyne Holdings,AJRD,36.16,36.71,36.04,36.62,0.81,2.26,"465,263",37.70,24.41,...,...,346.45,17.37
AES,AES,13.96,14.02,13.91,13.97,0.01,0.07,"3,368,686",14.02,9.87,0.52,3.72,23.55,28.99
Aetna,AET,199.15,199.55,198.35,198.35,-1.17,-0.59,"1,464,065",199.95,149.69,2.00,1.01,18.71,9.96
Affiliated Managers Group,AMG,147.79,150.10,147.72,148.87,0.88,0.59,"334,636",217.00,142.79,1.20,0.81,11.77,-27.47
AFLAC,AFL,46.56,47.07,46.31,46.92,0.40,0.86,"2,528,893",47.08,39.81,1.04,2.22,7.63,6.90
AGCO,AGCO,60.59,61.99,60.59,61.62,1.30,2.16,"463,173",75.95,56.36,0.60,0.97,22.41,-13.73
Agilent Technologies,A,64.74,65.40,64.62,64.93,0.46,0.71,"2,724,029",75.00,60.42,0.60,0.92,71.35,-3.05
AG Mortgage Investment Trust,MITT,19.01,19.19,18.95,19.06,0.06,0.32,"143,892",19.95,16.31,2.00,10.49,8.47,0.26
