Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg
3D Systems,DDD,10.51,10.67,10.28,10.40,-0.03,-0.29,"1,265,673",21.78,8.53,...,...,...,20.37
3M,MMM,193.39,196.92,193.15,194.56,1.74,0.90,"2,515,732",259.77,181.98,5.44,2.80,26.01,-17.34
8X8,EGHT,18.04,18.39,17.89,17.96,0.14,0.79,"702,406",23.50,14.00,...,...,...,27.38
58.com ADR,WUBA,58.80,58.91,56.45,57.03,-1.48,-2.53,"1,512,488",89.90,52.14,...,...,28.06,-20.32
500.com ADR,WBAI,7.80,8.36,7.80,8.02,0.22,2.82,"10,407",23.22,5.22,...,...,...,-20.67
A10 Networks,ATEN,6.16,6.31,6.08,6.23,0.11,1.80,"575,448",8.04,5.51,...,...,...,-19.30
AAC Holdings,AAC,2.00,2.02,1.95,1.96,-0.01,-0.51,"181,857",12.96,1.70,...,...,...,-78.22
AAR Corp.,AIR,40.10,42.57,40.10,42.36,2.62,6.59,"371,929",51.52,36.46,0.30,0.71,77.02,7.81
Aaron's Inc.,AAN,42.00,43.56,41.51,42.95,2.41,5.94,"1,306,794",56.00,36.20,0.14,0.33,9.87,7.78
ABB ADR,ABB,19.54,19.64,19.34,19.41,0.31,1.62,"3,054,777",28.67,18.74,0.83,4.26,18.42,-27.63
Abbott Laboratories,ABT,70.85,70.90,69.31,70.08,0.33,0.47,"6,560,046",74.92,55.58,1.28,1.83,144.47,22.80
AbbVie,ABBV,85.46,85.50,82.80,83.58,-1.35,-1.59,"5,008,729",125.86,77.50,4.28,5.12,17.27,-13.58
Abercrombie&Fitch,ANF,18.60,19.25,18.46,18.85,0.34,1.84,"1,957,878",29.69,15.28,0.80,4.24,26.17,8.15
ABM Industries,ABM,26.24,27.24,26.21,27.06,1.12,4.32,"930,492",40.00,25.64,0.70,2.59,21.26,-28.26
Acadia Realty Trust,AKR,26.32,26.91,26.29,26.47,0.22,0.84,"777,924",29.28,21.34,1.12,4.23,552.61,-3.25
Accenture Cl A,ACN,153.33,154.03,151.15,152.14,0.47,0.31,"2,487,959",175.64,146.05,2.92,1.92,24.00,-0.62
ACCO Brands,ACCO,6.72,6.85,6.67,6.78,0.08,1.19,"698,269",14.63,6.66,0.24,3.54,5.02,-44.43
Acorn International ADR,ATV,24.99,25.78,23.84,24.29,-1.46,-5.67,"3,735",38.86,13.50,...,...,...,37.69
Actuant Cl A,ATU,23.61,24.05,23.50,23.71,0.36,1.54,"596,112",31.00,21.50,0.04,0.17,...,-6.28
Acuity Brands,AYI,116.92,118.54,116.07,116.95,1.18,1.02,"573,744",186.99,109.98,0.52,0.44,13.71,-33.55
Acushnet Holdings,GOLF,21.66,22.10,21.46,21.49,-0.08,-0.37,"163,305",27.87,17.55,0.52,2.42,16.16,1.94
Adecoagro,AGRO,6.71,6.82,6.64,6.72,0.01,0.15,"287,572",10.63,6.64,...,...,...,-35.01
Adient,ADNT,18.02,18.82,17.34,17.37,-0.39,-2.20,"2,927,290",84.59,17.34,1.10,6.33,...,-77.93
ADT,ADT,6.74,6.82,6.42,6.57,-0.14,-2.09,"2,334,519",13.02,6.42,0.14,2.13,30.89,...
Adtalem Global Education,ATGE,50.27,50.66,49.38,49.62,-0.37,-0.74,"423,112",58.80,41.76,...,...,294.66,18.00
Advance Auto Parts,AAP,160.00,162.89,157.83,158.24,-0.60,-0.38,"1,217,084",186.15,98.03,0.24,0.15,21.15,58.73
Advanced Disposal Services,ADSW,24.91,25.04,24.38,24.43,-0.31,-1.25,"286,531",27.93,21.50,...,...,45.06,2.05
Advanced Drainage Systems,WMS,24.25,24.84,23.90,24.44,0.57,2.39,"173,541",33.50,21.70,0.32,1.31,17.98,2.47
AdvanSix,ASIX,24.01,25.10,23.91,24.74,0.78,3.26,"178,090",44.44,22.84,...,...,6.57,-41.19
AECOM,ACM,27.61,27.90,27.07,27.17,-0.33,-1.20,"968,400",39.90,27.07,...,...,32.77,-26.86
Aegon ADR,AEG,4.74,4.77,4.67,4.70,0.02,0.43,"5,107,623",7.48,4.66,0.32,6.79,...,-25.40
AerCap Holdings,AER,45.85,46.47,45.67,46.01,0.27,0.59,"1,960,702",58.30,45.62,...,...,6.69,-12.55
Aerohive Networks,HIVE,3.40,3.41,3.32,3.37,0.02,0.60,"220,556",6.45,3.32,...,...,...,-42.20
Aerojet Rocketdyne Holdings,AJRD,35.07,35.76,34.65,35.47,0.81,2.34,"615,103",38.92,24.41,...,...,46.94,13.69
AES,AES,14.90,15.29,14.82,14.98,0.10,0.67,"9,603,320",16.28,9.87,0.55,3.64,29.34,38.32
Affiliated Managers Group,AMG,96.36,97.60,94.90,95.72,0.26,0.27,"1,013,688",217.00,93.81,1.20,1.25,7.50,-53.36
AFLAC,AFL,44.57,45.10,44.27,44.54,0.22,0.50,"4,073,476",48.19,41.41,1.04,2.33,7.03,1.48
AGCO,AGCO,54.44,57.27,54.44,56.42,2.53,4.69,"1,929,444",75.33,49.50,0.60,1.06,19.58,-21.01
Agilent Technologies,A,68.45,69.03,67.39,67.99,0.14,0.21,"2,056,755",75.11,60.42,0.66,0.96,69.38,1.52
AG Mortgage Investment Trust,MITT,16.95,17.37,16.95,17.01,0.06,0.35,"220,231",19.84,16.31,2.00,11.76,9.54,-10.52
Agnico-Eagle Mines,AEM,39.36,40.78,39.22,40.32,0.89,2.26,"1,917,996",49.80,32.18,0.44,1.09,93.77,-12.69
