Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg
3D Systems,DDD,11.25,11.33,10.76,10.87,-0.46,-4.06,"1,384,722",21.78,8.88,...,...,...,6.88
3M,MMM,194.22,194.49,190.43,192.26,-3.60,-1.84,"2,529,484",259.77,176.87,5.44,2.83,25.70,0.90
8X8,EGHT,19.99,20.23,19.94,20.21,0.06,0.30,"529,464",23.50,15.13,...,...,...,12.03
58.com ADR,WUBA,59.16,60.10,58.25,60.06,-0.20,-0.33,"865,439",89.90,50.30,...,...,29.55,10.79
500.com ADR,WBAI,12.51,13.02,12.50,12.90,0.09,0.70,"59,395",23.22,5.22,...,...,...,70.18
A10 Networks,ATEN,6.66,6.78,6.44,6.52,-0.19,-2.83,"397,439",7.46,5.51,...,...,...,4.49
AAC Holdings,AAC,2.77,2.79,2.45,2.46,-0.31,-11.19,"293,165",12.96,1.33,...,...,...,75.71
AAR Corp.,AIR,37.28,37.28,36.13,36.77,-0.90,-2.39,"227,414",51.52,33.94,0.30,0.82,26.00,-1.53
Aaron's Inc.,AAN,48.07,49.01,47.92,48.14,-0.30,-0.62,"369,682",56.00,36.20,0.14,0.29,11.07,14.48
ABB ADR,ABB,19.15,19.25,19.07,19.17,-0.28,-1.44,"2,776,385",28.67,18.05,0.83,4.31,18.19,0.84
Abbott Laboratories,ABT,70.97,71.67,70.69,71.49,0.07,0.10,"6,262,194",74.92,55.58,1.28,1.79,147.37,-1.16
AbbVie,ABBV,88.86,89.36,87.90,88.66,-0.84,-0.94,"5,533,159",125.86,77.50,4.28,4.83,18.32,-3.83
Abercrombie&Fitch,ANF,20.65,20.90,19.99,20.07,-0.65,-3.14,"1,757,636",29.69,15.28,0.80,3.99,27.87,0.10
ABM Industries,ABM,35.80,36.26,35.09,35.23,-0.75,-2.08,"487,947",40.00,25.64,0.72,2.04,23.88,9.72
Acadia Realty Trust,AKR,26.31,26.45,25.99,26.26,-0.14,-0.53,"229,231",29.28,21.34,1.12,4.27,548.23,10.52
Accenture Cl A,ACN,149.50,150.40,147.91,148.97,-1.48,-0.98,"1,907,481",175.64,132.63,2.92,1.96,22.88,5.64
ACCO Brands,ACCO,8.80,8.90,8.73,8.83,...,...,"837,230",14.63,6.07,0.24,2.72,6.54,30.24
Acorn International ADR,ATV,21.45,22.16,21.00,21.69,-0.48,-2.17,"3,891",38.86,13.50,...,...,...,-0.94
Actuant Cl A,ATU,22.55,22.55,21.99,22.11,-0.62,-2.73,"257,636",31.00,19.07,0.04,0.18,...,5.34
Acuity Brands,AYI,119.55,119.71,115.10,116.14,-4.43,-3.67,"343,199",173.01,103.48,0.52,0.45,13.18,1.04
Acushnet Holdings,GOLF,23.27,23.49,22.89,23.11,-0.27,-1.15,"209,385",27.87,17.55,0.52,2.25,17.38,9.68
Adecoagro,AGRO,7.15,7.18,7.01,7.12,-0.05,-0.70,"416,893",10.30,6.40,...,...,...,2.30
Adient,ADNT,19.59,19.73,18.53,18.65,-1.13,-5.71,"1,927,349",73.59,14.52,1.10,5.90,...,23.84
ADT,ADT,7.30,7.33,7.10,7.14,-0.19,-2.59,"1,100,448",13.02,5.88,0.14,1.96,33.57,18.80
Adtalem Global Education,ATGE,48.72,49.44,48.28,48.70,-0.18,-0.37,"291,134",58.80,42.45,...,...,289.19,2.92
Advance Auto Parts,AAP,166.67,168.42,162.26,164.13,-3.48,-2.08,"1,352,030",186.15,102.15,0.24,0.15,21.94,4.24
Advanced Disposal Services,ADSW,24.80,25.00,24.36,24.55,-0.39,-1.56,"308,364",27.93,21.50,...,...,45.28,2.55
