Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg
3D Systems,DDD,14.41,14.99,14.29,14.50,0.14,0.97,"2,642,465",22.57,7.92,...,...,...,67.82
3M,MMM,205.67,205.95,203.95,204.92,-0.20,-0.10,"1,737,102",259.77,191.44,5.44,2.65,30.40,-12.94
8X8,EGHT,18.65,19.05,18.60,19.05,0.35,1.87,"525,293",23.05,13.90,...,...,...,35.11
58.com ADR,WUBA,79.33,81.25,78.79,80.72,1.99,2.53,"981,368",89.90,40.02,...,...,54.07,12.78
500.com ADR,WBAI,17.51,18.20,17.30,17.42,-0.13,-0.74,"221,789",23.22,9.05,...,...,...,72.30
A10 Networks,ATEN,6.32,6.38,6.28,6.35,0.04,0.63,"300,622",8.85,5.63,...,...,...,-17.75
AAC Holdings,AAC,10.37,10.46,10.12,10.33,-0.01,-0.10,"92,830",13.06,5.99,...,...,...,14.78
AAR Corp.,AIR,47.90,48.50,47.80,48.43,0.66,1.38,"243,597",48.50,33.92,0.30,0.62,68.75,23.26
Aaron's Inc.,AAN,42.45,43.69,42.28,43.38,0.97,2.29,"465,197",49.77,34.29,0.12,0.28,10.71,8.86
ABB ADR,ABB,23.42,23.52,23.31,23.35,...,...,"2,475,843",28.67,21.92,0.83,3.54,24.03,-12.94
Abbott Laboratories,ABT,63.27,63.42,62.61,62.92,-0.21,-0.33,"4,269,623",64.60,47.20,1.12,1.78,244.25,10.25
AbbVie,ABBV,99.80,100.12,98.74,98.91,-0.86,-0.86,"7,307,669",125.86,69.37,3.84,3.88,24.91,2.27
Abercrombie&Fitch,ANF,26.59,26.99,26.23,26.64,0.19,0.72,"2,029,219",29.20,8.81,0.80,3.00,76.11,52.84
ABM Industries,ABM,30.82,31.17,30.48,31.09,0.39,1.27,"1,115,412",45.12,28.17,0.70,2.25,23.15,-17.58
Acadia Realty Trust,AKR,27.24,27.93,27.14,27.72,0.47,1.72,"638,433",30.63,21.34,1.08,3.90,577.50,1.32
Accenture Cl A,ACN,163.44,164.01,162.45,162.84,0.09,0.06,"2,544,585",165.58,119.10,2.66,1.63,28.62,6.37
ACCO Brands,ACCO,13.55,13.60,13.40,13.40,-0.15,-1.11,"270,737",13.97,10.35,0.24,1.79,10.63,9.84
Acorn International ADR,ATV,31.05,31.60,30.51,30.51,-0.54,-1.74,"8,764",38.86,9.33,...,...,...,72.95
Actuant Cl A,ATU,26.05,26.15,25.73,25.75,-0.30,-1.15,"385,659",27.95,21.50,0.04,0.16,...,1.78
Acuity Brands,AYI,119.22,123.78,119.22,123.60,4.49,3.77,"910,577",208.82,109.98,0.52,0.42,15.30,-29.77
Acushnet Holdings,GOLF,24.55,24.84,24.46,24.66,0.11,0.45,"99,121",25.39,15.16,0.52,2.11,19.42,16.98
Adecoagro,AGRO,8.32,8.35,8.14,8.31,0.01,0.12,"261,448",11.15,7.20,...,...,83.94,-19.63
Adient,ADNT,48.82,51.48,48.82,50.11,2.01,4.18,"3,807,883",86.42,47.03,1.10,2.20,29.13,-36.33
ADT,ADT,7.97,8.31,7.89,8.29,0.32,4.02,"3,247,605",13.02,6.93,0.14,1.69,...,...
Adtalem Global Education,ATGE,49.30,49.67,49.25,49.30,...,...,"254,215",50.15,30.15,...,...,246.13,17.24
Advance Auto Parts,AAP,133.65,134.75,132.83,133.64,0.91,0.69,"716,911",134.75,78.81,0.24,0.18,19.65,34.06
Advanced Disposal Services,ADSW,23.85,24.00,23.81,23.99,0.18,0.76,"344,957",25.71,21.50,...,...,45.46,0.21
Advanced Drainage Systems,WMS,30.30,30.50,29.20,29.30,-0.70,-2.33,"794,972",31.00,17.90,0.32,1.09,30.21,22.85
AdvanSix,ASIX,40.12,40.64,39.91,40.45,0.45,1.13,"190,702",46.51,28.83,...,...,9.65,-3.85
Advantage Oil&Gas,AAV,3.10,3.15,3.05,3.05,-0.05,-1.61,"109,804",7.35,2.70,...,...,11.90,-29.07
AECOM,ACM,34.48,34.63,34.30,34.41,-0.03,-0.09,"451,651",39.90,30.15,...,...,30.45,-7.38
Aegean Marine Petroleum Network,ANW,0.99,0.99,0.84,0.93,-0.06,-6.24,"3,834,278",6.00,0.70,0.04,4.31,...,-78.41
Aegon ADR,AEG,6.40,6.41,6.31,6.34,-0.07,-1.09,"750,685",7.48,4.82,0.33,5.19,5.32,0.63
AerCap Holdings,AER,55.00,55.17,54.73,55.05,0.14,0.25,"607,387",56.26,44.69,...,...,8.24,4.64
Aerohive Networks,HIVE,4.14,4.25,4.14,4.17,0.02,0.48,"199,300",6.50,3.02,...,...,...,-28.47
Aerojet Rocketdyne Holdings,AJRD,30.18,30.23,29.56,29.93,-0.25,-0.83,"488,928",36.25,20.17,...,...,...,-4.07
AES,AES,12.86,13.07,12.81,13.04,0.21,1.64,"5,727,476",13.25,9.87,0.52,3.99,55.94,20.41
Aetna,AET,181.22,182.29,179.15,180.68,-1.38,-0.76,"2,537,312",194.40,147.60,2.00,1.11,17.16,0.16
Affiliated Managers Group,AMG,164.19,165.24,162.14,162.18,-1.58,-0.96,"302,303",217.00,155.69,1.20,0.74,12.76,-20.98
AFLAC,AFL,45.81,46.00,45.46,45.74,-0.01,-0.02,"2,330,988",46.19,38.31,1.04,2.27,7.66,4.22
AGCO,AGCO,63.68,64.61,63.37,64.05,0.37,0.58,"393,759",75.95,58.12,0.60,0.94,23.29,-10.33
Agilent Technologies,A,65.97,66.55,65.63,66.32,0.19,0.29,"1,907,943",75.00,58.22,0.60,0.90,92.11,-0.97
AG Mortgage Investment Trust,MITT,19.06,19.06,18.92,18.94,-0.11,-0.58,"72,294",19.95,16.31,1.90,10.03,6.01,-0.37
Agnico-Eagle Mines,AEM,44.99,45.58,44.86,45.57,0.46,1.02,"1,099,298",51.86,37.35,0.44,0.97,50.63,-1.32
Agree Realty,ADC,53.16,54.13,53.03,53.88,0.50,0.94,"122,991",54.13,43.74,2.16,4.01,26.07,4.74
A. H. Belo Series A,AHC,4.70,4.70,4.65,4.65,...,...,"5,500",5.80,4.35,0.32,6.88,9.70,-3.12
Aircastle,AYR,21.22,21.25,20.93,21.15,0.01,0.05,"573,436",25.30,18.97,1.12,5.30,10.22,-9.58
