Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg
3D Systems,DDD,10.00,10.44,10.00,10.40,0.36,3.59,"1,497,049",23.70,7.92,...,...,...,20.37
3M,MMM,194.03,195.54,191.44,195.02,0.63,0.32,"4,485,852",259.77,191.44,5.44,2.79,28.93,-17.14
8X8,EGHT,20.05,20.68,20.05,20.65,0.40,1.98,"511,999",20.68,13.90,...,...,...,46.45
58.com ADR,WUBA,87.05,88.94,86.50,88.63,1.24,1.42,"801,692",88.94,39.50,...,...,68.69,23.84
500.com ADR,WBAI,18.34,19.09,18.24,18.99,0.74,4.05,"181,948",23.22,8.12,...,...,...,87.83
A10 Networks,ATEN,6.11,6.21,6.09,6.21,0.11,1.80,"156,248",8.88,5.63,...,...,...,-19.56
AAC Holdings,AAC,11.34,11.52,11.02,11.51,0.18,1.59,"159,677",13.06,5.99,...,...,...,27.89
AAR Corp.,AIR,43.20,43.56,42.55,43.47,0.17,0.39,"208,626",45.91,33.17,0.30,0.69,61.71,10.64
Aaron's Inc.,AAN,41.46,41.60,39.71,40.28,-1.49,-3.57,"898,062",49.77,34.02,0.12,0.30,9.95,1.08
ABB ADR,ABB,23.22,23.36,23.05,23.33,0.06,0.26,"1,557,708",28.67,21.92,0.83,3.54,24.00,-13.01
Abbott Laboratories,ABT,57.70,58.87,57.55,58.82,0.69,1.19,"6,222,248",64.60,42.88,1.12,1.90,228.34,3.07
AbbVie,ABBV,102.10,103.37,101.18,102.07,5.52,5.72,"11,814,671",125.86,64.61,3.84,3.76,25.71,5.54
Abercrombie&Fitch,ANF,25.60,25.81,24.70,25.41,-0.21,-0.82,"3,066,261",29.20,8.81,0.80,3.15,423.50,45.78
ABM Industries,ABM,31.04,31.09,30.26,30.64,-0.49,-1.57,"850,016",45.12,30.26,0.70,2.28,20.53,-18.77
Acadia Realty Trust,AKR,23.59,23.78,23.39,23.69,0.09,0.38,"861,550",30.63,21.34,1.08,4.56,165.78,-13.41
Accenture Cl A,ACN,151.09,151.95,150.12,151.92,0.72,0.48,"1,160,264",165.58,119.10,2.66,1.75,26.70,-0.76
ACCO Brands,ACCO,12.30,12.30,11.25,11.60,-0.45,-3.73,"852,768",14.75,10.35,...,...,9.67,-4.92
Acorn International ADR,ATV,25.32,26.46,25.32,26.46,0.58,2.25,"1,708",28.50,9.33,...,...,...,49.98
Actuant Cl A,ATU,23.45,23.45,22.80,23.25,-0.30,-1.27,"397,367",27.95,21.50,0.04,0.17,...,-8.10
Acuity Brands,AYI,113.39,114.85,110.67,113.87,-5.90,-4.93,"3,050,014",208.82,110.67,0.52,0.46,14.09,-35.30
Acushnet Holdings,GOLF,24.30,24.36,23.97,24.32,0.16,0.66,"171,353",24.70,15.16,0.52,2.14,19.77,15.37
Adecoagro,AGRO,7.69,7.83,7.54,7.58,-0.14,-1.81,"300,607",11.92,7.22,...,...,93.58,-26.69
Adient,ADNT,61.51,61.51,59.61,60.79,-0.50,-0.82,"765,331",86.42,57.40,1.10,1.81,10.93,-22.76
ADT,ADT,8.92,8.99,8.66,8.68,-0.23,-2.58,"1,692,711",13.02,7.36,...,...,...,...
Adtalem Global Education,ATGE,47.45,47.70,46.60,47.15,-0.45,-0.95,"325,261",50.15,30.15,...,...,254.04,12.13
Advance Auto Parts,AAP,113.86,115.70,113.09,115.58,1.13,0.99,"768,809",151.72,78.81,0.24,0.21,18.00,15.94
