Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg
3D Systems,DDD,12.80,13.06,12.48,12.66,-0.12,-0.94,"1,197,747",21.78,7.92,...,...,...,46.53
3M,MMM,197.52,200.88,197.16,198.37,1.33,0.67,"2,091,670",259.77,181.98,5.44,2.74,26.52,-15.72
8X8,EGHT,18.18,18.67,18.05,18.26,0.23,1.28,"1,349,336",23.50,13.90,...,...,...,29.50
58.com ADR,WUBA,58.31,60.54,57.88,58.89,1.72,3.01,"1,141,927",89.90,56.56,...,...,35.10,-17.72
500.com ADR,WBAI,7.77,8.11,7.77,7.90,0.08,1.02,"29,886",23.22,5.22,...,...,...,-21.86
A10 Networks,ATEN,6.23,6.29,6.11,6.15,-0.06,-0.97,"202,986",8.25,5.51,...,...,...,-20.34
AAC Holdings,AAC,2.79,2.82,2.16,2.44,-0.32,-11.59,"1,127,487",12.96,2.16,...,...,...,-72.89
AAR Corp.,AIR,47.50,47.70,46.25,46.88,-0.73,-1.53,"181,200",51.52,36.46,0.30,0.64,85.24,19.32
Aaron's Inc.,AAN,49.43,50.62,49.43,49.74,0.68,1.39,"792,808",56.00,35.16,0.14,0.28,11.43,24.82
ABB ADR,ABB,19.70,19.94,19.59,19.70,0.12,0.61,"3,802,002",28.67,19.08,0.83,4.19,18.69,-26.55
Abbott Laboratories,ABT,70.87,71.18,69.25,69.49,-1.07,-1.52,"6,238,488",74.15,54.32,1.12,1.61,143.25,21.76
AbbVie,ABBV,90.00,90.88,88.20,88.22,-1.47,-1.64,"7,044,747",125.86,77.50,4.28,4.85,18.23,-8.78
Abercrombie&Fitch,ANF,19.35,19.41,17.98,18.37,-0.85,-4.42,"2,705,243",29.69,11.97,0.80,4.35,35.33,5.39
ABM Industries,ABM,30.72,30.86,29.85,30.07,-0.55,-1.80,"490,460",44.70,28.17,0.70,2.33,23.63,-20.28
Acadia Realty Trust,AKR,28.81,28.94,28.50,28.68,-0.01,-0.03,"322,166",29.48,21.34,1.08,3.77,598.75,4.82
Accenture Cl A,ACN,162.67,163.84,160.93,161.45,-0.99,-0.61,"1,422,158",175.64,142.77,2.92,1.81,25.47,5.46
ACCO Brands,ACCO,8.25,8.44,8.19,8.21,-0.01,-0.12,"440,652",14.63,7.39,0.24,2.92,6.08,-32.70
Acorn International ADR,ATV,21.57,21.99,21.46,21.99,0.69,3.24,"747",38.86,13.50,...,...,...,24.65
Actuant Cl A,ATU,25.07,25.33,24.62,24.74,-0.29,-1.16,"176,671",31.00,21.50,0.04,0.16,...,-2.21
Acuity Brands,AYI,125.07,127.80,123.34,124.55,-0.27,-0.22,"441,786",186.99,109.98,0.52,0.42,14.60,-29.23
Acushnet Holdings,GOLF,24.92,25.45,24.76,24.97,0.02,0.08,"360,037",27.87,16.91,0.52,2.08,18.77,18.45
Adecoagro,AGRO,7.22,7.29,7.02,7.06,-0.22,-3.02,"1,101,189",10.63,6.93,...,...,...,-31.72
Adient,ADNT,22.09,25.01,22.09,24.47,2.61,11.94,"3,696,649",84.59,21.09,1.10,4.50,188.23,-68.91
ADT,ADT,7.45,8.11,7.45,7.85,0.40,5.37,"2,124,951",13.02,6.93,0.14,1.78,37.03,...
Adtalem Global Education,ATGE,58.48,58.80,57.67,57.74,-0.42,-0.72,"425,531",58.80,36.80,...,...,342.87,37.31
Advance Auto Parts,AAP,184.07,185.50,177.51,184.72,17.66,10.57,"3,638,533",185.50,88.24,0.24,0.13,25.58,85.29
Advanced Disposal Services,ADSW,26.96,26.98,26.29,26.31,-0.58,-2.16,"228,993",27.93,21.50,...,...,48.72,9.90
Advanced Drainage Systems,WMS,26.67,27.53,26.43,26.50,-0.30,-1.12,"204,434",33.50,21.00,0.32,1.21,19.49,11.11
AdvanSix,ASIX,26.80,27.27,26.68,26.82,0.10,0.37,"146,770",44.44,22.84,...,...,7.12,-36.25
AECOM,ACM,31.01,32.54,31.01,31.44,0.46,1.48,"2,016,117",39.90,29.13,...,...,36.56,-15.37
Aegon ADR,AEG,6.14,6.25,6.14,6.20,0.04,0.65,"1,950,752",7.48,5.80,0.32,5.14,...,-1.59
AerCap Holdings,AER,51.71,53.15,51.71,51.89,0.29,0.56,"1,319,942",58.30,48.29,...,...,7.54,-1.37
Aerohive Networks,HIVE,3.94,4.05,3.92,3.94,-0.01,-0.25,"424,522",6.50,3.54,...,...,...,-32.42
Aerojet Rocketdyne Holdings,AJRD,36.68,37.06,36.00,36.28,-0.36,-0.98,"542,862",38.92,24.41,...,...,48.01,16.28
AES,AES,15.55,15.57,15.32,15.41,-0.11,-0.71,"3,770,244",16.28,9.87,0.52,3.37,30.19,42.29
Aetna,AET,209.91,210.67,209.00,209.52,0.19,0.09,"1,671,450",210.67,166.88,2.00,0.95,18.86,16.15
Affiliated Managers Group,AMG,113.29,113.83,111.08,111.38,-1.17,-1.04,"396,545",217.00,110.27,1.20,1.08,8.72,-45.73
AFLAC,AFL,44.24,44.85,44.20,44.37,-0.07,-0.16,"3,765,352",48.19,41.41,1.04,2.34,7.00,1.09
AGCO,AGCO,56.45,58.68,56.25,57.47,1.26,2.24,"907,786",75.95,49.50,0.60,1.04,19.94,-19.54
Agilent Technologies,A,64.59,65.47,63.94,64.34,-0.16,-0.25,"2,149,336",75.00,60.42,0.60,0.93,70.70,-3.93
AG Mortgage Investment Trust,MITT,18.14,18.33,18.11,18.26,0.16,0.88,"103,498",19.95,16.31,2.00,10.95,10.24,-3.95
