Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg
3D Systems,DDD,17.72,18.19,17.58,17.77,-0.08,-0.45,"844,196",21.78,7.92,...,...,...,105.67
3M,MMM,212.68,213.11,209.63,210.42,-3.95,-1.84,"2,877,892",259.77,190.57,5.44,2.59,29.10,-10.60
8X8,EGHT,19.38,19.66,18.89,18.93,-0.54,-2.77,"796,967",23.50,13.90,...,...,...,34.26
58.com ADR,WUBA,64.43,64.81,63.55,63.84,-1.08,-1.66,"574,225",89.90,56.70,...,...,38.05,-10.80
500.com ADR,WBAI,9.23,9.59,8.85,9.56,0.30,3.24,"91,476",23.22,8.85,...,...,...,-5.44
A10 Networks,ATEN,5.90,6.00,5.76,5.77,-0.15,-2.53,"246,248",8.25,5.63,...,...,...,-25.26
AAC Holdings,AAC,7.05,7.36,7.00,7.11,0.03,0.42,"93,686",12.96,6.72,...,...,...,-21.00
AAR Corp.,AIR,45.84,46.00,44.81,45.62,-0.30,-0.65,"249,206",51.52,36.46,0.30,0.66,82.95,16.11
Aaron's Inc.,AAN,52.33,53.42,50.80,51.27,-1.94,-3.65,"792,428",56.00,34.29,0.12,0.23,12.57,28.66
ABB ADR,ABB,22.26,22.41,22.18,22.32,-0.16,-0.71,"1,443,281",28.67,21.22,0.83,3.70,21.33,-16.78
Abbott Laboratories,ABT,71.24,71.59,70.87,71.29,-0.15,-0.21,"4,671,610",74.15,53.61,1.12,1.57,141.14,24.92
AbbVie,ABBV,94.71,95.26,93.80,94.57,-0.24,-0.25,"3,088,354",125.86,85.24,3.84,4.06,23.41,-2.21
Abercrombie&Fitch,ANF,19.71,20.05,19.40,19.44,-0.34,-1.72,"1,394,228",29.69,11.62,0.80,4.12,37.38,11.53
ABM Industries,ABM,32.09,32.79,31.94,32.65,0.54,1.68,"671,282",44.70,28.17,0.70,2.14,25.65,-13.44
Acadia Realty Trust,AKR,28.25,28.29,27.81,28.06,-0.14,-0.50,"378,480",30.63,21.34,1.08,3.85,...,2.56
Accenture Cl A,ACN,169.21,169.88,168.11,168.80,-1.10,-0.65,"1,903,582",175.64,136.14,2.92,1.73,26.62,10.26
ACCO Brands,ACCO,10.87,11.00,10.77,10.78,-0.15,-1.37,"509,317",14.63,10.63,0.24,2.23,8.36,-11.64
Acorn International ADR,ATV,20.90,21.16,20.90,20.90,-0.29,-1.36,"2,350",38.86,13.50,...,...,...,18.49
Actuant Cl A,ATU,27.31,27.54,26.65,26.66,-0.76,-2.77,"417,782",31.00,21.50,0.04,0.15,...,5.38
Acuity Brands,AYI,128.02,128.84,125.69,126.05,-3.00,-2.32,"590,354",186.99,109.98,0.52,0.41,14.78,-28.38
Acushnet Holdings,GOLF,25.56,25.70,25.07,25.27,-0.27,-1.06,"293,304",27.87,16.91,0.52,2.06,18.58,19.88
Adecoagro,AGRO,7.40,7.67,7.33,7.56,0.11,1.48,"643,824",10.91,6.93,...,...,...,-26.89
Adient,ADNT,34.39,34.50,33.30,33.39,-1.03,-2.99,"1,390,373",86.27,33.30,1.10,3.29,256.85,-57.57
ADT,ADT,8.66,8.77,8.57,8.63,-0.01,-0.12,"909,551",13.02,6.93,0.14,1.62,...,...
Adtalem Global Education,ATGE,45.30,47.32,45.30,47.08,1.59,3.50,"487,162",56.45,30.71,...,...,89.10,11.96
Advance Auto Parts,AAP,168.27,171.50,168.16,168.89,0.53,0.31,"773,990",171.50,78.81,0.24,0.14,23.39,69.42
Advanced Disposal Services,ADSW,26.21,26.46,26.11,26.33,0.03,0.11,"233,244",27.93,21.50,...,...,41.14,9.98
Advanced Drainage Systems,WMS,29.54,29.69,29.07,29.13,-0.56,-1.89,"151,825",33.50,17.90,0.32,1.10,24.27,22.14
AdvanSix,ASIX,32.85,33.27,32.58,32.70,-0.33,-1.00,"181,182",46.51,32.29,...,...,7.66,-22.27
AECOM,ACM,32.40,32.68,32.31,32.36,-0.08,-0.25,"555,757",39.90,30.95,...,...,37.63,-12.89
Aegean Marine Petroleum Network,ANW,1.41,1.46,1.34,1.37,-0.04,-2.84,"379,837",5.10,0.60,0.04,2.92,...,-68.14
Aegon ADR,AEG,6.43,6.50,6.41,6.48,-0.01,-0.15,"816,275",7.48,5.61,0.32,4.92,5.48,2.86
AerCap Holdings,AER,56.00,56.37,55.21,55.28,-0.83,-1.48,"1,368,058",58.30,48.29,...,...,8.24,5.08
Aerohive Networks,HIVE,4.02,4.04,3.91,3.94,-0.09,-2.23,"401,084",6.50,3.55,...,...,...,-32.42
Aerojet Rocketdyne Holdings,AJRD,32.58,32.74,31.63,32.20,-0.47,-1.44,"559,181",37.70,24.41,...,...,304.64,3.21
AES,AES,14.80,14.86,14.71,14.82,0.05,0.34,"7,292,302",14.86,9.87,0.52,3.51,24.99,36.84
Aetna,AET,204.25,204.64,203.24,203.72,-0.39,-0.19,"940,046",206.66,149.69,2.00,0.98,19.22,12.93
Affiliated Managers Group,AMG,133.02,133.02,130.52,131.27,-2.28,-1.71,"447,946",217.00,130.52,1.20,0.91,10.38,-36.04
AFLAC,AFL,47.11,47.52,46.75,47.41,0.28,0.59,"2,458,745",48.19,41.33,1.04,2.19,7.71,8.02
AGCO,AGCO,60.23,60.62,58.28,58.34,-2.31,-3.81,"796,004",75.95,56.36,0.60,1.03,21.21,-18.33
Agilent Technologies,A,69.34,69.63,68.71,69.41,-0.09,-0.13,"2,014,131",75.00,60.42,0.60,0.86,76.27,3.64
AG Mortgage Investment Trust,MITT,17.51,17.76,17.51,17.68,0.17,0.97,"79,010",19.95,16.31,2.00,11.31,7.86,-7.00
Agnico-Eagle Mines,AEM,34.89,34.99,33.56,33.69,-1.41,-4.02,"1,867,631",49.80,32.18,0.44,1.31,51.05,-27.05
Agree Realty,ADC,52.79,53.51,52.45,53.32,0.52,0.98,"341,688",57.49,43.74,2.16,4.05,27.82,3.65
A. H. Belo Series A,AHC,4.45,4.52,4.42,4.47,-0.01,-0.22,"10,667",5.80,4.25,0.32,7.16,9.13,-6.88
Aircastle,AYR,21.20,21.22,20.86,20.91,-0.33,-1.55,"419,706",25.30,18.97,1.12,5.36,7.47,-10.60
Air Lease,AL,44.72,44.72,43.51,43.57,-1.38,-3.07,"565,873",50.70,40.26,0.40,0.92,6.09,-9.40
Air Products&Chemicals,APD,168.62,168.62,163.80,164.32,-4.96,-2.93,"1,038,766",175.17,151.93,4.40,2.68,23.87,0.15
AK Steel Holding,AKS,4.89,4.94,4.79,4.80,-0.12,-2.44,"6,509,112",6.80,4.00,...,...,...,-15.19
Alamo Group,ALG,93.05,93.57,92.70,93.08,-0.03,-0.03,"51,743",120.58,88.12,0.44,0.47,20.52,-17.53
Alamos Gold,AGI,4.66,4.70,4.52,4.53,-0.19,-4.03,"1,300,916",7.30,4.06,0.02,0.44,73.66,-30.41
Alaska Air Group,ALK,64.57,65.02,62.36,62.61,-2.70,-4.13,"3,167,621",82.68,57.53,1.28,2.04,9.34,-14.83
Albany International Cl A,AIN,75.60,76.12,74.33,74.54,-1.13,-1.49,"121,136",82.20,55.80,0.68,0.91,40.29,21.30
Albemarle,ALB,101.20,101.20,96.97,97.28,-4.97,-4.86,"2,694,836",144.99,86.75,1.34,1.38,22.51,-23.93
Alcoa,AA,38.48,38.73,37.41,37.64,-1.10,-2.84,"5,038,738",62.35,37.41,...,...,51.09,-30.13
