Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg
3D Systems,DDD,20.23,20.35,19.51,19.70,-0.65,-3.19,"3,431,890",21.78,7.92,...,...,...,128.01
3M,MMM,210.55,210.75,207.54,208.60,-2.32,-1.10,"1,887,145",259.77,190.57,5.44,2.61,28.85,-11.37
8X8,EGHT,22.65,23.45,22.45,23.20,0.50,2.20,"1,432,435",23.45,13.90,...,...,...,64.54
58.com ADR,WUBA,75.51,75.87,72.81,73.86,-2.22,-2.92,"1,172,342",89.90,56.70,...,...,44.03,3.20
500.com ADR,WBAI,12.95,13.10,12.45,12.86,-0.18,-1.38,"87,696",23.22,9.05,...,...,...,27.20
A10 Networks,ATEN,6.90,6.90,6.59,6.61,-0.36,-5.16,"615,876",8.25,5.63,...,...,...,-14.38
AAC Holdings,AAC,8.75,8.75,8.43,8.50,-0.36,-4.06,"184,603",13.06,7.41,...,...,...,-5.56
AAR Corp.,AIR,46.66,46.66,45.81,46.20,-0.47,-1.01,"208,689",49.05,34.25,0.30,0.65,108.86,17.59
Aaron's Inc.,AAN,49.70,51.19,49.17,50.80,1.08,2.17,"459,279",51.53,34.29,0.12,0.24,12.45,27.48
ABB ADR,ABB,23.50,23.50,23.29,23.42,-0.09,-0.38,"3,942,069",28.67,21.22,0.83,3.53,22.38,-12.68
Abbott Laboratories,ABT,66.74,67.11,66.56,67.11,0.27,0.40,"4,582,402",67.36,50.64,1.12,1.67,132.86,17.59
AbbVie,ABBV,95.97,95.97,94.08,94.56,-1.42,-1.48,"4,288,110",125.86,74.73,3.84,4.06,23.41,-2.22
Abercrombie&Fitch,ANF,21.51,22.41,21.29,22.29,0.62,2.86,"4,065,535",29.69,11.62,0.80,3.59,42.87,27.88
ABM Industries,ABM,31.58,31.64,31.16,31.40,-0.32,-1.01,"511,981",44.75,28.17,0.70,2.23,23.39,-16.76
Acadia Realty Trust,AKR,28.46,28.64,28.00,28.06,-0.46,-1.61,"277,219",30.63,21.34,1.08,3.85,...,2.56
Accenture Cl A,ACN,168.76,169.59,167.88,169.50,0.43,0.25,"1,566,451",169.92,129.10,2.66,1.57,27.16,10.72
ACCO Brands,ACCO,12.40,12.40,12.05,12.20,-0.20,-1.61,"317,986",14.63,10.68,0.24,1.97,9.46,...
Acorn International ADR,ATV,20.05,20.50,20.02,20.05,0.35,1.76,"3,591",38.86,13.21,...,...,...,13.66
Actuant Cl A,ATU,29.45,29.45,28.95,29.25,-0.20,-0.68,"315,875",30.05,21.50,0.04,0.14,...,15.61
Acuity Brands,AYI,152.47,152.68,149.86,150.72,-2.12,-1.39,"332,090",186.99,109.98,0.52,0.35,18.89,-14.36
Acushnet Holdings,GOLF,26.93,26.93,26.64,26.81,-0.24,-0.89,"82,574",27.87,15.95,0.52,1.94,19.71,27.18
Adecoagro,AGRO,7.89,7.92,7.42,7.58,-0.43,-5.37,"1,657,456",11.15,7.20,...,...,...,-26.69
Adient,ADNT,43.36,43.49,42.23,42.37,-0.92,-2.13,"4,925,107",86.42,42.04,1.10,2.60,325.92,-46.16
ADT,ADT,8.96,9.25,8.83,9.19,0.24,2.68,"1,720,100",13.02,6.93,0.14,1.52,...,...
Adtalem Global Education,ATGE,47.50,48.75,47.45,47.75,-0.10,-0.21,"493,245",56.45,30.71,...,...,90.37,13.56
Advance Auto Parts,AAP,164.51,169.59,164.20,169.48,5.45,3.32,"1,358,486",169.59,78.81,0.24,0.14,23.47,70.01
Advanced Disposal Services,ADSW,26.68,27.17,26.62,27.13,0.45,1.69,"442,165",27.17,21.50,...,...,42.39,13.32
Advanced Drainage Systems,WMS,31.40,31.90,30.73,31.55,0.20,0.64,"634,186",33.50,17.90,0.32,1.01,26.29,32.29
AdvanSix,ASIX,33.86,34.06,33.37,34.00,0.16,0.47,"264,350",46.51,32.08,...,...,7.96,-19.18
Advantage Oil&Gas,AAV,2.90,2.92,2.66,2.70,-0.25,-8.47,"395,659",6.70,2.66,...,...,22.52,-37.21
AECOM,ACM,33.51,33.61,32.61,33.00,-0.64,-1.90,"715,491",39.90,30.95,...,...,38.37,-11.17
Aegean Marine Petroleum Network,ANW,1.82,1.82,1.72,1.74,-0.04,-2.25,"737,865",5.15,0.60,0.04,2.30,...,-59.53
Aegon ADR,AEG,5.97,6.01,5.93,6.01,0.06,1.01,"2,273,396",7.48,5.49,0.32,5.31,5.08,-4.60
AerCap Holdings,AER,56.97,57.13,56.22,56.79,-0.18,-0.32,"1,317,311",58.30,48.13,...,...,8.46,7.95
Aerohive Networks,HIVE,4.19,4.25,4.07,4.22,...,...,"267,174",6.50,3.36,...,...,...,-27.62
Aerojet Rocketdyne Holdings,AJRD,35.14,35.53,34.87,35.29,0.18,0.51,"438,167",37.70,24.41,...,...,333.87,13.11
AES,AES,13.43,13.53,13.09,13.15,-0.31,-2.30,"10,428,884",14.11,9.87,0.52,3.95,22.17,21.42
Aetna,AET,200.40,200.88,198.67,199.30,-0.97,-0.48,"1,229,043",200.88,149.69,2.00,1.00,18.80,10.48
Affiliated Managers Group,AMG,146.00,146.00,144.05,144.85,-1.24,-0.85,"468,479",217.00,142.79,1.20,0.83,11.45,-29.43
AFLAC,AFL,46.09,46.58,45.80,46.57,0.33,0.71,"2,474,338",47.15,39.88,1.04,2.23,7.57,6.11
AGCO,AGCO,59.57,59.70,58.26,59.10,-0.56,-0.94,"544,332",75.95,56.36,0.60,1.02,21.49,-17.26
Agilent Technologies,A,67.34,67.56,66.85,67.27,-0.27,-0.40,"1,635,834",75.00,60.42,0.60,0.89,73.92,0.45
AG Mortgage Investment Trust,MITT,18.75,18.90,18.73,18.77,-0.03,-0.16,"117,921",19.95,16.31,2.00,10.66,8.34,-1.26
Agnico-Eagle Mines,AEM,33.78,34.08,33.16,33.21,-1.31,-3.79,"2,540,380",51.85,33.16,0.44,1.32,50.32,-28.09
Agree Realty,ADC,57.36,57.49,56.36,56.60,-0.47,-0.82,"185,845",57.49,43.74,2.16,3.82,29.53,10.03
A. H. Belo Series A,AHC,4.40,4.60,4.40,4.60,0.20,4.55,"21,143",5.80,4.25,0.32,6.96,9.40,-4.17
Aircastle,AYR,20.86,20.98,20.45,20.50,-0.42,-2.01,"556,438",25.30,18.97,1.12,5.46,7.32,-12.36
Air Lease,AL,46.31,46.48,45.86,46.04,-0.17,-0.37,"862,459",50.70,38.46,0.40,0.87,6.43,-4.26
Air Products&Chemicals,APD,166.11,166.36,163.42,164.34,-1.95,-1.17,"911,899",175.17,143.79,4.40,2.68,23.87,0.16
AK Steel Holding,AKS,4.37,4.40,4.30,4.37,-0.07,-1.58,"11,282,715",6.80,4.00,...,...,...,-22.79
Alamo Group,ALG,95.01,95.73,94.76,95.11,-0.19,-0.20,"45,819",120.58,88.12,0.44,0.46,20.97,-15.73
Alamos Gold,AGI,4.30,4.34,4.10,4.23,-0.16,-3.64,"1,837,951",8.58,4.10,0.02,0.47,68.78,-35.02
Alaska Air Group,ALK,67.68,68.32,66.94,67.87,0.38,0.56,"1,468,879",82.68,57.53,1.28,1.89,10.13,-7.67
Albany International Cl A,AIN,76.85,77.10,75.60,76.80,-0.35,-0.45,"259,736",79.45,51.85,0.68,0.89,41.51,24.98
Albemarle,ALB,97.00,97.58,95.01,96.57,1.05,1.10,"1,463,399",144.99,86.75,1.34,1.39,22.34,-24.49
Alcoa,AA,43.88,43.92,43.10,43.36,-1.31,-2.93,"1,999,687",62.35,40.03,...,...,58.85,-19.51
Alexander&Baldwin,ALEX,23.47,23.49,22.83,23.01,-0.46,-1.96,"241,006",46.96,20.83,...,...,6.86,-17.05
Alexander's Inc.,ALX,361.00,361.00,357.00,357.00,-3.93,-1.09,"3,762",436.80,332.98,18.00,5.04,39.67,-9.81
Alexandria Real Estate Equities,ARE,128.07,128.28,125.77,125.98,-2.37,-1.85,"434,054",134.37,114.00,3.72,2.95,45.55,-3.53
Algonquin Power&Utilities,AQN,10.27,10.35,10.14,10.16,-0.19,-1.84,"100,390",11.34,9.45,0.51,5.05,24.79,-8.96
Alibaba Group Holding ADR,BABA,173.50,173.95,169.00,170.44,-4.57,-2.61,"23,051,335",211.70,164.25,...,...,50.45,-1.15
Alleghany,Y,632.22,640.54,630.00,636.08,4.30,0.68,"32,965",646.55,521.07,...,...,32.55,6.71
