Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg
3D Systems,DDD,11.70,11.91,11.61,11.77,0.03,0.26,"1,074,813",23.70,7.92,...,...,...,36.23
3M,MMM,214.20,215.89,213.50,214.33,-2.65,-1.22,"1,780,554",259.77,188.62,5.44,2.54,27.06,-8.94
8X8,EGHT,18.75,19.15,18.70,18.90,...,...,"331,097",20.25,13.90,...,...,...,34.04
58.com ADR,WUBA,79.23,82.75,79.21,81.47,1.77,2.22,"850,977",87.65,34.84,...,...,63.15,13.83
500.com ADR,WBAI,17.95,18.38,17.89,18.05,0.04,0.22,"86,430",23.22,8.12,...,...,...,78.54
A10 Networks,ATEN,6.09,6.24,6.04,6.10,0.02,0.33,"317,044",9.75,5.63,...,...,...,-20.98
AAC Holdings,AAC,11.24,11.38,11.00,11.03,-0.30,-2.65,"46,098",13.06,5.99,...,...,...,22.56
AAR Corp.,AIR,43.44,44.48,43.44,43.80,0.17,0.39,"151,193",45.60,32.57,0.30,0.68,62.18,11.48
Aaron's Inc.,AAN,46.39,47.04,46.13,46.25,-0.16,-0.34,"399,672",49.77,29.97,0.12,0.26,11.39,16.06
ABB ADR,ABB,22.77,22.88,22.71,22.76,-0.21,-0.91,"3,899,399",28.67,21.92,0.83,3.63,21.94,-15.14
Abbott Laboratories,ABT,58.64,59.05,58.21,58.45,-0.69,-1.17,"3,941,305",64.60,42.31,1.12,1.92,217.21,2.42
AbbVie,ABBV,92.58,94.48,92.40,93.64,0.02,0.02,"6,676,191",125.86,63.12,3.84,4.10,28.46,-3.17
Abercrombie&Fitch,ANF,27.92,28.45,27.78,28.11,0.01,0.04,"2,334,415",28.45,8.81,0.80,2.85,468.50,61.27
ABM Industries,ABM,32.18,32.73,32.18,32.56,0.04,0.12,"351,421",45.12,32.08,0.70,2.15,21.81,-13.68
Acadia Realty Trust,AKR,24.36,24.57,24.21,24.28,-0.08,-0.33,"661,679",32.02,21.34,1.08,4.45,169.91,-11.26
Accenture Cl A,ACN,149.40,149.87,148.16,148.40,-2.32,-1.54,"1,657,934",165.58,114.82,2.66,1.79,26.08,-3.06
ACCO Brands,ACCO,12.90,13.10,12.85,13.05,0.15,1.16,"364,914",14.75,10.35,...,...,10.88,6.97
Acorn International ADR,ATV,20.80,20.89,20.54,20.89,1.11,5.59,"1,801",21.84,8.95,...,...,...,18.42
Actuant Cl A,ATU,23.10,23.45,23.00,23.35,0.15,0.65,"353,869",27.95,21.50,0.04,0.17,...,-7.71
Acuity Brands,AYI,129.40,131.91,129.40,129.91,-0.26,-0.20,"706,543",208.82,119.02,0.52,0.40,16.08,-26.19
Acushnet Holdings,GOLF,24.02,24.27,23.96,24.11,0.09,0.37,"268,792",24.41,15.16,0.52,2.16,19.60,14.37
Adecoagro,AGRO,7.94,8.05,7.91,8.02,0.02,0.25,"415,809",11.92,7.22,...,...,99.01,-22.44
