Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg
3D Systems,DDD,12.32,12.90,12.31,12.73,0.56,4.60,"1,880,347",17.48,7.92,...,...,...,47.34
3M,MMM,210.98,211.06,206.87,207.05,-5.27,-2.48,"2,021,523",259.77,190.57,5.44,2.63,28.64,-12.03
8X8,EGHT,19.90,20.23,19.77,20.10,0.15,0.75,"632,187",23.10,13.90,...,...,...,42.55
58.com ADR,WUBA,67.51,68.35,65.24,66.00,-1.26,-1.87,"1,064,499",89.90,49.50,...,...,44.21,-7.78
500.com ADR,WBAI,14.15,14.25,13.86,13.97,-0.03,-0.21,"50,731",23.22,9.05,...,...,...,38.18
A10 Networks,ATEN,6.74,6.76,6.65,6.74,-0.02,-0.30,"322,152",8.25,5.63,...,...,...,-12.69
AAC Holdings,AAC,10.46,10.46,9.40,9.69,-0.70,-6.74,"203,382",13.06,5.99,...,...,...,7.67
AAR Corp.,AIR,47.41,47.55,46.58,46.91,-0.50,-1.05,"134,960",49.05,34.25,0.30,0.64,110.53,19.39
Aaron's Inc.,AAN,43.13,44.98,43.13,44.90,1.59,3.67,"780,902",50.80,34.29,0.12,0.27,11.00,12.67
ABB ADR,ABB,23.11,23.13,22.73,22.82,-0.20,-0.87,"2,132,541",28.67,21.22,0.83,3.62,21.80,-14.91
Abbott Laboratories,ABT,65.35,65.75,64.71,64.78,-0.76,-1.16,"4,031,451",65.90,48.05,1.12,1.73,128.07,13.51
AbbVie,ABBV,92.29,94.48,92.28,93.91,1.68,1.82,"5,204,963",125.86,69.47,3.84,4.09,23.25,-2.90
Abercrombie&Fitch,ANF,23.69,24.15,23.16,23.57,-0.12,-0.51,"1,181,507",29.20,9.03,0.80,3.39,67.34,35.23
ABM Industries,ABM,31.22,31.75,31.00,31.12,-0.08,-0.26,"673,857",45.12,28.17,0.70,2.25,23.18,-17.50
Acadia Realty Trust,AKR,27.45,27.45,26.59,27.16,0.08,0.30,"392,452",30.63,21.34,1.08,3.98,...,-0.73
Accenture Cl A,ACN,160.31,161.39,159.09,159.71,0.38,0.24,"2,011,042",168.95,127.26,2.66,1.67,25.59,4.32
ACCO Brands,ACCO,12.70,12.80,12.60,12.70,-0.10,-0.78,"819,745",14.63,10.35,0.24,1.89,9.84,4.10
