Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg
3D Systems,DDD,11.61,11.83,11.41,11.57,0.17,1.49,"1,338,609",21.78,8.53,...,...,...,33.91
3M,MMM,200.60,202.62,199.70,199.81,2.35,1.19,"1,736,956",259.77,181.98,5.44,2.72,26.71,-15.11
8X8,EGHT,19.67,19.87,19.40,19.54,0.26,1.35,"1,018,905",23.50,13.90,...,...,...,38.58
58.com ADR,WUBA,62.00,63.75,61.72,61.81,0.74,1.21,"690,610",89.90,52.14,...,...,30.41,-13.64
500.com ADR,WBAI,8.53,10.25,8.27,8.27,-0.08,-0.96,"77,701",23.22,5.22,...,...,...,-18.20
A10 Networks,ATEN,6.38,6.55,6.38,6.44,0.13,2.06,"366,615",8.06,5.51,...,...,...,-16.58
AAC Holdings,AAC,2.76,2.83,2.40,2.41,-0.33,-12.04,"415,927",12.96,1.70,...,...,...,-73.22
AAR Corp.,AIR,41.31,42.80,41.31,41.98,1.24,3.04,"236,320",51.52,36.46,0.30,0.71,76.33,6.85
Aaron's Inc.,AAN,44.11,44.11,42.98,43.49,-0.16,-0.37,"410,439",56.00,35.62,0.14,0.32,10.00,9.13
ABB ADR,ABB,19.87,19.99,19.74,19.75,0.88,4.66,"3,519,027",28.67,18.74,0.83,4.18,18.74,-26.36
Abbott Laboratories,ABT,72.81,73.86,72.49,72.53,0.69,0.96,"6,565,925",74.92,54.63,1.12,1.54,149.52,27.09
AbbVie,ABBV,89.32,90.17,88.36,88.60,0.43,0.49,"4,013,910",125.86,77.50,4.28,4.83,18.31,-8.39
Abercrombie&Fitch,ANF,18.86,19.31,18.41,19.22,0.14,0.73,"1,716,038",29.69,15.28,0.80,4.16,26.69,10.27
ABM Industries,ABM,27.41,27.63,27.03,27.29,0.28,1.04,"450,903",44.38,26.65,0.70,2.57,21.44,-27.65
Acadia Realty Trust,AKR,28.30,28.43,27.51,27.64,-0.46,-1.64,"480,020",29.28,21.34,1.12,4.05,577.04,1.02
Accenture Cl A,ACN,160.26,161.21,158.53,158.62,0.32,0.20,"2,095,497",175.64,146.05,2.92,1.84,25.02,3.61
ACCO Brands,ACCO,7.09,7.21,7.01,7.03,0.03,0.43,"530,122",14.63,6.85,0.24,3.41,5.21,-42.38
Acorn International ADR,ATV,26.11,27.06,26.11,26.73,0.63,2.41,"2,027",38.86,13.50,...,...,...,51.51
Actuant Cl A,ATU,23.28,23.66,23.15,23.24,0.38,1.66,"219,940",31.00,21.50,0.04,0.17,...,-8.14
Acuity Brands,AYI,117.65,119.84,116.00,116.57,0.86,0.74,"421,149",186.99,109.98,0.52,0.45,13.67,-33.77
Acushnet Holdings,GOLF,23.25,23.61,23.15,23.17,0.11,0.48,"119,481",27.87,17.55,0.52,2.24,17.42,9.91
Adecoagro,AGRO,7.06,7.34,7.04,7.13,0.10,1.42,"440,353",10.63,6.73,...,...,...,-31.04
Adient,ADNT,18.97,19.43,18.52,18.68,-0.28,-1.48,"2,243,128",84.59,18.52,1.10,5.89,...,-76.26
ADT,ADT,7.39,7.77,7.37,7.40,0.14,1.93,"2,368,233",13.02,6.93,0.14,1.89,34.79,...
Adtalem Global Education,ATGE,52.70,53.50,52.56,53.05,1.02,1.96,"411,902",58.80,41.76,...,...,315.02,26.16
Advance Auto Parts,AAP,166.95,168.86,166.12,166.98,1.18,0.71,"1,137,409",186.15,98.03,0.24,0.14,22.32,67.50
Advanced Disposal Services,ADSW,26.00,26.30,25.84,25.86,0.07,0.27,"203,973",27.93,21.50,...,...,47.89,8.02
Advanced Drainage Systems,WMS,25.06,25.61,24.81,25.05,0.15,0.60,"155,295",33.50,21.70,0.32,1.28,18.43,5.03
AdvanSix,ASIX,26.90,27.04,26.01,26.05,-0.38,-1.44,"191,091",44.44,22.84,...,...,6.92,-38.08
AECOM,ACM,28.67,29.06,28.48,28.65,0.51,1.81,"688,912",39.90,27.91,...,...,34.56,-22.88
Aegon ADR,AEG,5.02,5.04,4.94,4.95,0.12,2.48,"3,727,878",7.48,4.82,0.32,6.44,...,-21.43
AerCap Holdings,AER,48.84,48.84,48.02,48.16,0.21,0.44,"1,314,776",58.30,47.65,...,...,7.00,-8.46
Aerohive Networks,HIVE,3.68,3.71,3.62,3.64,-0.01,-0.27,"118,393",6.50,3.40,...,...,...,-37.56
Aerojet Rocketdyne Holdings,AJRD,35.78,37.48,35.73,36.26,0.88,2.49,"991,925",38.92,24.41,...,...,47.98,16.22
AES,AES,15.97,16.02,15.84,15.89,0.15,0.95,"5,346,630",16.28,9.87,0.55,3.44,31.13,46.72
Affiliated Managers Group,AMG,101.19,103.92,100.02,101.89,2.47,2.48,"586,021",217.00,98.43,1.20,1.18,7.98,-50.36
AFLAC,AFL,43.13,43.44,42.85,42.90,0.26,0.61,"2,563,708",48.19,41.41,1.04,2.42,6.77,-2.26
AGCO,AGCO,55.86,56.70,55.52,55.53,0.60,1.09,"886,131",75.95,49.50,0.60,1.08,19.27,-22.26
Agilent Technologies,A,72.17,73.04,71.60,71.75,0.70,0.99,"2,207,330",75.11,60.42,0.66,0.91,73.21,7.14
AG Mortgage Investment Trust,MITT,17.87,17.87,17.60,17.75,-0.01,-0.06,"129,486",19.95,16.31,2.00,11.27,9.95,-6.63
Agnico-Eagle Mines,AEM,39.27,39.91,39.02,39.48,0.43,1.10,"1,224,579",49.80,32.18,0.44,1.11,91.81,-14.51
Agree Realty,ADC,62.38,63.00,60.60,60.62,-1.64,-2.63,"780,356",63.00,43.74,2.22,3.66,30.66,17.85
A. H. Belo Series A,AHC,4.22,4.22,4.18,4.19,-0.03,-0.71,"25,145",5.80,4.09,0.32,7.64,13.12,-12.71
Aircastle,AYR,17.36,17.46,17.18,17.19,0.13,0.76,"287,717",25.30,17.01,1.20,6.98,6.79,-26.51
Air Lease,AL,36.07,36.36,35.76,35.95,0.64,1.81,"833,690",50.70,34.27,0.52,1.45,4.74,-25.24
Air Products&Chemicals,APD,158.22,159.39,156.58,157.71,1.78,1.14,"1,140,692",175.17,148.44,4.40,2.79,23.25,-3.88
AK Steel Holding,AKS,2.81,2.84,2.74,2.77,0.02,0.73,"9,007,563",6.80,2.65,...,...,19.79,-51.06
Alamo Group,ALG,79.49,79.54,77.51,77.82,-0.41,-0.52,"59,274",120.58,76.97,0.44,0.57,15.21,-31.05
Alamos Gold,AGI,3.47,3.53,3.40,3.41,-0.09,-2.57,"2,627,915",6.84,3.10,0.02,0.59,...,-47.62
Alaska Air Group,ALK,63.04,63.28,61.65,62.02,-0.41,-0.66,"2,887,805",76.06,57.53,1.28,2.06,9.83,-15.63
Albany International Cl A,AIN,69.30,70.65,68.77,68.87,0.71,1.04,"188,761",82.20,57.95,0.68,0.99,30.55,12.07
Albemarle,ALB,90.27,90.54,88.71,88.78,-0.30,-0.34,"962,878",138.67,86.75,1.34,1.51,20.54,-30.58
Alcoa,AA,28.89,29.99,28.82,29.24,0.81,2.85,"3,098,669",62.35,27.85,...,...,...,-45.72
Alexander&Baldwin,ALEX,19.43,19.70,19.11,19.12,-0.04,-0.21,"207,373",29.23,19.11,...,...,5.60,-31.07
Alexander's Inc.,ALX,312.48,312.48,309.11,310.06,-1.74,-0.56,"2,810",407.19,303.70,18.00,5.81,38.95,-21.67
Alexandria Real Estate Equities,ARE,125.60,126.17,121.11,121.29,-3.34,-2.68,"764,555",134.37,114.00,3.88,3.20,28.81,-7.12
Algonquin Power&Utilities,AQN,10.89,10.96,10.53,10.61,-0.23,-2.12,"341,219",11.23,9.45,0.51,4.83,26.06,-4.93
Alibaba Group Holding ADR,BABA,155.24,156.17,151.43,151.50,-0.33,-0.22,"16,509,590",211.70,130.06,...,...,43.51,-12.14
Alleghany,Y,618.60,624.14,613.15,613.15,2.36,0.39,"33,090",659.88,558.50,...,...,10.30,2.86
Allegheny Technologies,ATI,25.16,25.65,25.03,25.13,0.45,1.82,"671,149",30.25,22.38,...,...,19.35,4.10
Allegion,ALLE,88.51,89.39,87.76,87.84,0.53,0.61,"427,117",94.30,73.85,0.84,0.96,27.03,10.41
Allergan,AGN,151.80,154.42,151.58,152.27,2.58,1.72,"1,723,187",197.00,142.81,2.88,1.89,24.60,-6.91
Allete,ALE,81.26,81.67,80.56,80.68,-0.20,-0.25,"197,516",82.82,66.64,2.24,2.78,26.85,8.50
AllianceBernstein Holding,AB,26.69,27.47,26.68,27.25,0.56,2.10,"807,629",31.24,24.36,2.76,10.13,10.06,8.78
Alliance Data Systems,ADS,180.45,183.39,179.31,179.37,1.20,0.67,"426,196",278.33,175.57,2.28,1.27,10.46,-29.24
Alliant Energy,LNT,46.22,46.50,45.81,45.89,-0.39,-0.84,"1,270,940",46.58,36.84,1.34,2.92,20.50,7.70
Allison Transmission Holdings,ALSN,43.37,43.72,42.97,43.00,0.62,1.46,"1,564,373",53.76,37.41,0.60,1.40,8.35,-0.16
Allstate,ALL,83.70,83.94,82.34,82.40,-0.09,-0.11,"1,727,199",105.36,81.45,1.84,2.23,8.12,-21.31
Ally Financial,ALLY,24.61,24.65,24.24,24.26,0.07,0.29,"3,895,698",31.29,23.69,0.60,2.47,9.11,-16.80
