Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg
3D Systems,DDD,10.89,11.14,10.79,10.81,-0.06,-0.55,"831,113",21.78,8.88,...,...,...,6.29
3M,MMM,192.63,194.00,190.28,192.29,0.03,0.02,"1,533,328",259.77,176.87,5.44,2.83,25.71,0.92
8X8,EGHT,20.30,20.69,19.93,20.00,-0.21,-1.04,"781,514",23.50,15.13,...,...,...,10.86
58.com ADR,WUBA,60.69,61.17,59.69,60.48,0.42,0.70,"671,506",89.90,50.30,...,...,29.76,11.57
500.com ADR,WBAI,12.94,13.85,12.94,13.31,0.41,3.18,"108,039",23.22,5.22,...,...,...,75.59
A10 Networks,ATEN,6.52,6.64,6.48,6.56,0.04,0.61,"253,706",7.46,5.51,...,...,...,5.13
AAC Holdings,AAC,2.52,2.60,2.49,2.51,0.05,2.03,"148,971",12.96,1.33,...,...,...,79.29
AAR Corp.,AIR,37.08,37.43,36.73,37.01,0.24,0.65,"196,463",51.52,33.94,0.30,0.81,26.17,-0.88
Aaron's Inc.,AAN,48.23,48.57,47.04,47.54,-0.60,-1.25,"384,082",56.00,36.20,0.14,0.29,10.93,13.06
ABB ADR,ABB,19.19,19.20,18.96,19.13,-0.04,-0.21,"2,497,188",28.67,18.05,0.83,4.32,18.15,0.63
Abbott Laboratories,ABT,70.50,71.55,69.27,69.91,-1.58,-2.21,"9,059,802",74.92,55.58,1.28,1.83,144.11,-3.35
AbbVie,ABBV,88.84,89.28,87.70,88.45,-0.21,-0.24,"4,695,759",125.86,77.50,4.28,4.84,18.27,-4.06
Abercrombie&Fitch,ANF,20.20,20.36,19.68,20.08,0.01,0.05,"1,590,355",29.69,15.28,0.80,3.98,27.88,0.15
ABM Industries,ABM,35.29,35.59,34.30,34.57,-0.66,-1.87,"756,453",40.00,25.64,0.72,2.08,23.43,7.66
Acadia Realty Trust,AKR,26.29,26.47,26.03,26.46,0.20,0.76,"283,712",29.28,21.34,1.12,4.23,552.40,11.36
Accenture Cl A,ACN,149.86,150.93,147.44,148.42,-0.55,-0.37,"1,926,681",175.64,132.63,2.92,1.97,22.80,5.25
ACCO Brands,ACCO,8.86,8.95,8.60,8.73,-0.10,-1.13,"613,429",14.63,6.07,0.24,2.75,6.47,28.76
Acorn International ADR,ATV,21.22,22.26,21.15,21.65,-0.04,-0.21,"2,486",38.86,13.50,...,...,...,-1.14
Actuant Cl A,ATU,22.29,22.34,21.62,21.90,-0.21,-0.95,"239,168",31.00,19.07,0.04,0.18,...,4.34
Acuity Brands,AYI,116.47,117.48,114.95,115.55,-0.59,-0.51,"261,933",173.01,103.48,0.52,0.45,13.11,0.52
Acushnet Holdings,GOLF,23.13,23.40,22.95,23.17,0.06,0.26,"124,807",27.87,17.55,0.52,2.24,17.42,9.97
Adecoagro,AGRO,7.18,7.41,7.18,7.39,0.27,3.79,"179,254",10.30,6.40,...,...,...,6.18
Adient,ADNT,17.78,18.52,17.42,17.86,-0.79,-4.24,"2,287,240",73.59,14.52,1.10,6.16,...,18.59
ADT,ADT,7.20,7.36,6.95,7.00,-0.14,-1.96,"1,197,234",13.02,5.88,0.14,2.00,32.91,16.47
Adtalem Global Education,ATGE,48.85,49.53,48.70,49.15,0.45,0.92,"305,112",58.80,42.45,...,...,291.86,3.87
Advance Auto Parts,AAP,164.04,166.60,162.16,164.33,0.20,0.12,"1,005,758",186.15,102.15,0.24,0.15,21.97,4.36
Advanced Disposal Services,ADSW,24.58,24.70,24.18,24.35,-0.20,-0.81,"253,830",27.93,21.50,...,...,44.91,1.71
Advanced Drainage Systems,WMS,24.91,24.95,24.44,24.63,-0.15,-0.61,"220,626",33.50,21.70,0.32,1.30,18.12,1.57
AdvanSix,ASIX,28.91,29.37,28.45,28.96,0.05,0.17,"114,346",44.43,22.57,...,...,7.69,18.98
AECOM,ACM,29.94,30.00,29.16,29.57,-0.08,-0.27,"435,418",39.90,24.83,...,...,35.67,11.58
Aegon ADR,AEG,5.12,5.13,5.03,5.09,-0.01,-0.20,"662,617",7.48,4.42,0.32,6.27,...,9.46
AerCap Holdings,AER,45.40,46.06,44.64,45.02,-0.25,-0.55,"923,154",58.30,36.16,...,...,6.54,13.69
Aerohive Networks,HIVE,3.39,3.52,3.39,3.50,0.11,3.24,"200,572",4.78,3.19,...,...,...,7.36
Aerojet Rocketdyne Holdings,AJRD,38.45,39.32,38.06,38.85,0.76,2.00,"1,033,774",39.46,24.41,...,...,51.41,10.28
AES,AES,15.65,15.88,15.64,15.87,0.26,1.67,"5,239,580",16.28,9.87,0.55,3.44,31.09,9.75
Affiliated Managers Group,AMG,106.97,107.52,105.21,106.50,-0.08,-0.08,"424,373",217.00,88.47,1.20,1.13,8.34,9.30
AFLAC,AFL,47.75,47.96,47.14,47.64,0.25,0.53,"2,643,029",48.19,41.41,1.04,2.18,7.51,4.57
AGCO,AGCO,61.34,62.10,60.26,61.45,-1.40,-2.23,"771,862",75.10,49.50,0.60,0.98,21.32,10.38
Agilent Technologies,A,71.95,72.85,70.74,71.65,0.33,0.46,"2,016,787",75.11,60.42,0.66,0.92,73.44,6.21
AG Mortgage Investment Trust,MITT,17.10,17.39,17.10,17.36,0.26,1.52,"101,279",19.69,15.52,2.00,11.52,9.73,8.98
Agnico-Eagle Mines,AEM,39.16,39.40,38.83,39.17,-0.10,-0.25,"1,011,853",49.80,32.18,0.44,1.12,91.09,-3.04
Agree Realty,ADC,61.77,62.04,61.00,61.29,-0.68,-1.10,"164,304",63.00,43.74,2.22,3.62,31.00,3.67
A. H. Belo Series A,AHC,4.29,4.32,4.05,4.07,-0.23,-5.35,"18,500",5.80,3.35,0.32,7.86,12.74,20.77
Aircastle,AYR,20.06,20.25,19.84,19.97,-0.02,-0.10,"197,572",24.48,15.75,1.20,6.01,7.89,15.84
Air Lease,AL,36.40,36.76,35.64,35.80,-0.54,-1.49,"725,446",50.70,28.13,0.52,1.45,4.72,18.50
Air Products&Chemicals,APD,157.73,158.40,155.04,156.15,-1.56,-0.99,"1,283,466",175.17,148.44,4.40,2.82,23.02,-2.44
AK Steel Holding,AKS,2.70,2.72,2.59,2.62,-0.06,-2.24,"8,190,459",6.50,2.05,...,...,18.71,16.44
Alamo Group,ALG,85.53,86.11,84.82,85.72,0.19,0.22,"70,043",120.58,72.50,0.48,0.56,16.76,10.86
Alamos Gold,AGI,3.92,3.94,3.84,3.88,-0.08,-2.02,"1,185,105",6.48,2.90,0.02,0.52,...,7.78
Alaska Air Group,ALK,64.32,64.70,63.18,63.71,-0.25,-0.39,"1,112,333",74.83,57.28,1.28,2.01,10.10,4.70
Albany International Cl A,AIN,67.85,67.85,66.70,67.05,-0.36,-0.53,"72,998",82.20,57.95,0.72,1.07,29.75,7.40
