Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg
3D Systems,DDD,15.09,15.29,14.95,15.02,-0.09,-0.60,"1,266,683",18.42,7.92,...,...,...,73.84
3M,MMM,202.22,203.17,201.35,202.20,0.13,0.06,"1,830,637",259.77,191.44,5.44,2.69,30.00,-14.09
8X8,EGHT,21.50,21.65,21.35,21.55,-0.05,-0.23,"794,204",23.05,13.90,...,...,...,52.84
58.com ADR,WUBA,65.77,65.77,63.74,64.48,-1.09,-1.66,"899,212",89.90,48.87,...,...,43.19,-9.91
500.com ADR,WBAI,14.04,14.09,13.67,14.05,0.02,0.14,"43,323",23.22,9.05,...,...,...,38.97
A10 Networks,ATEN,7.30,7.36,7.20,7.34,0.06,0.82,"210,976",8.25,5.63,...,...,...,-4.92
AAC Holdings,AAC,9.62,9.83,9.55,9.60,0.04,0.42,"113,668",13.06,5.99,...,...,...,6.67
AAR Corp.,AIR,45.91,47.15,45.84,46.83,0.66,1.43,"221,816",49.05,34.25,0.30,0.64,110.34,19.19
Aaron's Inc.,AAN,45.08,45.50,44.88,44.90,-0.07,-0.16,"826,124",49.77,34.29,0.12,0.27,11.09,12.67
ABB ADR,ABB,21.94,22.07,21.91,22.00,0.20,0.92,"1,810,760",28.67,21.22,0.83,3.75,22.64,-17.97
Abbott Laboratories,ABT,64.31,65.50,64.20,64.75,1.95,3.11,"10,182,920",65.50,48.05,1.12,1.73,251.36,13.46
AbbVie,ABBV,95.27,95.43,94.33,94.40,-1.01,-1.06,"4,921,622",125.86,69.38,3.84,4.07,23.78,-2.39
Abercrombie&Fitch,ANF,26.35,26.71,26.12,26.60,0.24,0.91,"1,050,629",29.20,9.03,0.80,3.01,76.00,52.61
ABM Industries,ABM,29.29,29.69,29.09,29.63,0.29,0.99,"390,861",45.12,28.17,0.70,2.36,22.07,-21.45
Acadia Realty Trust,AKR,26.52,26.64,26.15,26.35,-0.24,-0.90,"468,197",30.63,21.34,1.08,4.10,548.96,-3.69
Accenture Cl A,ACN,167.47,167.47,165.97,166.38,-1.69,-1.01,"2,108,463",168.95,126.72,2.66,1.60,26.66,8.68
ACCO Brands,ACCO,14.10,14.25,14.00,14.25,0.15,1.06,"287,515",14.63,10.35,0.24,1.68,11.31,16.80
Acorn International ADR,ATV,21.58,22.10,21.28,21.86,0.90,4.28,"4,065",38.86,9.33,...,...,...,23.90
Actuant Cl A,ATU,28.10,28.25,27.75,28.10,...,...,"346,707",30.05,21.50,0.04,0.14,...,11.07
Acuity Brands,AYI,129.57,132.49,129.57,131.85,0.94,0.72,"572,981",208.82,109.98,0.52,0.39,16.52,-25.09
Acushnet Holdings,GOLF,23.83,24.15,23.66,23.92,0.11,0.46,"85,987",25.66,15.16,0.52,2.17,18.83,13.47
Adecoagro,AGRO,8.46,8.48,8.38,8.42,-0.03,-0.36,"361,075",11.15,7.20,...,...,85.05,-18.57
Adient,ADNT,48.81,49.89,48.72,49.60,0.56,1.14,"658,846",86.42,47.03,1.10,2.22,28.84,-36.98
ADT,ADT,9.41,9.60,9.37,9.45,0.06,0.64,"2,026,575",13.02,6.93,0.14,1.48,...,...
Adtalem Global Education,ATGE,52.70,53.40,52.70,53.20,0.50,0.95,"447,415",53.40,30.15,...,...,271.98,26.52
Advance Auto Parts,AAP,140.19,140.84,139.09,139.97,-0.31,-0.22,"663,360",143.42,78.81,0.24,0.17,20.58,40.41
Advanced Disposal Services,ADSW,24.76,24.76,24.31,24.36,-0.42,-1.69,"378,746",25.80,21.50,...,...,46.16,1.75
Advanced Drainage Systems,WMS,28.85,29.05,28.50,29.00,0.10,0.35,"124,695",31.00,17.90,0.32,1.10,29.90,21.59
AdvanSix,ASIX,38.28,39.21,38.28,39.21,0.89,2.32,"201,447",46.51,29.55,...,...,9.36,-6.80
Advantage Oil&Gas,AAV,3.15,3.20,3.05,3.20,0.05,1.59,"101,931",7.35,2.70,...,...,12.49,-25.58
AECOM,ACM,32.51,32.91,32.41,32.91,0.50,1.54,"713,178",39.90,30.15,...,...,29.12,-11.41
Aegean Marine Petroleum Network,ANW,1.51,1.58,1.46,1.47,-0.07,-4.55,"1,376,409",5.67,0.60,0.04,2.72,...,-65.81
Aegon ADR,AEG,6.15,6.18,6.12,6.16,0.04,0.65,"723,513",7.48,5.29,0.33,5.34,5.21,-2.22
AerCap Holdings,AER,55.47,56.01,55.45,55.85,0.52,0.94,"711,713",56.26,47.70,...,...,8.36,6.16
Aerohive Networks,HIVE,4.07,4.14,4.02,4.06,-0.02,-0.49,"150,995",6.50,3.02,...,...,...,-30.36
Aerojet Rocketdyne Holdings,AJRD,30.56,30.67,29.95,30.55,-0.04,-0.13,"645,160",36.25,22.51,...,...,...,-2.08
AES,AES,12.85,12.86,12.71,12.73,-0.12,-0.93,"9,208,481",13.55,9.87,0.52,4.08,54.61,17.54
Aetna,AET,191.03,191.91,190.93,191.33,-0.21,-0.11,"1,076,091",194.40,149.69,2.00,1.05,18.17,6.06
Affiliated Managers Group,AMG,149.34,151.34,148.87,151.25,2.76,1.86,"369,494",217.00,145.00,1.20,0.79,11.90,-26.31
AFLAC,AFL,42.87,43.34,42.85,43.26,0.32,0.75,"2,158,890",46.19,38.31,1.04,2.40,7.24,-1.44
AGCO,AGCO,59.11,60.30,58.61,60.18,0.77,1.30,"890,259",75.95,56.36,0.60,1.00,21.88,-15.75
Agilent Technologies,A,63.03,63.23,62.75,62.99,-0.05,-0.08,"1,099,567",75.00,58.22,0.60,0.95,87.49,-5.94
AG Mortgage Investment Trust,MITT,19.12,19.24,19.06,19.21,0.09,0.47,"240,719",19.95,16.31,2.00,10.41,6.10,1.05
Agnico-Eagle Mines,AEM,45.16,45.68,45.15,45.54,-0.01,-0.02,"1,009,995",51.86,37.35,0.44,0.97,50.60,-1.39
Agree Realty,ADC,53.13,53.27,52.62,53.13,-0.21,-0.39,"96,072",54.45,43.74,2.16,4.07,25.71,3.29
A. H. Belo Series A,AHC,4.30,4.40,4.30,4.35,...,...,"30,984",5.80,4.25,0.32,7.36,9.07,-9.38
Aircastle,AYR,20.36,20.60,20.36,20.57,0.22,1.08,"177,529",25.30,18.97,1.12,5.44,9.94,-12.06
Air Lease,AL,43.23,43.95,43.23,43.79,0.78,1.81,"329,768",50.70,38.46,0.40,0.91,6.22,-8.94
Air Products&Chemicals,APD,156.00,156.80,155.74,155.94,-0.26,-0.17,"712,707",175.17,141.88,4.40,2.82,29.97,-4.96
AK Steel Holding,AKS,4.80,4.99,4.79,4.91,0.13,2.72,"15,543,476",6.88,4.00,...,...,...,-13.25
Alamo Group,ALG,89.71,90.40,88.64,89.70,-0.14,-0.16,"33,511",120.58,86.41,0.44,0.49,22.47,-20.53
Alamos Gold,AGI,5.58,5.60,5.45,5.45,-0.17,-3.02,"1,676,179",8.58,4.83,0.02,0.37,59.56,-16.28
Alaska Air Group,ALK,62.53,64.50,62.53,63.19,1.39,2.25,"2,497,682",90.84,57.53,1.28,2.03,8.40,-14.04
Albany International Cl A,AIN,63.20,63.65,62.60,63.60,0.35,0.55,"54,477",68.85,49.20,0.68,1.07,67.66,3.50
Albemarle,ALB,96.91,97.86,96.06,96.74,-0.23,-0.24,"1,374,409",144.99,86.75,1.34,1.39,22.38,-24.36
Alcoa,AA,47.98,48.75,47.32,47.96,-0.06,-0.12,"3,241,994",62.35,35.54,...,...,64.81,-10.97
Alexander&Baldwin,ALEX,23.97,24.05,23.67,23.89,-0.15,-0.62,"291,797",46.96,20.83,...,...,7.00,-13.88
Alexander's Inc.,ALX,381.70,381.70,378.32,378.90,-2.82,-0.74,"5,910",436.80,332.98,18.00,4.75,39.43,-4.28
Alexandria Real Estate Equities,ARE,125.57,126.35,124.64,125.64,-0.13,-0.10,"491,179",134.37,114.00,3.72,2.96,48.21,-3.79
Algonquin Power&Utilities,AQN,9.57,9.62,9.52,9.60,0.03,0.31,"99,225",11.34,9.45,0.51,5.34,26.74,-13.98
Alibaba Group Holding ADR,BABA,192.45,193.23,189.91,190.79,-1.87,-0.97,"10,550,530",211.70,147.50,...,...,51.78,10.65
Alleghany,Y,604.00,608.59,600.15,606.05,2.89,0.48,"34,702",639.42,521.07,...,...,90.46,1.67
Allegheny Technologies,ATI,26.68,27.04,26.57,26.94,0.23,0.86,"2,054,698",30.25,16.82,...,...,...,11.60
Allegion,ALLE,80.05,80.36,79.19,79.23,-0.85,-1.06,"575,857",89.81,73.85,0.84,1.06,27.42,-0.41
Allergan,AGN,175.50,175.98,173.22,175.86,0.20,0.11,"1,188,781",256.80,142.81,2.88,1.64,...,7.51
Allete,ALE,77.44,77.72,76.69,77.20,-0.24,-0.31,"96,358",81.24,66.64,2.24,2.90,22.71,3.82
