Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg
3D Systems,DDD,13.95,14.20,13.50,13.94,-0.15,-1.06,"3,343,857",22.57,7.92,...,...,...,61.34
3M,MMM,201.84,204.05,201.55,203.86,2.66,1.32,"2,225,594",259.77,191.44,5.44,2.67,30.25,-13.39
8X8,EGHT,18.95,19.05,18.65,18.75,-0.25,-1.32,"1,605,181",23.05,13.90,...,...,...,32.98
58.com ADR,WUBA,83.82,84.46,82.32,83.20,-0.33,-0.40,"1,055,992",89.90,40.02,...,...,55.73,16.25
500.com ADR,WBAI,19.89,21.24,19.89,21.08,1.08,5.40,"454,732",23.22,8.93,...,...,...,108.51
A10 Networks,ATEN,6.45,6.47,6.38,6.40,-0.02,-0.31,"194,725",8.88,5.63,...,...,...,-17.10
AAC Holdings,AAC,10.12,10.64,10.08,10.42,0.30,2.96,"212,355",13.06,5.99,...,...,...,15.78
AAR Corp.,AIR,47.19,47.61,46.71,47.46,0.19,0.40,"307,832",47.97,33.92,0.30,0.63,67.38,20.79
Aaron's Inc.,AAN,40.62,41.11,39.98,40.67,0.13,0.32,"416,152",49.77,34.29,0.12,0.30,10.04,2.06
ABB ADR,ABB,22.97,23.18,22.91,23.17,0.06,0.26,"1,079,250",28.67,21.92,0.83,3.57,23.84,-13.61
Abbott Laboratories,ABT,63.11,63.55,62.77,63.54,0.51,0.81,"3,858,253",64.60,45.92,1.12,1.76,246.66,11.34
AbbVie,ABBV,99.25,99.99,98.32,99.98,0.74,0.75,"4,343,616",125.86,68.01,3.84,3.84,25.18,3.38
Abercrombie&Fitch,ANF,25.00,25.73,24.68,25.32,0.59,2.39,"3,415,080",29.20,8.81,0.80,3.16,72.34,45.27
ABM Industries,ABM,28.72,29.30,28.54,29.00,0.29,1.01,"1,508,253",45.12,28.17,0.70,2.41,19.43,-23.12
Acadia Realty Trust,AKR,26.39,27.04,26.39,26.92,0.42,1.58,"672,585",30.63,21.34,1.08,4.01,560.83,-1.61
Accenture Cl A,ACN,160.57,162.75,160.16,162.71,2.79,1.74,"1,637,283",165.58,119.10,2.66,1.63,28.60,6.28
ACCO Brands,ACCO,13.10,13.25,13.10,13.15,...,...,"299,148",13.97,10.35,0.24,1.83,10.44,7.79
Acorn International ADR,ATV,32.00,34.03,31.91,33.03,1.15,3.61,"7,918",38.86,9.33,...,...,...,87.24
Actuant Cl A,ATU,24.60,24.75,24.35,24.70,0.05,0.20,"268,405",27.95,21.50,0.04,0.16,...,-2.37
Acuity Brands,AYI,119.71,121.61,118.61,121.48,2.33,1.96,"422,550",208.82,109.98,0.52,0.43,15.03,-30.98
Acushnet Holdings,GOLF,24.55,25.38,24.55,25.30,0.74,3.01,"313,423",25.38,15.16,0.52,2.06,19.92,20.02
Adecoagro,AGRO,8.65,8.71,8.44,8.50,-0.19,-2.19,"799,689",11.15,7.20,...,...,85.86,-17.79
Adient,ADNT,54.94,56.12,54.65,56.04,1.38,2.52,"585,762",86.42,52.52,1.10,1.96,32.58,-28.79
ADT,ADT,7.99,8.17,7.87,7.96,...,...,"2,431,917",13.02,6.93,0.14,1.76,...,...
Adtalem Global Education,ATGE,48.70,49.10,48.60,49.05,0.40,0.82,"200,683",50.15,30.15,...,...,244.88,16.65
Advance Auto Parts,AAP,130.11,131.49,129.47,130.59,0.64,0.49,"1,067,405",133.94,78.81,0.24,0.18,19.20,31.00
Advanced Disposal Services,ADSW,23.46,23.76,23.36,23.68,0.26,1.11,"448,826",25.71,21.50,...,...,44.87,-1.09
Advanced Drainage Systems,WMS,29.00,29.50,28.45,29.35,0.15,0.51,"535,488",31.00,17.90,0.32,1.09,30.26,23.06
AdvanSix,ASIX,38.40,39.04,38.40,39.00,0.60,1.56,"108,115",46.51,28.60,...,...,9.31,-7.30
Advantage Oil&Gas,AAV,2.95,3.10,2.95,3.05,0.10,3.39,"328,827",7.35,2.70,...,...,11.90,-29.07
AECOM,ACM,33.95,34.19,33.79,34.12,0.21,0.62,"811,732",39.90,30.15,...,...,30.19,-8.16
Aegean Marine Petroleum Network,ANW,0.77,1.23,0.73,1.19,0.49,70.00,"14,344,476",6.25,0.70,0.04,3.36,...,-72.33
Aegon ADR,AEG,6.27,6.31,6.22,6.29,0.02,0.32,"1,546,472",7.48,4.82,0.33,5.23,5.28,-0.16
AerCap Holdings,AER,54.75,55.19,54.49,54.97,0.16,0.29,"1,284,424",56.26,44.50,...,...,8.23,4.49
Aerohive Networks,HIVE,4.19,4.27,4.18,4.20,0.01,0.24,"191,475",6.50,3.02,...,...,...,-27.96
Aerojet Rocketdyne Holdings,AJRD,29.89,30.29,29.81,30.18,0.34,1.14,"541,141",36.25,20.17,...,...,...,-3.27
AES,AES,12.96,12.98,12.47,12.51,-0.42,-3.25,"6,726,488",13.25,9.87,0.52,4.16,53.67,15.51
Aetna,AET,175.79,179.09,175.75,179.01,3.36,1.91,"1,886,068",194.40,145.34,2.00,1.12,17.00,-0.77
Affiliated Managers Group,AMG,164.25,168.04,164.05,166.90,3.58,2.19,"499,510",217.00,155.69,1.20,0.72,13.13,-18.68
AFLAC,AFL,45.58,45.78,45.25,45.70,0.25,0.55,"1,979,888",46.19,37.27,1.04,2.28,7.65,4.12
AGCO,AGCO,64.16,65.62,64.00,65.61,1.75,2.74,"499,437",75.95,58.12,0.60,0.91,23.86,-8.15
Agilent Technologies,A,63.75,65.19,63.06,65.19,1.67,2.63,"3,106,380",75.00,57.92,0.60,0.91,90.54,-2.66
AG Mortgage Investment Trust,MITT,18.90,18.94,18.81,18.92,0.03,0.16,"56,921",19.95,16.31,1.90,10.04,6.01,-0.47
Agnico-Eagle Mines,AEM,44.93,45.20,44.07,44.47,-0.20,-0.45,"988,238",51.86,37.35,0.44,0.99,49.41,-3.70
Agree Realty,ADC,53.11,53.30,52.02,53.25,0.10,0.19,"128,503",53.77,43.74,2.16,4.06,25.76,3.52
A. H. Belo Series A,AHC,4.90,4.90,4.85,4.85,...,...,"14,371",5.80,4.35,0.32,6.60,10.12,1.04
Aircastle,AYR,21.52,21.60,21.46,21.52,0.05,0.23,"283,720",25.30,18.97,1.12,5.20,10.40,-7.99
Air Lease,AL,45.31,45.37,44.78,45.21,0.25,0.56,"430,751",50.70,35.75,0.40,0.88,6.42,-5.99
Air Products&Chemicals,APD,165.16,167.82,164.64,167.73,2.86,1.73,"1,107,182",175.17,140.78,4.40,2.62,32.37,2.22
AK Steel Holding,AKS,4.67,4.71,4.52,4.65,0.02,0.43,"10,008,430",7.04,4.00,...,...,...,-17.84
Alamo Group,ALG,95.20,96.73,94.61,96.44,1.20,1.26,"74,537",120.58,85.40,0.44,0.46,24.16,-14.56
Alamos Gold,AGI,5.64,5.83,5.64,5.80,0.21,3.76,"2,855,137",8.58,4.83,0.02,0.34,63.39,-10.91
Alaska Air Group,ALK,60.74,62.16,60.40,62.01,0.77,1.26,"1,751,079",95.75,57.53,1.28,2.06,8.25,-15.64
Albany International Cl A,AIN,63.05,64.15,62.95,63.90,0.87,1.38,"75,691",68.85,49.20,0.68,1.06,67.98,3.99
Albemarle,ALB,94.80,95.68,93.95,95.67,1.02,1.08,"1,623,134",144.99,86.75,1.34,1.40,22.13,-25.19
Alcoa,AA,49.89,50.19,49.17,50.13,0.68,1.38,"2,847,649",62.35,29.55,...,...,67.74,-6.94
Alexander&Baldwin,ALEX,21.67,21.85,21.52,21.63,-0.14,-0.64,"227,070",46.96,20.83,...,...,6.42,-22.03
Alexander's Inc.,ALX,386.94,387.81,385.50,386.65,-0.30,-0.08,"6,674",437.35,332.98,18.00,4.66,40.23,-2.32
Alexandria Real Estate Equities,ARE,126.17,126.71,125.62,126.32,-0.29,-0.23,"512,553",134.37,114.00,3.72,2.94,48.47,-3.27
Algonquin Power&Utilities,AQN,9.75,9.80,9.57,9.63,-0.07,-0.72,"143,300",11.34,9.53,0.51,5.33,26.82,-13.71
Alibaba Group Holding ADR,BABA,209.86,210.46,207.29,208.30,-0.07,-0.03,"13,524,521",211.70,124.11,...,...,56.53,20.80
Alleghany,Y,577.43,585.32,577.42,585.27,9.46,1.64,"58,370",639.42,521.07,...,...,87.35,-1.82
Allegheny Technologies,ATI,28.98,29.55,28.80,29.52,0.76,2.64,"1,376,974",30.25,15.82,...,...,...,22.29
Allegion,ALLE,79.22,79.23,78.53,79.23,0.06,0.08,"344,744",89.81,73.85,0.84,1.06,27.42,-0.41
Allergan,AGN,152.50,155.90,151.39,155.38,3.17,2.08,"2,467,950",256.80,142.81,2.88,1.85,...,-5.01
Allete,ALE,74.98,75.04,72.78,73.01,-2.01,-2.68,"174,513",81.24,66.64,2.24,3.07,21.47,-1.82
AllianceBernstein Holding,AB,28.80,29.25,28.75,29.20,0.50,1.74,"435,831",29.25,22.55,2.92,10.00,12.53,16.57
Alliance Data Systems,ADS,216.00,223.05,216.00,222.33,6.26,2.90,"786,579",278.33,192.02,2.28,1.03,15.35,-12.29
Alliance One International,AOI,21.05,21.50,20.55,20.90,-0.15,-0.71,"134,134",30.70,9.85,...,...,3.34,57.74
Alliant Energy,LNT,39.77,39.85,39.06,39.13,-0.62,-1.56,"1,582,549",45.55,36.84,1.34,3.42,18.90,-8.17
Allison Transmission Holdings,ALSN,42.30,42.72,42.20,42.53,0.40,0.95,"1,586,965",45.69,32.93,0.60,1.41,10.70,-1.25
Allstate,ALL,94.08,94.39,91.02,93.01,-0.69,-0.74,"4,104,512",105.36,85.57,1.84,1.98,10.10,-11.17
Ally Financial,ALLY,26.06,26.73,26.03,26.51,0.44,1.69,"3,756,289",31.29,18.86,0.52,1.96,12.27,-9.09
Alteryx Cl A,AYX,36.28,39.06,36.28,38.77,2.52,6.95,"2,082,819",39.21,17.77,...,...,...,53.42
Altice USA Cl A,ATUS,19.46,20.25,18.88,20.10,0.77,3.98,"10,313,493",35.29,16.25,...,...,10.47,-5.32
Altice USA Wi,ATUS@,17.53,18.21,17.01,18.00,0.65,3.75,"7,225,776",19.21,16.02,...,...,...,...
Altria Group,MO,56.35,56.47,55.94,56.31,-0.02,-0.04,"8,724,030",77.79,53.91,2.80,4.97,10.06,-21.15
Aluminum Corp. of China ADR,ACH,13.39,13.59,13.39,13.59,0.30,2.26,"49,933",23.54,11.56,...,...,41.71,-24.21
Amber Road,AMBR,9.18,9.37,9.02,9.19,0.05,0.55,"201,764",10.29,6.14,...,...,...,25.20
Ambev ADR,ABEV,5.13,5.17,5.05,5.07,-0.10,-1.93,"23,465,255",7.43,5.05,...,...,34.87,-21.52
AMC Entertainment Holding,AMC,14.70,14.75,14.45,14.70,-0.05,-0.34,"1,378,301",25.05,10.80,0.80,5.44,...,-2.65
Ameren,AEE,57.72,57.79,56.47,56.57,-0.84,-1.46,"2,022,059",64.89,51.89,1.83,3.23,23.99,-4.10
Ameresco,AMRC,12.25,12.65,12.25,12.45,0.20,1.63,"139,353",13.20,5.25,...,...,12.58,44.77
America Movil ADR,AMX,15.39,15.43,15.26,15.32,0.06,0.39,"1,509,659",19.91,15.22,0.31,2.04,79.17,-10.67
America Movil Cl A ADR,AMOV,15.29,15.29,15.23,15.23,0.03,0.23,"3,356",19.87,15.19,0.31,2.05,78.69,-10.46
American Assets Trust,AAT,36.94,37.53,36.94,37.35,0.31,0.84,"225,015",41.69,30.62,1.08,2.89,83.00,-2.33
American Axle&Manufacturing Holdings,AXL,16.07,16.46,16.00,16.44,0.42,2.62,"1,598,504",20.27,13.38,...,...,5.39,-3.46
American Campus Communities,ACC,41.25,41.58,41.12,41.50,0.09,0.22,"761,978",49.26,34.52,1.84,4.43,96.51,1.15
American Eagle Outfitters,AEO,24.17,24.26,23.88,24.17,0.17,0.71,"3,855,590",24.50,10.23,0.55,2.28,19.81,28.56
American Electric Power,AEP,65.29,65.43,63.67,63.81,-1.48,-2.27,"3,862,429",78.07,63.32,2.48,3.89,17.77,-13.27
American Equity Investment Life Holding,AEL,36.22,36.83,35.95,36.61,0.67,1.86,"519,476",36.83,23.02,0.26,0.71,12.67,19.13
American Express,AXP,100.00,101.00,99.57,100.97,1.66,1.67,"2,625,388",103.24,78.79,1.40,1.39,29.52,1.67
American Financial Group,AFG,110.41,110.86,109.61,110.81,0.87,0.79,"394,183",121.69,95.19,1.40,1.26,21.42,2.09
American Homes 4 Rent Cl A,AMH,20.73,20.92,20.71,20.90,0.10,0.48,"2,604,157",23.23,18.39,0.20,0.96,...,-4.30
American International Group,AIG,53.93,54.13,53.24,53.94,0.10,0.19,"5,666,935",67.30,49.57,1.28,2.37,...,-9.47
American International Group WT,AIG%,14.91,14.99,14.62,14.80,-0.13,-0.87,"55,471",24.50,13.25,...,...,...,-18.32
American Midstream Partners,AMID,10.85,10.88,10.55,10.75,-0.15,-1.38,"103,842",15.25,9.42,1.65,15.35,...,-19.48
American Realty Investors,ARL,14.20,14.35,14.01,14.01,0.01,0.07,"2,979",21.57,8.00,...,...,...,9.03
American Renal Associates Holdings,ARA,14.58,15.08,14.45,15.01,0.39,2.67,"70,267",24.07,9.91,...,...,115.46,-13.74
American States Water,AWR,55.66,55.66,54.34,54.89,-0.78,-1.40,"206,211",60.00,46.62,1.02,1.86,29.99,-5.21
American Tower REIT,AMT,139.37,139.52,137.58,139.04,0.13,0.09,"1,287,017",155.28,125.24,3.08,2.22,52.87,-2.54
American Vanguard,AVD,22.80,23.65,22.65,23.60,0.80,3.51,"108,227",24.00,17.00,0.08,0.34,32.33,20.10
American Water Works,AWK,80.68,80.74,78.91,79.22,-1.25,-1.55,"989,028",92.37,76.04,1.82,2.30,32.47,-13.41
Americold Realty Trust,COLD,21.53,21.80,21.24,21.70,0.18,0.84,"753,806",23.54,16.13,...,...,...,...
AmeriGas Partners,APU,43.22,43.30,42.28,42.30,-0.84,-1.95,"162,942",48.37,39.41,3.80,8.98,28.78,-8.50
Ameriprise Financial,AMP,140.31,142.38,140.03,142.00,2.34,1.68,"896,481",183.90,121.21,3.60,2.54,13.11,-16.21
AmerisourceBergen,ABC,84.87,87.19,84.84,87.15,2.36,2.78,"1,033,329",106.27,71.90,1.52,1.74,21.41,-5.09
Ametek,AME,75.65,75.96,75.14,75.96,0.35,0.46,"958,636",79.32,59.56,0.56,0.74,24.35,4.82
Amira Nature Foods,ANFI,2.94,2.96,2.63,2.63,-0.33,-11.15,"576,124",7.05,1.62,...,...,3.06,-36.93
Amneal Pharmaceuticals,AMRX,18.65,19.05,18.32,18.98,0.36,1.93,"770,278",25.70,13.25,...,...,...,13.99
AMN Healthcare Services,AMN,58.50,58.80,57.45,57.60,-0.95,-1.62,"336,068",68.20,34.70,...,...,19.79,16.95
Ampco-Pittsburgh,AP,9.80,10.10,9.80,10.00,0.25,2.56,"22,981",18.59,8.49,0.36,3.60,...,-19.35
Amphenol Cl A,APH,90.00,90.44,89.42,90.44,0.49,0.54,"995,223",93.62,72.35,0.92,1.02,41.49,3.01
Amrep,AXR,7.12,7.12,6.89,6.89,-0.25,-3.49,"2,682",7.71,6.20,...,...,...,-1.85
Anadarko Petroleum,APC,69.56,70.16,68.66,69.45,0.22,0.32,"3,685,778",72.70,39.96,1.00,1.44,9260.00,29.47
Anadarko Petroleum Un,AEUA,33.42,33.42,32.76,32.89,-0.44,-1.32,"8,043",44.93,28.60,3.75,11.40,...,-5.11
Andeavor,ANDV,146.98,146.98,142.67,144.50,-2.30,-1.57,"1,174,784",151.88,87.29,2.36,1.63,13.67,26.38
