Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg
3D Systems,DDD,12.30,12.42,12.10,12.37,0.04,0.32,"1,183,737",23.19,7.92,...,...,...,43.17
3M,MMM,197.74,198.80,196.56,198.67,-0.30,-0.15,"2,647,208",259.77,191.44,5.44,2.74,29.48,-15.59
8X8,EGHT,22.00,22.05,21.40,21.65,-0.60,-2.70,"1,809,471",23.05,13.90,...,...,...,53.55
58.com ADR,WUBA,82.50,84.76,82.50,84.55,1.35,1.62,"1,099,728",89.90,40.02,...,...,65.53,18.14
500.com ADR,WBAI,17.32,18.01,17.32,17.90,0.58,3.35,"93,781",23.22,8.60,...,...,...,77.05
A10 Networks,ATEN,6.25,6.37,6.21,6.28,0.02,0.32,"241,209",8.88,5.63,...,...,...,-18.65
AAC Holdings,AAC,11.60,11.96,11.38,11.67,-0.02,-0.17,"189,570",13.06,5.99,...,...,...,29.67
AAR Corp.,AIR,43.55,44.55,43.55,44.36,0.45,1.02,"191,094",47.97,33.92,0.30,0.68,62.98,12.90
Aaron's Inc.,AAN,40.25,41.02,40.23,40.69,0.48,1.19,"434,319",49.77,34.02,0.12,0.29,10.05,2.11
ABB ADR,ABB,24.04,24.08,23.79,23.91,-0.65,-2.65,"3,008,230",28.67,21.92,0.83,3.45,24.60,-10.85
Abbott Laboratories,ABT,61.22,61.97,61.22,61.84,0.45,0.73,"3,987,630",64.60,43.40,1.12,1.81,240.06,8.36
AbbVie,ABBV,105.85,106.32,104.74,105.60,-0.63,-0.59,"10,527,428",125.86,65.57,3.84,3.64,26.60,9.19
Abercrombie&Fitch,ANF,25.33,25.92,25.08,25.45,0.11,0.43,"2,040,248",29.20,8.81,0.80,3.14,424.17,46.01
ABM Industries,ABM,29.75,29.79,29.20,29.38,-0.47,-1.57,"682,600",45.12,29.20,0.70,2.38,19.68,-22.11
Acadia Realty Trust,AKR,24.59,24.99,24.49,24.87,0.37,1.51,"392,150",30.63,21.34,1.08,4.34,518.13,-9.10
Accenture Cl A,ACN,155.29,156.06,154.09,155.31,-0.02,-0.01,"1,627,880",165.58,119.10,2.66,1.71,27.30,1.45
ACCO Brands,ACCO,12.60,12.88,12.55,12.85,0.20,1.58,"353,373",13.97,10.35,0.24,1.87,10.20,5.33
Acorn International ADR,ATV,26.46,26.46,25.46,25.46,-0.59,-2.26,"707",28.50,9.33,...,...,...,44.31
Actuant Cl A,ATU,24.80,25.10,24.61,24.95,0.05,0.20,"450,043",27.95,21.50,0.04,0.16,...,-1.38
Acuity Brands,AYI,118.26,119.18,116.86,118.10,-1.10,-0.92,"414,381",208.82,109.98,0.52,0.44,14.62,-32.90
Acushnet Holdings,GOLF,23.80,23.92,23.54,23.87,...,...,"169,262",24.70,15.16,0.52,2.18,18.80,13.24
Adecoagro,AGRO,8.13,8.24,8.07,8.18,0.06,0.74,"535,656",11.47,7.20,...,...,82.63,-20.89
Adient,ADNT,56.13,56.13,54.48,54.86,-1.38,-2.45,"478,868",86.42,54.11,1.10,2.01,31.90,-30.29
ADT,ADT,7.57,7.72,7.51,7.67,0.03,0.39,"1,651,819",13.02,6.93,0.14,1.83,...,...
Adtalem Global Education,ATGE,46.40,46.80,46.35,46.75,0.10,0.21,"182,967",50.15,30.15,...,...,233.40,11.18
Advance Auto Parts,AAP,115.82,123.63,115.63,123.25,7.92,6.87,"1,925,638",138.23,78.81,0.24,0.19,18.13,23.63
Advanced Disposal Services,ADSW,23.20,23.60,23.13,23.54,0.30,1.29,"743,521",25.71,21.50,...,...,44.61,-1.67
Advanced Drainage Systems,WMS,25.70,25.95,25.50,25.80,...,...,"105,865",28.15,17.90,0.28,1.09,34.86,8.18
AdvanSix,ASIX,38.87,38.88,38.26,38.76,-0.14,-0.36,"118,396",46.51,27.93,...,...,9.25,-7.87
Advantage Oil&Gas,AAV,3.10,3.15,3.00,3.00,-0.10,-3.23,"167,251",7.35,2.70,...,...,11.71,-30.23
AECOM,ACM,33.05,33.17,32.48,32.76,-0.57,-1.71,"938,396",39.90,30.15,...,...,28.99,-11.82
Aegean Marine Petroleum Network,ANW,3.30,3.30,2.92,3.00,0.15,5.26,"900,789",7.35,1.75,0.04,1.33,...,-30.23
Aegon ADR,AEG,6.60,6.61,6.52,6.56,-0.19,-2.81,"2,004,799",7.48,4.81,0.33,5.02,5.51,4.13
AerCap Holdings,AER,54.99,55.32,54.77,55.25,-0.11,-0.20,"833,059",56.26,43.19,...,...,9.67,5.02
Aerohive Networks,HIVE,4.27,4.34,4.16,4.18,-0.12,-2.79,"242,044",6.50,3.02,...,...,...,-28.30
Aerojet Rocketdyne Holdings,AJRD,28.13,28.64,28.13,28.64,0.29,1.02,"460,497",36.25,20.17,...,...,...,-8.21
AES,AES,12.13,12.22,12.07,12.19,-0.01,-0.08,"4,965,309",12.45,9.87,0.52,4.27,52.30,12.56
Aetna,AET,177.04,177.57,176.36,177.34,0.13,0.07,"1,174,236",194.40,141.60,2.00,1.13,16.84,-1.69
Affiliated Managers Group,AMG,166.49,167.00,163.40,164.96,-2.47,-1.48,"272,728",217.00,151.39,1.20,0.73,12.98,-19.63
AFLAC,AFL,45.41,45.53,45.11,45.31,-0.27,-0.59,"2,943,115",46.19,36.84,1.04,2.30,7.58,3.24
