Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg
3D Systems,DDD,12.31,12.47,11.99,12.05,-0.14,-1.15,"1,383,675",21.78,8.53,...,...,...,39.47
3M,MMM,199.68,201.18,198.66,198.69,-0.46,-0.23,"1,758,009",259.77,181.98,5.44,2.74,26.56,-15.58
8X8,EGHT,17.66,17.92,17.35,17.42,0.01,0.06,"654,289",23.50,13.90,...,...,...,23.55
58.com ADR,WUBA,58.59,59.29,53.44,54.65,-2.64,-4.61,"3,840,136",89.90,53.44,...,...,26.89,-23.64
500.com ADR,WBAI,7.95,8.17,7.95,8.11,0.26,3.31,"15,971",23.22,5.22,...,...,...,-19.78
A10 Networks,ATEN,5.86,5.94,5.82,5.83,...,...,"105,934",8.25,5.51,...,...,...,-24.48
AAC Holdings,AAC,1.93,2.01,1.93,2.00,0.07,3.63,"630,998",12.96,1.70,...,...,...,-77.78
AAR Corp.,AIR,42.91,43.59,42.56,43.04,0.55,1.29,"132,556",51.52,36.46,0.30,0.70,78.25,9.54
Aaron's Inc.,AAN,48.42,48.90,47.94,48.26,0.17,0.35,"458,208",56.00,35.34,0.14,0.29,11.09,21.10
ABB ADR,ABB,19.98,20.18,19.93,19.96,0.27,1.37,"2,159,309",28.67,19.08,0.83,4.14,18.94,-25.58
Abbott Laboratories,ABT,69.35,69.72,68.25,68.53,-0.53,-0.77,"5,550,140",74.15,54.32,1.12,1.63,141.27,20.08
AbbVie,ABBV,88.50,88.78,85.37,86.15,-1.94,-2.20,"6,106,473",125.86,77.50,4.28,4.97,17.80,-10.92
Abercrombie&Fitch,ANF,15.90,16.36,15.67,15.96,0.12,0.76,"1,991,005",29.69,15.28,0.80,5.01,30.69,-8.43
ABM Industries,ABM,30.17,30.71,29.89,30.33,0.33,1.10,"264,181",44.70,28.17,0.70,2.31,23.83,-19.59
