Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg
3D Systems,DDD,17.65,18.51,17.65,18.02,0.44,2.50,"1,749,289",21.78,7.92,...,...,...,108.56
3M,MMM,216.00,217.34,214.94,215.76,0.05,0.02,"1,966,278",259.77,190.57,5.44,2.52,29.84,-8.33
8X8,EGHT,20.24,20.59,20.03,20.49,0.40,1.99,"462,691",23.50,13.90,...,...,...,45.32
58.com ADR,WUBA,71.61,73.13,70.16,70.53,-0.60,-0.84,"536,806",89.90,56.70,...,...,42.04,-1.45
500.com ADR,WBAI,10.71,10.95,10.54,10.93,0.26,2.44,"7,773",23.22,9.05,...,...,...,8.11
A10 Networks,ATEN,6.14,6.25,6.08,6.16,0.03,0.49,"268,956",8.25,5.63,...,...,...,-20.21
AAC Holdings,AAC,6.94,7.34,6.80,7.32,0.42,6.09,"128,897",12.96,6.72,...,...,...,-18.67
AAR Corp.,AIR,45.67,47.23,45.38,47.06,1.72,3.79,"226,528",51.52,36.46,0.30,0.64,85.56,19.78
Aaron's Inc.,AAN,54.12,54.69,53.85,54.53,0.84,1.56,"272,813",56.00,34.29,0.12,0.22,13.37,36.84
ABB ADR,ABB,23.26,23.30,23.13,23.20,0.02,0.09,"1,361,368",28.67,21.22,0.83,3.56,22.17,-13.50
Abbott Laboratories,ABT,73.81,73.90,71.90,72.04,-1.77,-2.40,"6,525,500",74.15,53.61,1.12,1.55,142.63,26.23
AbbVie,ABBV,94.64,96.60,94.60,96.01,1.78,1.89,"4,485,816",125.86,85.24,3.84,4.00,23.76,-0.72
Abercrombie&Fitch,ANF,20.05,20.42,19.85,20.33,0.47,2.37,"1,296,789",29.69,11.62,0.80,3.94,39.10,16.64
ABM Industries,ABM,32.34,32.45,31.79,31.89,-0.37,-1.13,"528,868",44.70,28.17,0.70,2.20,25.06,-15.46
Acadia Realty Trust,AKR,27.88,28.08,27.09,27.25,-0.59,-2.12,"398,649",30.63,21.34,1.08,3.96,...,-0.40
Accenture Cl A,ACN,173.72,174.82,173.66,174.14,0.99,0.57,"1,558,713",175.64,134.46,2.92,1.68,27.47,13.75
ACCO Brands,ACCO,11.18,11.27,11.00,11.14,0.02,0.18,"368,515",14.63,10.90,0.24,2.15,8.64,-8.69
Acorn International ADR,ATV,19.16,21.10,19.16,20.80,1.69,8.84,"6,869",38.86,13.50,...,...,...,17.91
Actuant Cl A,ATU,27.78,28.03,27.71,27.98,0.23,0.83,"306,408",31.00,21.50,0.04,0.14,...,10.59
Acuity Brands,AYI,147.10,148.48,132.00,135.01,-20.47,-13.17,"5,004,598",186.99,109.98,0.52,0.39,16.92,-23.29
Acushnet Holdings,GOLF,26.23,26.45,25.92,26.43,0.21,0.80,"207,253",27.87,16.91,0.52,1.97,19.43,25.38
Adecoagro,AGRO,7.34,7.49,7.34,7.38,0.10,1.37,"548,507",11.14,6.93,...,...,...,-28.63
Adient,ADNT,37.61,38.02,36.87,36.88,-0.74,-1.97,"1,175,170",86.27,36.87,1.10,2.98,283.69,-53.14
ADT,ADT,8.84,8.85,8.59,8.81,0.07,0.80,"1,937,139",13.02,6.93,0.14,1.59,...,...
Adtalem Global Education,ATGE,46.43,46.94,46.17,46.74,0.46,0.99,"231,720",56.45,30.71,...,...,88.46,11.15
Advance Auto Parts,AAP,168.68,168.91,167.21,167.60,-0.80,-0.48,"521,397",171.33,78.81,0.24,0.14,23.21,68.12
Advanced Disposal Services,ADSW,26.71,26.81,26.22,26.24,-0.37,-1.39,"183,963",27.93,21.50,...,...,41.00,9.61
Advanced Drainage Systems,WMS,30.59,31.11,30.40,31.01,0.49,1.61,"192,115",33.50,17.90,0.32,1.03,25.84,30.02
AdvanSix,ASIX,33.33,33.88,33.10,33.57,0.29,0.87,"134,318",46.51,32.29,...,...,7.86,-20.20
AECOM,ACM,32.98,33.03,32.54,32.77,-0.07,-0.21,"840,367",39.90,30.95,...,...,38.10,-11.79
Aegean Marine Petroleum Network,ANW,1.41,1.52,1.41,1.51,0.09,6.34,"369,658",5.10,0.60,0.04,2.65,...,-64.88
Aegon ADR,AEG,6.47,6.49,6.43,6.46,0.05,0.78,"784,198",7.48,5.50,0.32,4.94,5.46,2.54
AerCap Holdings,AER,57.14,57.53,57.00,57.23,0.08,0.14,"751,985",58.30,48.29,...,...,8.53,8.78
Aerohive Networks,HIVE,4.12,4.17,4.10,4.11,...,...,"310,327",6.50,3.55,...,...,...,-29.50
Aerojet Rocketdyne Holdings,AJRD,33.25,33.51,33.01,33.19,...,...,"282,185",37.70,24.41,...,...,314.00,6.38
AES,AES,14.49,14.73,14.35,14.53,0.10,0.69,"8,007,734",14.73,9.87,0.52,3.58,24.50,34.16
Aetna,AET,202.63,204.14,202.63,203.55,0.40,0.20,"1,041,361",206.66,149.69,2.00,0.98,19.20,12.84
Affiliated Managers Group,AMG,137.77,139.33,136.32,138.00,1.11,0.81,"531,068",217.00,135.50,1.20,0.87,10.91,-32.76
AFLAC,AFL,47.19,47.32,46.84,46.87,-0.22,-0.47,"2,110,872",48.19,41.01,1.04,2.22,7.62,6.79
AGCO,AGCO,60.50,62.36,60.15,61.86,1.65,2.74,"1,022,464",75.95,56.36,0.60,0.97,22.49,-13.40
Agilent Technologies,A,71.68,72.37,71.60,72.12,0.44,0.61,"2,970,670",75.00,60.42,0.60,0.83,79.25,7.69
