Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg
3D Systems,DDD,18.33,18.57,17.80,18.48,0.04,0.22,"2,006,724",21.78,7.92,...,...,...,113.89
3M,MMM,212.30,214.76,205.90,206.71,-5.07,-2.39,"4,534,594",259.77,190.57,5.44,2.63,28.59,-12.18
8X8,EGHT,23.05,23.30,22.60,23.20,0.20,0.87,"409,691",23.45,13.90,...,...,...,64.54
58.com ADR,WUBA,66.93,68.76,65.37,68.18,0.80,1.19,"1,134,640",89.90,56.70,...,...,40.64,-4.74
500.com ADR,WBAI,11.65,11.69,11.53,11.64,-0.14,-1.19,"9,575",23.22,9.05,...,...,...,15.13
A10 Networks,ATEN,6.77,6.77,6.62,6.64,-0.13,-1.92,"145,082",8.25,5.63,...,...,...,-13.99
AAC Holdings,AAC,7.35,7.61,7.20,7.58,0.23,3.13,"162,901",12.96,7.07,...,...,...,-15.78
AAR Corp.,AIR,42.51,43.20,42.00,43.06,0.19,0.44,"192,757",49.05,34.93,0.30,0.70,101.46,9.60
Aaron's Inc.,AAN,51.91,52.70,51.39,51.76,-0.03,-0.06,"403,538",52.70,34.29,0.12,0.23,12.69,29.89
ABB ADR,ABB,23.59,23.69,23.51,23.61,0.33,1.42,"1,718,361",28.67,21.22,0.83,3.50,22.56,-11.97
Abbott Laboratories,ABT,66.60,67.12,66.60,66.97,0.37,0.56,"3,081,657",67.36,51.37,1.12,1.67,132.59,17.35
AbbVie,ABBV,92.39,93.94,92.04,93.24,0.06,0.06,"3,228,812",125.86,83.19,3.84,4.12,23.08,-3.59
Abercrombie&Fitch,ANF,20.74,20.94,20.05,20.65,...,...,"2,381,978",29.69,11.62,0.80,3.87,39.71,18.47
ABM Industries,ABM,34.00,34.78,33.56,34.70,0.76,2.24,"440,864",44.70,28.17,0.70,2.02,27.26,-8.01
Acadia Realty Trust,AKR,28.58,28.72,28.43,28.59,0.02,0.07,"263,536",30.63,21.34,1.08,3.78,...,4.50
Accenture Cl A,ACN,170.69,171.03,169.51,170.35,-0.34,-0.20,"1,725,571",171.03,132.27,2.66,1.56,27.30,11.27
ACCO Brands,ACCO,11.95,12.22,11.95,12.05,0.10,0.84,"289,704",14.63,10.90,0.24,1.99,9.34,-1.23
Acorn International ADR,ATV,21.06,21.06,19.68,20.45,-0.61,-2.88,"8,530",38.86,13.21,...,...,...,15.95
Actuant Cl A,ATU,29.45,29.50,29.10,29.10,-0.40,-1.36,"316,002",30.10,21.50,0.04,0.14,...,15.02
Acuity Brands,AYI,152.90,158.36,148.82,155.11,-3.10,-1.96,"1,559,691",186.99,109.98,0.52,0.34,19.44,-11.87
Acushnet Holdings,GOLF,26.99,27.10,26.39,26.92,0.01,0.04,"129,312",27.87,16.59,0.52,1.93,19.79,27.70
Adecoagro,AGRO,7.01,7.18,7.01,7.13,0.12,1.71,"737,459",11.15,6.93,...,...,...,-31.04
Adient,ADNT,40.58,40.93,40.08,40.22,-0.48,-1.18,"847,379",86.42,40.08,1.10,2.73,309.38,-48.89
ADT,ADT,8.55,8.64,8.44,8.61,0.09,1.06,"1,536,350",13.02,6.93,0.14,1.63,...,...
