Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg
1st Constitution Bancorp,FCCY,21.55,22.00,21.46,21.75,0.20,0.93,"34,843",22.52,16.15,0.24,1.10,23.14,18.85
1st Source,SRCE,53.07,53.15,52.68,52.82,-0.02,-0.04,"32,213",54.65,44.33,0.96,1.82,19.42,6.81
2U,TWOU,79.38,80.52,79.03,80.33,0.72,0.90,"662,205",91.00,39.58,...,...,...,24.52
8Point3 Energy Partners,CAFD,12.00,12.22,12.00,12.19,0.19,1.58,"157,561",15.92,11.69,1.12,9.19,16.70,-19.86
21st Century Fox Cl A,FOXA,36.20,36.81,35.92,36.42,0.17,0.47,"10,643,799",39.13,24.81,0.36,0.99,17.02,5.47
21st Century Fox Cl B,FOX,35.65,36.35,35.41,35.99,0.15,0.42,"2,022,802",38.56,24.30,0.36,1.00,16.82,5.48
21Vianet Group ADR,VNET,5.62,5.65,5.36,5.43,-0.20,-3.55,"264,610",9.59,4.17,...,...,...,-31.95
51job ADR,JOBS,84.05,84.87,81.02,81.34,-2.42,-2.89,"247,895",93.16,39.84,...,...,99.03,33.67
1347 Property Insurance Holdings,PIH,6.65,6.84,6.65,6.84,0.15,2.16,"2,492",8.50,6.55,...,...,171.13,-5.58
1-800-FLOWERS.COM Cl A,FLWS,12.80,12.95,12.70,12.75,...,...,"75,658",13.32,7.80,...,...,15.74,19.16
AAON,AAON,35.75,35.75,35.02,35.10,-0.60,-1.68,"115,781",40.25,29.95,0.26,0.74,34.08,-4.36
Abaxis,ABAX,71.73,73.43,64.96,66.36,-6.64,-9.10,"492,333",78.53,43.66,0.72,1.08,56.24,34.01
Abiomed,ABMD,304.69,306.30,297.39,301.74,-1.67,-0.55,"430,438",309.28,123.60,...,...,152.39,61.01
Ablynx ADR,ABLX,54.02,54.44,53.96,54.37,0.11,0.20,"21,636",55.29,17.75,...,...,...,117.57
Acacia Communications,ACIA,29.17,29.39,27.95,28.28,0.30,1.07,"907,525",50.10,24.72,...,...,31.78,-21.94
Acacia Research - Acacia Technologies,ACTG,3.65,3.75,3.65,3.70,...,...,"54,428",5.50,2.90,0.50,13.51,8.49,-8.64
Acadia Healthcare,ACHC,36.00,36.68,35.69,36.15,0.16,0.44,"1,914,791",54.34,26.92,...,...,15.79,10.79
ACADIA Pharmaceuticals,ACAD,15.68,16.62,15.50,16.28,1.16,7.67,"7,165,472",41.20,14.51,...,...,...,-45.93
Acceleron Pharma,XLRN,37.18,38.49,37.13,37.74,0.73,1.97,"189,416",46.93,24.37,...,...,...,-11.07
Access National,ANCX,29.35,29.35,27.82,28.02,-1.34,-4.56,"112,314",30.99,24.36,0.60,2.14,30.46,0.65
Accuray,ARAY,5.10,5.15,5.05,5.05,-0.05,-0.98,"170,527",6.15,3.60,...,...,...,17.44
AcelRx Pharmaceuticals,ACRX,2.50,2.60,2.40,2.45,0.15,6.52,"1,286,514",5.75,1.55,...,...,...,20.99
Aceto,ACET,2.60,2.74,2.54,2.59,-0.01,-0.38,"578,943",17.10,2.22,0.26,10.04,...,-74.93
Achaogen,AKAO,12.97,13.20,12.75,13.09,0.17,1.32,"1,241,184",27.49,9.83,...,...,...,21.88
Achillion Pharmaceuticals,ACHN,3.84,3.86,3.75,3.84,0.02,0.52,"377,138",5.66,2.58,...,...,...,33.33
AC Immune,ACIU,10.90,10.91,10.65,10.65,-0.25,-2.29,"20,378",13.91,6.03,...,...,...,-16.80
ACI Worldwide,ACIW,23.93,23.95,23.45,23.53,-0.32,-1.34,"432,759",26.37,20.23,...,...,470.60,3.79
Aclaris Therapeutics,ACRS,17.74,18.12,17.74,18.08,0.29,1.63,"107,204",30.08,16.01,...,...,...,-26.68
