Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg
1st Constitution Bancorp,FCCY,22.25,22.60,22.18,22.50,0.15,0.67,"12,651",27.00,16.15,0.24,1.07,24.19,22.95
1st Source,SRCE,56.68,57.15,56.60,56.75,0.14,0.25,"16,398",59.33,44.59,1.00,1.76,19.43,14.76
2U,TWOU,78.33,79.44,76.87,79.06,1.14,1.46,"996,106",98.58,47.20,...,...,...,22.55
21st Century Fox Cl A,FOXA,45.70,45.78,45.23,45.38,-0.29,-0.63,"11,445,477",50.15,24.81,0.36,0.79,18.91,31.42
21st Century Fox Cl B,FOX,45.12,45.12,44.69,44.83,-0.29,-0.64,"4,031,222",49.65,24.30,0.36,0.80,18.68,31.39
21Vianet Group ADR,VNET,9.10,9.79,8.22,9.04,-0.41,-4.39,"1,388,173",11.54,4.18,...,...,...,13.22
51job ADR,JOBS,71.15,72.21,69.23,71.70,0.06,0.08,"212,812",114.62,56.22,...,...,...,17.83
1347 Property Insurance Holdings,PIH,7.10,7.10,6.95,6.95,-0.00,-0.00,"565",8.25,6.55,...,...,21.72,-4.14
1-800-FLOWERS.COM Cl A,FLWS,14.10,14.50,14.05,14.45,0.25,1.76,"74,784",15.00,7.80,...,...,17.00,35.05
AAON,AAON,40.10,41.35,40.10,41.20,0.95,2.36,"113,674",41.35,29.05,0.32,0.78,46.82,12.26
Abiomed,ABMD,369.16,370.23,354.52,358.82,-10.15,-2.75,"437,012",450.93,144.01,...,...,100.23,91.46
Acacia Communications,ACIA,37.75,38.09,36.74,37.60,-0.66,-1.73,"1,028,640",50.10,24.72,...,...,...,3.78
Acacia Research - Acacia Technologies,ACTG,3.85,3.94,3.80,3.90,...,...,"87,985",5.50,2.90,0.50,12.82,...,-3.70
Acadia Healthcare,ACHC,38.64,39.30,38.56,39.19,0.39,1.01,"356,385",49.05,26.92,...,...,15.25,20.10
ACADIA Pharmaceuticals,ACAD,13.30,13.30,12.86,13.03,-0.27,-2.03,"2,837,115",41.20,12.77,...,...,...,-56.73
Acceleron Pharma,XLRN,48.04,48.50,47.48,48.39,0.44,0.92,"183,664",50.00,32.46,...,...,...,14.02
Access National,ANCX,27.47,27.79,27.38,27.75,0.21,0.76,"36,849",30.99,24.36,0.64,2.31,21.18,-0.32
Accuray,ARAY,3.85,4.15,3.65,3.88,0.35,9.93,"1,458,256",6.15,3.20,...,...,...,-9.88
AcelRx Pharmaceuticals,ACRX,3.15,3.15,3.00,3.05,-0.05,-1.61,"667,372",5.75,1.55,...,...,...,50.62
Aceto,ACET,3.21,3.32,3.20,3.26,0.05,1.56,"168,200",16.17,2.22,0.04,1.23,...,-68.44
