Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg
1st Constitution Bancorp,FCCY,18.96,19.80,18.76,18.78,-0.32,-1.68,"34,006",27.00,16.15,0.30,1.60,17.19,2.62
1st Source,SRCE,39.92,40.69,39.12,39.24,-0.57,-1.43,"133,225",59.33,39.06,1.00,2.55,12.99,-20.65
2U,TWOU,51.25,51.25,45.60,46.16,-4.77,-9.37,"1,385,950",98.58,45.60,...,...,...,-28.45
21st Century Fox Cl A,FOXA,48.08,48.46,46.83,46.90,-1.10,-2.29,"17,907,806",50.15,34.12,0.36,0.77,17.83,35.82
21st Century Fox Cl B,FOX,47.78,48.12,46.50,46.60,-1.13,-2.37,"9,897,229",49.65,33.75,0.36,0.77,17.72,36.58
21Vianet Group ADR,VNET,9.21,9.45,8.65,8.66,-0.52,-5.66,"303,408",11.98,5.01,...,...,9.14,8.52
51job ADR,JOBS,58.98,59.60,57.06,58.10,-0.71,-1.21,"260,753",114.62,52.15,...,...,42.10,-4.52
111 ADR,YI,6.57,6.57,6.00,6.00,-0.10,-1.64,"12,003",16.83,6.00,...,...,...,...
360 Finance ADR,QFIN,16.50,16.50,15.49,16.34,-0.09,-0.55,"43,303",17.53,15.49,...,...,...,...
1347 Property Insurance Holdings,PIH,3.88,4.00,3.80,3.89,-0.01,-0.26,"22,633",8.25,3.80,...,...,43.81,-46.34
1-800-FLOWERS.COM Cl A,FLWS,11.62,11.76,10.96,10.99,-0.67,-5.75,"507,491",15.00,9.76,...,...,20.63,2.71
AAON,AAON,33.98,34.12,32.53,32.77,-1.13,-3.33,"413,790",44.90,29.05,0.32,0.98,37.77,-10.71
Abiomed,ABMD,283.79,294.04,283.31,290.29,6.01,2.11,"1,090,491",459.75,187.01,...,...,70.31,54.90
Acacia Communications,ACIA,38.87,38.87,36.35,36.52,-1.97,-5.12,"686,109",47.26,24.72,...,...,...,0.80
Acacia Research - Acacia Technologies,ACTG,2.83,2.96,2.75,2.91,0.06,2.11,"521,759",4.40,2.75,0.50,17.18,...,-28.15
Acadia Healthcare,ACHC,26.96,27.22,25.04,25.19,-1.59,-5.94,"2,234,527",45.35,25.04,...,...,9.77,-22.80
ACADIA Pharmaceuticals,ACAD,15.30,15.49,14.29,14.33,-0.94,-6.16,"4,695,300",32.99,12.77,...,...,...,-52.41
Acceleron Pharma,XLRN,41.27,41.60,39.99,41.50,0.39,0.95,"637,068",59.59,32.53,...,...,...,-2.21
Access National,ANCX,21.24,21.71,20.83,20.92,-0.46,-2.15,"109,554",30.40,20.83,0.68,3.25,14.64,-24.86
Accuray,ARAY,3.49,3.58,3.26,3.39,-0.02,-0.59,"3,053,858",6.15,3.20,...,...,...,-21.16
AcelRx Pharmaceuticals,ACRX,2.26,2.28,2.08,2.16,-0.11,-4.85,"2,863,265",5.05,1.65,...,...,...,6.67
Aceto,ACET,1.12,1.12,0.99,0.99,-0.13,-11.61,"696,820",11.98,0.99,0.04,4.04,...,-90.42
Achaogen,AKAO,1.35,1.35,1.15,1.30,-0.05,-3.70,"1,301,771",15.00,1.14,...,...,...,-87.90
Achillion Pharmaceuticals,ACHN,1.34,1.52,1.31,1.47,0.15,11.36,"12,532,082",4.34,1.29,...,...,...,-48.96
AC Immune,ACIU,9.11,9.22,8.06,8.76,-0.24,-2.67,"1,095,819",17.40,7.16,...,...,...,-31.56
ACI Worldwide,ACIW,26.55,27.47,26.04,26.23,-0.32,-1.21,"1,993,879",30.25,20.23,...,...,231.10,15.70
Aclaris Therapeutics,ACRS,6.92,7.09,6.60,6.98,0.12,1.75,"2,285,753",26.25,6.15,...,...,...,-71.70
ACM Research Cl A,ACMR,10.25,10.30,10.11,10.26,...,...,"46,346",15.60,4.74,...,...,23.21,95.43
Acorda Therapeutics,ACOR,13.92,14.07,12.86,12.94,-0.99,-7.11,"1,514,020",36.35,12.86,...,...,...,-39.67
Activision Blizzard,ATVI,47.62,47.96,44.96,45.85,-1.20,-2.55,"16,917,942",84.68,44.96,0.34,0.74,103.87,-27.59
Adamas Pharmaceuticals,ADMS,7.84,8.34,7.48,7.84,0.06,0.77,"3,065,568",44.00,7.42,...,...,...,-76.87
Adaptimmune Therapeutics ADR,ADAP,3.97,4.04,3.64,3.76,-0.22,-5.53,"682,339",14.63,3.64,...,...,...,-43.71
Addus HomeCare,ADUS,64.83,65.61,62.99,63.71,-0.95,-1.47,"252,359",77.82,33.25,...,...,47.63,83.07
