Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg
1st Constitution Bancorp,FCCY,19.37,19.72,19.28,19.43,0.03,0.15,"9,066",27.00,16.45,0.30,1.54,17.79,-2.51
1st Source,SRCE,44.49,50.15,44.18,45.11,0.67,1.51,"54,295",59.33,38.44,1.00,2.22,14.94,11.82
2U,TWOU,55.59,57.29,54.88,56.43,1.21,2.19,"422,984",98.58,44.50,...,...,...,13.50
21st Century Fox Cl A,FOXA,48.72,48.76,48.33,48.74,0.35,0.72,"7,197,484",50.15,34.12,0.36,0.74,18.53,1.29
21st Century Fox Cl B,FOX,48.40,48.40,48.01,48.35,0.29,0.60,"3,760,444",49.65,33.75,0.36,0.74,18.38,1.19
21Vianet Group ADR,VNET,9.57,9.64,9.40,9.41,-0.09,-0.95,"161,708",11.98,5.01,...,...,9.93,8.91
51job ADR,JOBS,67.65,68.85,66.41,67.85,0.60,0.89,"161,085",114.62,52.15,...,...,49.16,8.66
111 ADR,YI,8.05,8.05,7.50,7.53,-0.64,-7.83,"29,297",16.83,5.95,...,...,...,22.64
360 Finance ADR,QFIN,12.65,13.50,12.10,13.34,0.74,5.87,"64,576",17.53,9.90,...,...,...,-13.97
1347 Property Insurance Holdings,PIH,4.31,4.52,4.31,4.36,0.11,2.59,"963",8.25,3.75,...,...,46.68,8.46
1-800-FLOWERS.COM Cl A,FLWS,12.96,13.17,12.86,12.90,-0.07,-0.54,"102,924",15.00,9.76,...,...,24.21,5.48
AAON,AAON,36.96,37.98,36.95,37.66,0.86,2.34,"96,231",44.90,29.05,0.32,0.85,43.29,7.42
Abiomed,ABMD,335.20,337.16,326.50,333.74,3.42,1.04,"407,608",459.75,219.13,...,...,80.84,2.68
Acacia Communications,ACIA,42.81,43.25,42.49,42.63,0.02,0.05,"343,906",47.26,24.72,...,...,...,12.18
Acacia Research - Acacia Technologies,ACTG,3.09,3.09,3.01,3.03,-0.07,-2.26,"101,513",4.40,2.75,0.50,16.50,...,1.68
Acadia Healthcare,ACHC,29.20,29.41,28.91,28.99,-0.21,-0.72,"674,944",45.35,24.27,...,...,11.24,12.76
ACADIA Pharmaceuticals,ACAD,21.69,21.69,20.70,21.07,-0.51,-2.36,"2,591,164",32.99,12.77,...,...,...,30.30
Acceleron Pharma,XLRN,42.04,42.72,40.85,40.99,-0.93,-2.22,"601,984",59.59,32.53,...,...,...,-5.88
Access National,ANCX,24.29,24.58,23.89,24.32,0.02,0.08,"46,759",30.40,20.34,0.68,2.80,17.02,14.02
Accuray,ARAY,3.82,3.93,3.55,3.87,0.03,0.78,"1,056,964",6.15,3.17,...,...,...,13.49
AcelRx Pharmaceuticals,ACRX,2.58,2.65,2.43,2.51,0.03,1.21,"2,132,234",5.05,1.65,...,...,...,8.66
Aceto,ACET,1.40,1.45,1.35,1.41,0.02,1.44,"144,779",11.98,0.79,0.04,2.84,...,67.86
Achaogen,AKAO,1.29,1.39,1.26,1.31,0.02,1.55,"574,292",15.00,1.14,...,...,...,6.50
Achillion Pharmaceuticals,ACHN,2.30,2.33,2.17,2.19,-0.11,-4.78,"2,153,825",4.34,1.29,...,...,...,37.74
AC Immune,ACIU,11.11,11.47,10.51,11.34,0.16,1.43,"88,530",17.40,7.16,...,...,...,20.00
ACI Worldwide,ACIW,28.56,29.02,28.51,28.74,0.12,0.42,"1,007,145",30.25,20.23,...,...,248.83,3.87
Aclaris Therapeutics,ACRS,6.20,6.43,5.95,6.36,0.14,2.25,"1,007,271",25.89,5.95,...,...,...,-13.94
ACM Research Cl A,ACMR,10.29,10.34,9.58,9.77,-0.51,-4.96,"28,402",15.60,4.74,...,...,22.10,-10.20
Acorda Therapeutics,ACOR,16.87,17.09,16.06,16.26,-0.63,-3.73,"774,931",36.35,12.86,...,...,...,4.36
Activision Blizzard,ATVI,47.89,49.32,47.84,48.65,1.27,2.68,"10,441,347",84.68,43.71,0.34,0.70,110.21,4.47
Adamas Pharmaceuticals,ADMS,8.94,9.12,8.74,9.02,0.09,1.01,"321,971",44.00,7.42,...,...,...,5.62
Adaptimmune Therapeutics ADR,ADAP,5.04,5.08,4.73,4.86,-0.18,-3.57,"433,264",14.63,3.60,...,...,...,-15.48
Addus HomeCare,ADUS,65.03,65.70,62.95,63.59,-1.37,-2.11,"166,956",77.82,33.25,...,...,47.54,-6.32
ADDvantage Technologies Group,AEY,1.42,1.46,1.42,1.46,0.06,4.29,"2,374",1.83,1.21,...,...,...,1.74
Adobe,ADBE,247.45,250.68,244.45,247.51,3.11,1.27,"3,572,616",277.61,179.34,...,...,47.51,9.40
Adtran,ADTN,11.88,12.01,11.84,11.89,0.02,0.17,"328,466",19.30,10.21,0.36,3.03,...,10.71
Aduro Biotech,ADRO,2.87,2.87,2.68,2.70,-0.18,-6.25,"322,456",9.93,2.34,...,...,...,2.27
Advanced Emissions Solutions,ADES,11.05,11.17,10.94,11.14,0.09,0.81,"89,448",12.37,7.00,1.00,8.98,6.44,5.59
Advanced Energy Industries,AEIS,45.89,48.50,45.89,48.00,2.26,4.94,"331,902",77.99,38.74,...,...,19.43,11.81
Advanced Micro Devices,AMD,20.37,21.05,20.02,20.77,0.52,2.57,"87,449,577",34.14,9.04,...,...,61.09,12.51
Advaxis,ADXS,0.37,0.39,0.33,0.35,-0.00,-0.60,"476,954",3.29,0.18,...,...,...,83.11
Adverum Biotechnologies,ADVM,3.15,3.32,3.08,3.24,0.09,2.86,"222,366",8.59,2.62,...,...,...,2.86
Aegion,AEGN,18.44,19.05,18.05,18.79,0.37,2.01,"150,364",26.80,15.12,...,...,...,15.13
Aeglea BioTherapeutics,AGLE,8.96,9.11,8.72,8.92,-0.04,-0.45,"95,336",12.00,5.12,...,...,...,19.09
Aemetis,AMTX,1.00,1.09,1.00,1.08,0.04,3.85,"183,724",3.12,0.42,...,...,...,78.07
Aerie Pharmaceuticals,AERI,42.85,45.00,42.29,43.99,1.16,2.71,"630,761",74.75,32.18,...,...,...,21.86
AeroVironment,AVAV,75.53,77.49,75.50,76.75,1.77,2.36,"126,725",121.32,41.60,...,...,43.42,12.95
Aevi Genomic Medicine,GNMX,0.20,0.22,0.20,0.22,0.01,5.62,"2,701,154",2.65,0.17,...,...,...,-69.14
Affimed,AFMD,3.57,3.60,3.46,3.54,-0.01,-0.28,"171,434",7.35,1.25,...,...,...,13.83
Agilysys,AGYS,14.74,15.16,14.50,14.75,0.05,0.34,"82,772",17.52,10.77,...,...,...,2.86
