Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg
1st Constitution Bancorp,FCCY,21.55,21.55,21.20,21.30,-0.35,-1.62,"9,456",27.00,16.15,0.24,1.13,22.66,16.39
1st Source,SRCE,54.52,54.92,54.15,54.17,-0.52,-0.95,"21,410",56.77,44.59,0.96,1.77,19.92,9.54
2U,TWOU,93.56,94.37,92.84,93.59,-0.05,-0.05,"442,108",98.58,45.50,...,...,...,45.08
21st Century Fox Cl A,FOXA,47.11,47.63,46.98,47.56,0.18,0.38,"20,792,655",50.15,24.81,0.36,0.76,21.92,37.74
21st Century Fox Cl B,FOX,46.82,47.25,46.64,47.19,0.15,0.32,"3,469,388",49.65,24.30,0.36,0.76,21.75,38.31
21Vianet Group ADR,VNET,9.80,9.94,9.72,9.86,0.06,0.61,"218,479",10.96,4.17,...,...,...,23.56
51job ADR,JOBS,91.64,93.64,91.41,92.63,0.93,1.01,"412,726",114.62,47.12,...,...,...,52.23
1347 Property Insurance Holdings,PIH,6.95,7.05,6.95,7.05,0.10,1.44,"631",8.25,6.55,...,...,22.03,-2.76
1-800-FLOWERS.COM Cl A,FLWS,12.95,13.15,12.95,13.10,0.10,0.77,"84,974",13.32,7.80,...,...,15.41,22.43
AAON,AAON,35.35,36.10,35.35,35.75,0.25,0.70,"97,751",40.25,29.05,0.32,0.90,38.86,-2.59
Abaxis,ABAX,83.27,83.36,83.23,83.28,...,...,"100,808",83.98,43.66,0.72,0.86,70.58,68.17
Abiomed,ABMD,416.23,421.11,413.87,418.76,4.15,1.00,"492,654",450.93,141.56,...,...,170.92,123.45
Acacia Communications,ACIA,35.38,36.48,35.25,35.47,0.09,0.25,"589,323",50.10,24.72,...,...,...,-2.10
Acacia Research - Acacia Technologies,ACTG,3.95,3.95,3.80,3.85,-0.05,-1.28,"115,987",5.50,2.90,0.50,12.99,84.06,-4.94
Acadia Healthcare,ACHC,43.43,43.72,43.09,43.45,0.14,0.32,"354,236",54.34,26.92,...,...,17.59,33.16
ACADIA Pharmaceuticals,ACAD,17.70,17.97,17.24,17.46,-0.30,-1.69,"2,538,001",41.20,14.51,...,...,...,-42.01
Acceleron Pharma,XLRN,45.73,46.64,44.69,45.86,-1.25,-2.65,"335,828",50.00,29.57,...,...,...,8.06
Access National,ANCX,28.85,28.95,28.58,28.74,-0.19,-0.66,"39,533",30.99,24.36,0.60,2.09,26.86,3.23
Accuray,ARAY,4.00,4.10,3.85,3.90,-0.10,-2.50,"605,073",6.15,3.60,...,...,...,-9.30
AcelRx Pharmaceuticals,ACRX,2.90,3.30,2.90,3.20,0.25,8.47,"1,905,856",5.75,1.55,...,...,...,58.02
Aceto,ACET,3.49,3.52,3.41,3.42,-0.07,-2.01,"116,533",17.10,2.22,0.04,1.17,...,-66.89
Achaogen,AKAO,8.42,8.44,7.80,7.82,-0.52,-6.24,"876,403",24.90,7.43,...,...,...,-27.19
Achillion Pharmaceuticals,ACHN,2.93,3.40,2.93,3.14,0.21,7.17,"3,527,067",5.66,2.58,...,...,...,9.03
AC Immune,ACIU,14.99,14.99,13.04,13.77,-1.13,-7.58,"112,038",16.36,6.03,...,...,...,7.58
ACI Worldwide,ACIW,26.49,26.57,26.23,26.30,-0.17,-0.64,"312,835",27.16,20.23,...,...,...,16.01
Aclaris Therapeutics,ACRS,20.46,20.65,20.21,20.59,0.16,0.78,"163,828",30.08,16.01,...,...,...,-16.50
ACM Research Cl A,ACMR,12.50,12.91,12.26,12.63,0.19,1.53,"111,762",15.60,4.74,...,...,...,140.57
Acorda Therapeutics,ACOR,29.55,30.00,29.02,29.80,0.30,1.02,"257,526",36.35,16.55,...,...,...,38.93
Activision Blizzard,ATVI,81.40,81.64,79.92,81.50,0.13,0.16,"4,464,760",81.64,57.29,0.34,0.42,184.64,28.71
Acxiom,ACXM,41.55,42.55,41.29,42.40,1.11,2.69,"1,448,398",42.55,18.60,...,...,151.43,53.85
Adamas Pharmaceuticals,ADMS,26.25,27.56,25.86,27.06,0.72,2.73,"517,720",44.00,13.50,...,...,...,-20.15
Adaptimmune Therapeutics ADR,ADAP,11.11,11.41,10.62,11.34,0.26,2.35,"564,009",14.63,4.82,...,...,...,69.76
Addus HomeCare,ADUS,58.85,60.45,58.85,59.80,1.20,2.05,"62,493",61.25,30.95,...,...,49.02,71.84
ADDvantage Technologies Group,AEY,1.50,1.57,1.44,1.47,-0.03,-1.99,"53,453",2.33,1.21,...,...,...,0.01
Adobe Systems,ADBE,254.64,259.51,253.49,258.59,3.72,1.46,"3,880,988",259.51,143.95,...,...,59.58,47.56
Adtran,ADTN,15.55,15.75,15.50,15.65,0.08,0.48,"171,107",25.10,13.95,0.36,2.30,111.79,-19.12
Aduro Biotech,ADRO,6.85,6.95,6.70,6.85,...,...,"312,942",14.05,5.83,...,...,...,-8.67
Advanced Emissions Solutions,ADES,11.61,11.79,11.59,11.66,0.04,0.34,"39,655",12.20,7.00,1.00,8.58,9.18,20.70
Advanced Energy Industries,AEIS,59.71,60.34,59.11,59.14,-0.68,-1.14,"279,995",95.00,57.03,...,...,16.25,-12.36
Advaxis,ADXS,1.60,1.62,1.30,1.34,0.12,9.84,"6,964,129",7.45,1.15,...,...,...,-52.82
Adverum Biotechnologies,ADVM,5.40,5.40,5.10,5.15,-0.25,-4.63,"395,951",8.59,2.40,...,...,...,47.14
Aegion,AEGN,25.50,25.89,25.50,25.62,0.03,0.12,"48,167",28.19,19.11,...,...,...,0.75
Aeglea BioTherapeutics,AGLE,9.00,9.00,8.70,8.78,-0.22,-2.44,"264,691",12.00,2.81,...,...,...,62.29
