Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg
1st Constitution Bancorp,FCCY,22.15,27.00,22.05,22.15,0.15,0.68,"32,454",27.00,16.15,0.24,1.08,23.56,21.04
1st Source,SRCE,54.90,55.82,54.52,55.31,0.08,0.14,"96,706",56.42,44.59,0.96,1.74,20.33,11.85
2U,TWOU,95.76,96.83,93.99,96.31,-0.27,-0.28,"717,014",98.58,44.23,...,...,...,49.29
8Point3 Energy Partners,CAFD,12.43,12.44,12.42,12.42,-0.01,-0.08,"425,295",15.92,11.69,1.12,9.02,17.01,-18.34
21st Century Fox Cl A,FOXA,44.58,45.05,44.39,44.66,0.08,0.18,"18,776,495",45.05,24.81,0.36,0.81,20.58,29.34
21st Century Fox Cl B,FOX,44.62,44.83,44.18,44.56,0.14,0.32,"5,479,116",44.83,24.30,0.36,0.81,20.53,30.60
21Vianet Group ADR,VNET,8.83,8.86,8.48,8.64,-0.20,-2.26,"1,258,708",9.59,4.17,...,...,...,8.27
51job ADR,JOBS,105.46,107.48,103.95,107.10,1.31,1.24,"438,665",114.62,42.60,...,...,...,76.01
1347 Property Insurance Holdings,PIH,7.80,7.90,7.55,7.60,-0.20,-2.56,"3,521",8.45,6.55,...,...,23.75,4.83
1-800-FLOWERS.COM Cl A,FLWS,12.75,12.93,12.65,12.85,0.05,0.39,"117,800",13.32,7.80,...,...,15.12,20.09
AAON,AAON,33.05,33.35,32.65,33.30,0.15,0.45,"273,347",40.25,29.05,0.32,0.96,36.20,-9.26
Abaxis,ABAX,83.06,83.35,83.05,83.26,-0.11,-0.13,"191,055",83.98,43.66,0.72,0.86,70.56,68.13
Abiomed,ABMD,441.00,445.45,435.48,443.58,2.93,0.66,"751,750",445.45,139.49,...,...,181.05,136.69
Acacia Communications,ACIA,35.03,35.22,34.57,34.98,-0.34,-0.96,"517,449",50.10,24.72,...,...,...,-3.45
Acacia Research - Acacia Technologies,ACTG,4.35,4.40,4.25,4.40,0.05,1.15,"459,929",5.50,2.90,0.50,11.36,96.07,8.64
Acadia Healthcare,ACHC,41.03,42.26,41.03,41.81,0.65,1.58,"1,024,812",54.34,26.92,...,...,16.93,28.13
ACADIA Pharmaceuticals,ACAD,15.19,15.91,14.90,15.73,0.38,2.48,"4,345,986",41.20,14.51,...,...,...,-47.76
Acceleron Pharma,XLRN,35.94,36.10,35.48,36.02,-0.10,-0.28,"346,066",46.93,28.50,...,...,...,-15.13
Access National,ANCX,28.83,29.22,28.77,29.14,0.14,0.48,"60,195",30.99,24.36,0.60,2.06,27.23,4.67
Accuray,ARAY,4.70,4.78,4.35,4.35,-0.35,-7.45,"1,005,019",6.15,3.60,...,...,...,1.16
AcelRx Pharmaceuticals,ACRX,4.15,4.30,4.15,4.20,0.08,1.82,"927,061",5.75,1.55,...,...,...,107.41
Aceto,ACET,3.79,4.06,3.78,4.03,0.21,5.50,"711,220",17.10,2.22,0.04,0.99,...,-60.99
Achaogen,AKAO,12.05,12.19,11.70,11.80,-0.32,-2.64,"1,297,915",25.22,9.83,...,...,...,9.87
Achillion Pharmaceuticals,ACHN,2.99,3.02,2.94,2.97,-0.02,-0.67,"1,277,961",5.66,2.58,...,...,...,3.13
AC Immune,ACIU,9.26,9.62,9.13,9.60,0.42,4.58,"20,995",13.91,6.03,...,...,...,-25.00
ACI Worldwide,ACIW,25.72,26.16,25.50,26.14,0.35,1.36,"1,050,311",26.37,20.23,...,...,...,15.31
Aclaris Therapeutics,ACRS,19.67,20.09,19.57,19.93,0.15,0.76,"578,091",30.08,16.01,...,...,...,-19.18
ACM Research Cl A,ACMR,13.36,13.99,13.15,13.98,0.57,4.25,"123,310",15.60,4.74,...,...,...,166.29
Acorda Therapeutics,ACOR,31.30,31.55,31.05,31.15,-0.35,-1.11,"1,237,718",36.35,16.55,...,...,...,45.22
Activision Blizzard,ATVI,77.66,77.83,76.37,77.41,-0.30,-0.39,"5,927,079",79.63,55.86,0.34,0.44,175.37,22.25
Acxiom,ACXM,30.24,30.42,29.86,30.02,-0.31,-1.02,"763,182",32.93,18.60,...,...,107.21,8.93
Adamas Pharmaceuticals,ADMS,27.27,27.35,26.04,26.12,-1.35,-4.91,"1,538,309",44.00,13.50,...,...,...,-22.93
Adaptimmune Therapeutics ADR,ADAP,12.28,12.72,12.16,12.51,0.26,2.12,"561,070",14.63,4.28,...,...,...,87.28
Addus HomeCare,ADUS,56.80,57.50,56.10,56.35,-0.30,-0.53,"44,769",58.80,30.95,...,...,46.19,61.93
ADDvantage Technologies Group,AEY,1.30,1.30,1.29,1.30,0.01,0.75,"6,752",2.33,1.21,...,...,...,-11.56
Adobe Systems,ADBE,251.28,253.87,247.52,251.82,-6.28,-2.43,"8,550,899",258.91,136.29,...,...,66.97,43.70
Adtran,ADTN,15.10,15.57,15.05,15.45,0.30,1.98,"511,187",25.10,13.95,0.36,2.33,110.36,-20.16
Aduro Biotech,ADRO,7.65,7.90,7.55,7.90,0.20,2.60,"406,646",14.05,5.83,...,...,...,5.33
Advanced Emissions Solutions,ADES,11.05,11.30,11.05,11.27,0.21,1.90,"198,419",12.20,7.00,1.00,8.87,8.87,16.67
Advanced Energy Industries,AEIS,61.38,61.54,60.09,60.26,-1.67,-2.70,"575,145",95.00,57.35,...,...,16.55,-10.70
Advaxis,ADXS,1.68,1.72,1.63,1.71,0.02,1.18,"642,305",7.45,1.51,...,...,...,-39.79
Adverum Biotechnologies,ADVM,5.55,5.75,5.40,5.55,...,...,"649,254",8.59,2.40,...,...,...,58.57
