Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg
1st Constitution Bancorp,FCCY,19.97,20.25,19.82,19.83,-0.22,-1.10,"8,179",27.00,16.15,0.30,1.51,18.16,8.36
1st Source,SRCE,47.16,48.56,46.97,47.38,-0.03,-0.06,"36,201",59.33,39.93,1.00,2.11,15.69,-4.19
2U,TWOU,54.77,55.18,53.09,53.69,-0.71,-1.31,"597,579",98.58,49.73,...,...,...,-16.77
21st Century Fox Cl A,FOXA,48.10,48.41,47.88,48.16,-0.11,-0.23,"9,072,843",50.15,30.22,0.36,0.75,18.31,39.47
21st Century Fox Cl B,FOX,47.75,47.95,47.38,47.73,-0.06,-0.13,"3,466,863",49.65,29.57,0.36,0.75,18.15,39.89
21Vianet Group ADR,VNET,11.65,11.65,11.16,11.45,-0.26,-2.22,"446,139",11.80,5.01,...,...,...,43.48
51job ADR,JOBS,67.42,67.81,65.24,66.80,-1.37,-2.01,"126,930",114.62,52.15,...,...,48.40,9.78
111 ADR,YI,10.11,10.50,9.96,10.12,0.12,1.20,"9,417",16.83,7.52,...,...,...,...
1347 Property Insurance Holdings,PIH,5.45,5.45,5.29,5.32,0.06,1.05,"8,096",8.25,5.25,...,...,59.85,-26.69
1-800-FLOWERS.COM Cl A,FLWS,12.94,12.98,12.60,12.74,-0.24,-1.85,"206,343",15.00,9.25,...,...,23.91,19.07
AAON,AAON,40.68,41.41,39.17,39.28,-1.68,-4.10,"441,474",44.90,29.05,0.32,0.81,45.27,7.03
Abiomed,ABMD,318.04,332.15,315.38,319.78,-1.00,-0.31,"651,105",459.75,186.72,...,...,89.32,70.63
Acacia Communications,ACIA,44.49,45.42,43.65,45.01,0.07,0.16,"524,284",47.26,24.72,...,...,...,24.23
Acacia Research - Acacia Technologies,ACTG,3.10,3.15,3.00,3.06,-0.09,-2.86,"109,351",4.45,2.85,0.50,16.34,...,-24.44
Acadia Healthcare,ACHC,37.61,39.31,28.02,32.55,-5.31,-14.03,"11,574,871",45.35,28.02,...,...,12.63,-0.25
ACADIA Pharmaceuticals,ACAD,18.48,19.24,18.12,18.93,0.30,1.61,"1,629,025",32.99,12.77,...,...,...,-37.13
Acceleron Pharma,XLRN,50.14,52.57,49.80,52.23,1.57,3.10,"577,523",59.59,32.53,...,...,...,23.07
Access National,ANCX,26.07,26.32,25.81,26.27,0.03,0.11,"42,407",30.40,23.95,0.68,2.59,18.38,-5.64
Accuray,ARAY,4.59,4.74,4.55,4.71,0.10,2.17,"599,688",6.15,3.20,...,...,...,9.53
AcelRx Pharmaceuticals,ACRX,2.82,2.94,2.78,2.93,0.09,3.17,"2,293,886",5.05,1.65,...,...,...,44.69
Aceto,ACET,1.84,1.93,1.76,1.79,-0.06,-3.24,"133,190",11.98,1.53,0.04,2.23,...,-82.67
Achaogen,AKAO,1.77,1.84,1.56,1.64,-0.14,-7.61,"1,109,145",15.00,1.56,...,...,...,-84.73
Achillion Pharmaceuticals,ACHN,2.70,2.90,2.65,2.88,0.16,5.88,"2,225,915",4.34,2.33,...,...,...,...
AC Immune,ACIU,9.64,9.84,9.40,9.77,0.12,1.24,"35,219",17.40,7.16,...,...,...,-23.67
ACI Worldwide,ACIW,28.92,29.63,28.63,29.52,0.29,0.99,"512,620",30.25,20.23,...,...,260.09,30.22
Aclaris Therapeutics,ACRS,8.60,8.88,8.48,8.81,0.13,1.50,"627,142",26.25,8.48,...,...,...,-64.27
