Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg
1st Constitution Bancorp,FCCY,19.67,19.80,19.15,19.29,-0.25,-1.28,"29,378",27.00,16.15,0.24,1.24,20.74,5.41
1st Source,SRCE,51.57,51.60,48.49,49.45,-1.54,-3.02,"40,404",59.33,47.16,1.00,2.02,16.93,...
2U,TWOU,64.90,65.91,62.95,64.31,1.46,2.32,"788,630",98.58,57.84,...,...,...,-0.31
21st Century Fox Cl A,FOXA,45.30,45.50,44.97,45.36,0.25,0.55,"7,195,594",50.15,24.81,0.36,0.79,18.90,31.36
21st Century Fox Cl B,FOX,45.05,45.08,44.63,44.94,0.15,0.33,"3,824,611",49.65,24.30,0.36,0.80,18.73,31.71
21Vianet Group ADR,VNET,9.89,10.21,9.84,10.12,0.41,4.22,"382,289",11.54,5.01,...,...,...,26.82
51job ADR,JOBS,60.02,61.57,59.15,61.39,2.99,5.12,"1,059,353",114.62,56.22,...,...,...,0.89
111 ADR,YI,10.01,10.24,9.20,9.35,-0.50,-5.08,"23,799",16.83,9.20,...,...,...,...
1347 Property Insurance Holdings,PIH,6.20,6.34,6.20,6.34,...,...,"5,159",8.25,6.10,...,...,19.81,-12.55
1-800-FLOWERS.COM Cl A,FLWS,11.12,11.30,10.83,11.07,0.09,0.82,"204,165",15.00,8.85,...,...,18.45,3.46
AAON,AAON,32.31,32.31,31.59,31.89,0.05,0.16,"201,993",43.30,29.05,0.32,1.00,36.24,-13.11
Abiomed,ABMD,381.57,396.19,374.26,384.78,17.24,4.69,"971,496",459.75,164.80,...,...,107.48,105.31
Acacia Communications,ACIA,36.25,38.05,36.25,37.60,0.96,2.62,"373,013",46.59,24.72,...,...,...,3.78
Acacia Research - Acacia Technologies,ACTG,3.10,3.18,3.02,3.12,0.07,2.30,"204,047",4.70,3.00,0.50,16.03,...,-22.96
Acadia Healthcare,ACHC,35.23,35.50,32.37,33.30,-1.39,-4.01,"3,273,764",45.27,26.92,...,...,12.96,2.05
ACADIA Pharmaceuticals,ACAD,21.38,21.93,21.13,21.72,0.73,3.48,"1,831,565",38.00,12.77,...,...,...,-27.86
Acceleron Pharma,XLRN,49.56,50.43,48.36,49.86,1.37,2.83,"267,583",59.59,32.53,...,...,...,17.48
Access National,ANCX,28.28,28.28,26.72,27.07,-0.97,-3.46,"197,329",30.99,25.81,0.64,2.36,20.66,-2.77
Accuray,ARAY,3.99,4.03,3.73,3.75,-0.18,-4.46,"1,226,741",6.15,3.20,...,...,...,-12.91
Aceto,ACET,2.26,2.27,2.19,2.21,-0.02,-0.90,"364,326",11.98,2.10,0.04,1.81,...,-78.61
Achaogen,AKAO,3.91,3.96,3.70,3.72,-0.12,-3.12,"562,004",15.00,3.70,...,...,...,-65.36
Achillion Pharmaceuticals,ACHN,3.14,3.23,3.11,3.13,0.05,1.62,"934,539",4.63,2.33,...,...,...,8.68
AC Immune,ACIU,8.10,8.64,7.93,8.64,0.63,7.87,"169,617",17.40,7.16,...,...,...,-32.50
ACI Worldwide,ACIW,25.53,25.72,25.10,25.50,0.42,1.67,"723,586",28.98,20.23,...,...,2550.00,12.48
Aclaris Therapeutics,ACRS,13.45,13.73,13.25,13.58,0.28,2.11,"198,203",27.20,12.84,...,...,...,-44.93
ACM Research Cl A,ACMR,10.25,10.39,10.13,10.27,0.31,3.11,"25,835",15.60,4.74,...,...,171.17,95.62
Acorda Therapeutics,ACOR,17.75,17.77,17.26,17.68,0.13,0.74,"566,372",36.35,15.60,...,...,...,-17.58
Activision Blizzard,ATVI,78.40,80.25,76.55,77.92,4.07,5.51,"11,794,015",84.68,57.29,0.34,0.44,176.53,23.06
Adamas Pharmaceuticals,ADMS,17.64,18.25,17.36,18.17,0.87,5.03,"356,312",44.00,16.07,...,...,...,-46.39
Adaptimmune Therapeutics ADR,ADAP,12.88,13.10,12.23,12.41,-0.20,-1.59,"459,201",14.63,6.60,...,...,...,85.78
Addus HomeCare,ADUS,65.85,67.17,62.34,62.61,-2.58,-3.96,"245,295",72.55,30.95,...,...,46.38,79.91
ADDvantage Technologies Group,AEY,1.33,1.34,1.31,1.34,...,...,"2,204",2.33,1.21,...,...,...,-8.84
Adobe,ADBE,247.74,249.91,242.78,248.87,10.28,4.31,"4,600,715",277.61,148.15,...,...,51.42,42.02
Adtran,ADTN,17.05,17.37,16.83,16.96,0.06,0.36,"189,137",25.10,13.95,0.36,2.12,...,-12.35
Aduro Biotech,ADRO,6.17,6.20,5.95,6.08,...,...,"423,444",10.10,5.10,...,...,...,-18.93
Advanced Emissions Solutions,ADES,10.78,10.91,10.52,10.64,-0.12,-1.12,"86,646",12.37,7.00,1.00,9.40,6.15,10.14
Advanced Energy Industries,AEIS,47.11,47.72,46.08,46.58,0.60,1.30,"312,931",95.00,45.75,...,...,12.69,-30.97
Advaxis,ADXS,0.79,0.81,0.76,0.77,-0.02,-2.97,"604,383",4.24,0.76,...,...,...,-72.75
Adverum Biotechnologies,ADVM,5.23,5.26,5.07,5.15,0.04,0.88,"555,227",8.59,2.85,...,...,...,47.14
Aegion,AEGN,22.77,22.85,21.53,21.62,-0.90,-4.00,"172,303",28.19,21.16,...,...,...,-14.98
Aeglea BioTherapeutics,AGLE,9.31,9.39,8.77,9.08,0.01,0.11,"202,226",12.00,3.75,...,...,...,67.84
Aemetis,AMTX,1.30,1.30,1.15,1.17,-0.13,-10.00,"98,928",3.12,0.45,...,...,...,112.73
Aerie Pharmaceuticals,AERI,53.45,55.51,53.11,55.37,2.81,5.35,"520,736",74.75,47.05,...,...,...,-7.33
AeroVironment,AVAV,92.87,94.03,91.24,92.69,1.65,1.81,"339,732",121.32,41.53,...,...,51.78,65.05
Aevi Genomic Medicine,GNMX,1.10,1.10,1.06,1.08,0.01,0.93,"39,267",2.65,0.83,...,...,...,-10.00
Affimed,AFMD,3.36,3.59,3.26,3.38,0.07,2.11,"575,098",7.35,1.15,...,...,...,160.00
Agile Therapeutics,AGRX,0.60,0.78,0.58,0.74,0.13,21.31,"7,652,059",5.37,0.23,...,...,...,-72.49
Agilysys,AGYS,15.68,15.93,15.47,15.58,0.09,0.58,"71,048",16.87,10.77,...,...,...,26.87
Agios Pharmaceuticals,AGIO,64.73,67.26,63.76,65.88,2.52,3.98,"564,022",99.82,51.62,...,...,...,15.24
AGNC Investment,AGNC,18.00,18.04,17.71,17.76,-0.04,-0.22,"6,318,608",21.90,17.71,2.16,12.16,5.13,-12.04
AgroFresh Solutions,AGFS,5.93,6.00,5.73,5.83,-0.01,-0.17,"129,511",8.75,4.94,...,...,...,-21.22
AgroFresh Solutions WT,AGFSW,0.25,0.25,0.24,0.24,...,...,"625",0.77,0.05,...,...,...,-41.95
Aileron Therapeutics,ALRN,2.49,2.53,2.25,2.49,-0.06,-2.35,"32,581",14.59,1.98,...,...,...,-76.38
Aimmune Therapeutics,AIMT,25.62,26.50,25.57,26.37,1.20,4.77,"394,252",42.00,24.56,...,...,...,-30.27
AirMedia Group ADR,AMCN,0.38,0.41,0.38,0.41,0.01,3.32,"72,033",2.80,0.38,...,...,...,-64.78
Air Transport Services Group,ATSG,21.28,21.28,20.64,20.88,-0.09,-0.43,"245,768",27.67,19.17,...,...,16.08,-9.77
Akamai Technologies,AKAM,62.70,63.37,61.79,63.00,1.66,2.71,"2,022,421",83.08,50.39,...,...,61.76,-3.14
Akcea Therapeutics,AKCA,26.15,26.75,22.83,23.31,-2.45,-9.51,"423,302",40.75,15.20,...,...,...,34.27
Akebia Therapeutics,AKBA,8.66,8.91,8.42,8.72,0.16,1.87,"407,339",19.36,7.32,...,...,...,-41.36
Akorn,AKRX,6.34,6.39,5.96,6.20,-0.14,-2.21,"2,559,991",33.63,5.25,...,...,...,-80.76
Alarm.Com Holdings,ALRM,46.84,47.06,43.66,44.30,-0.02,-0.05,"1,027,687",60.20,33.39,...,...,59.07,17.35
Alaska Communications Systems Group,ALSK,1.69,1.73,1.62,1.64,-0.03,-1.80,"99,176",2.91,1.39,...,...,32.80,-38.81
Alder BioPharmaceuticals,ALDR,12.61,13.43,12.17,13.27,-0.13,-0.97,"1,614,936",20.87,9.55,...,...,...,15.90
Alexion Pharmaceuticals,ALXN,122.57,122.96,118.16,121.94,2.63,2.20,"1,731,771",144.91,102.10,...,...,...,1.97
