Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg
1st Constitution Bancorp,FCCY,20.55,21.70,20.35,20.70,0.15,0.73,"8,732",27.00,16.15,0.24,1.16,22.26,13.11
1st Source,SRCE,52.10,52.83,51.19,52.62,0.46,0.88,"35,444",59.33,47.16,1.00,1.90,18.02,6.41
2U,TWOU,75.17,76.12,74.60,75.19,-0.30,-0.40,"386,806",98.58,54.56,...,...,...,16.56
21st Century Fox Cl A,FOXA,45.75,46.44,45.22,46.33,0.49,1.07,"7,869,333",50.15,24.81,0.36,0.78,19.30,34.17
21st Century Fox Cl B,FOX,45.50,46.00,45.21,45.82,0.33,0.73,"3,616,595",49.65,24.30,0.36,0.79,19.09,34.29
21Vianet Group ADR,VNET,10.11,10.23,9.71,10.10,...,...,"382,775",11.54,5.01,...,...,...,26.57
51job ADR,JOBS,77.42,79.24,76.83,76.99,-0.31,-0.40,"218,286",114.62,56.22,...,...,...,26.52
111 ADR,YI,13.48,14.29,13.40,13.52,-0.28,-2.03,"15,370",16.83,11.57,...,...,...,...
1347 Property Insurance Holdings,PIH,6.90,6.90,6.61,6.70,...,...,"2,046",8.25,6.10,...,...,20.94,-7.58
1-800-FLOWERS.COM Cl A,FLWS,11.70,11.95,11.65,11.80,0.10,0.85,"121,885",15.00,8.85,...,...,19.67,10.28
AAON,AAON,37.10,38.40,37.05,37.80,0.55,1.48,"365,563",43.30,29.05,0.32,0.85,42.95,3.00
Abiomed,ABMD,441.29,455.40,441.00,449.75,6.86,1.55,"604,724",455.40,164.42,...,...,125.63,139.98
Acacia Communications,ACIA,41.54,42.08,41.09,41.37,-0.18,-0.43,"436,815",48.90,24.72,...,...,...,14.19
Acacia Research - Acacia Technologies,ACTG,3.25,3.25,3.15,3.20,...,...,"213,106",4.75,3.05,0.50,15.63,...,-20.99
Acadia Healthcare,ACHC,34.51,35.31,34.51,35.20,0.67,1.94,"700,275",48.35,26.92,...,...,13.70,7.88
ACADIA Pharmaceuticals,ACAD,21.75,22.04,20.02,20.76,-1.05,-4.81,"5,850,092",41.20,12.77,...,...,...,-31.05
Acceleron Pharma,XLRN,56.91,57.75,56.52,57.23,0.40,0.70,"246,290",59.59,32.53,...,...,...,34.85
Access National,ANCX,26.82,27.20,26.82,27.11,0.25,0.93,"40,699",30.99,26.07,0.64,2.36,20.69,-2.62
Accuray,ARAY,4.60,4.64,4.40,4.50,-0.10,-2.17,"1,128,543",6.15,3.20,...,...,...,4.65
AcelRx Pharmaceuticals,ACRX,4.05,4.05,3.85,3.85,-0.20,-4.94,"930,609",5.75,1.55,...,...,...,90.12
Aceto,ACET,2.30,2.31,2.10,2.26,-0.13,-5.44,"1,714,042",11.98,2.10,0.04,1.77,...,-78.12
Achaogen,AKAO,4.05,4.10,3.96,3.99,-0.01,-0.25,"626,819",16.40,3.82,...,...,...,-62.85
Achillion Pharmaceuticals,ACHN,3.68,3.83,3.65,3.68,-0.03,-0.81,"1,953,926",4.82,2.33,...,...,...,27.78
AC Immune,ACIU,8.12,8.12,7.85,8.00,-0.20,-2.44,"1,384,017",17.40,7.57,...,...,...,-37.50
ACI Worldwide,ACIW,28.12,28.62,28.11,28.14,-0.05,-0.18,"572,973",28.98,20.23,...,...,2814.00,24.13
Aclaris Therapeutics,ACRS,14.98,15.25,14.36,14.52,-0.49,-3.26,"162,006",28.62,14.12,...,...,...,-41.12
ACM Research Cl A,ACMR,11.11,11.18,10.84,11.07,0.22,2.03,"30,931",15.60,4.74,...,...,184.50,110.86
Acorda Therapeutics,ACOR,19.80,19.95,19.40,19.65,-0.10,-0.51,"446,167",36.35,15.60,...,...,...,-8.39
