Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg
1st Constitution Bancorp,FCCY,21.90,21.90,21.36,21.60,-0.15,-0.69,"19,323",22.52,16.15,0.24,1.11,22.98,18.03
1st Source,SRCE,53.00,53.30,51.99,52.00,-0.82,-1.55,"47,892",54.65,44.33,0.96,1.85,19.12,5.16
2U,TWOU,80.75,81.70,80.34,80.49,0.16,0.20,"518,330",91.00,39.58,...,...,...,24.77
8Point3 Energy Partners,CAFD,12.21,12.21,12.06,12.10,-0.09,-0.74,"79,497",15.92,11.69,1.12,9.26,16.58,-20.45
21st Century Fox Cl A,FOXA,36.63,37.06,36.50,36.56,0.14,0.38,"7,505,680",39.13,24.81,0.36,0.98,17.08,5.88
21st Century Fox Cl B,FOX,36.14,36.60,36.06,36.07,0.08,0.22,"2,993,229",38.56,24.30,0.36,1.00,16.86,5.72
21Vianet Group ADR,VNET,5.44,5.50,5.11,5.27,-0.16,-2.95,"347,374",9.59,4.17,...,...,...,-33.96
51job ADR,JOBS,81.59,83.67,81.04,82.54,1.20,1.48,"177,500",93.16,39.84,...,...,100.49,35.65
1-800-FLOWERS.COM Cl A,FLWS,12.70,12.90,12.60,12.70,-0.05,-0.39,"142,716",13.32,7.80,...,...,15.68,18.69
AAON,AAON,35.30,35.90,34.00,34.00,-1.10,-3.13,"266,356",40.25,29.95,0.26,0.76,33.01,-7.36
Abaxis,ABAX,66.51,67.54,65.31,66.57,0.21,0.32,"229,833",78.53,43.66,0.72,1.08,56.42,34.43
Abiomed,ABMD,303.28,308.74,300.85,300.95,-0.79,-0.26,"446,602",309.28,123.60,...,...,151.99,60.58
Ablynx ADR,ABLX,53.95,54.04,53.28,53.78,-0.59,-1.09,"667,442",55.29,17.75,...,...,...,115.21
Acacia Communications,ACIA,28.30,28.47,27.52,28.15,-0.13,-0.46,"542,355",50.10,24.72,...,...,31.63,-22.30
Acacia Research - Acacia Technologies,ACTG,3.70,3.80,3.65,3.65,-0.05,-1.35,"213,483",5.50,2.90,0.50,13.70,8.38,-9.88
Acadia Healthcare,ACHC,36.24,36.51,35.26,35.58,-0.57,-1.58,"1,226,230",54.34,26.92,...,...,15.54,9.04
ACADIA Pharmaceuticals,ACAD,16.38,16.54,15.73,15.81,-0.47,-2.89,"2,764,975",41.20,14.51,...,...,...,-47.49
Acceleron Pharma,XLRN,37.63,37.63,34.90,34.91,-2.83,-7.50,"354,667",46.93,24.37,...,...,...,-17.74
Access National,ANCX,28.09,28.22,27.80,27.81,-0.21,-0.75,"49,948",30.99,24.36,0.60,2.16,25.99,-0.11
Accuray,ARAY,5.10,5.15,4.90,5.00,-0.05,-0.99,"502,554",6.15,3.60,...,...,...,16.28
AcelRx Pharmaceuticals,ACRX,2.55,2.56,2.40,2.40,-0.05,-2.04,"475,701",5.75,1.55,...,...,...,18.52
