Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg
1st Constitution Bancorp,FCCY,22.05,22.40,21.32,22.35,0.20,0.90,"12,697",27.00,16.15,0.24,1.07,24.03,22.13
1st Source,SRCE,56.18,56.65,55.56,56.30,0.13,0.23,"6,160",59.33,44.59,1.00,1.78,19.28,13.85
2U,TWOU,75.08,78.22,75.08,78.03,2.36,3.12,"573,706",98.58,45.50,...,...,...,20.96
21st Century Fox Cl A,FOXA,45.29,46.08,45.19,45.69,0.27,0.59,"9,206,254",50.15,24.81,0.36,0.79,21.06,32.32
21st Century Fox Cl B,FOX,44.85,45.58,44.71,45.27,0.35,0.78,"2,644,028",49.65,24.30,0.36,0.80,20.86,32.68
21Vianet Group ADR,VNET,8.72,8.78,8.52,8.64,-0.06,-0.69,"230,145",11.54,4.17,...,...,...,8.27
51job ADR,JOBS,77.18,80.58,76.51,79.13,1.95,2.53,"394,267",114.62,53.26,...,...,...,30.04
1347 Property Insurance Holdings,PIH,7.15,7.50,7.15,7.20,...,...,"19,850",8.25,6.55,...,...,22.50,-0.69
1-800-FLOWERS.COM Cl A,FLWS,14.40,14.45,14.20,14.40,...,...,"58,115",14.99,7.80,...,...,16.94,34.58
AAON,AAON,38.35,38.95,38.35,38.60,0.30,0.78,"169,590",40.25,29.05,0.32,0.83,43.86,5.18
Abiomed,ABMD,376.16,382.64,374.17,378.56,1.45,0.38,"510,261",450.93,144.01,...,...,105.74,102.00
Acacia Communications,ACIA,38.16,38.25,37.00,37.38,-0.55,-1.45,"814,545",50.10,24.72,...,...,...,3.17
Acacia Research - Acacia Technologies,ACTG,3.70,3.75,3.67,3.75,...,...,"53,865",5.50,2.90,0.50,13.33,81.88,-7.41
Acadia Healthcare,ACHC,41.06,41.88,40.72,40.90,0.02,0.05,"801,815",53.09,26.92,...,...,15.91,25.34
ACADIA Pharmaceuticals,ACAD,14.65,14.75,13.60,13.91,-1.31,-8.61,"5,076,948",41.20,13.60,...,...,...,-53.80
Acceleron Pharma,XLRN,43.02,44.00,42.70,43.87,0.82,1.90,"312,524",50.00,31.80,...,...,...,3.37
