Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg
1st Constitution Bancorp,FCCY,19.89,20.23,19.77,20.21,0.43,2.17,"5,556",27.00,16.15,0.30,1.48,18.50,10.44
1st Source,SRCE,48.61,50.53,47.30,48.27,-0.09,-0.19,"57,017",59.33,39.93,1.00,2.07,15.98,-2.39
2U,TWOU,59.76,59.94,55.71,57.35,-1.04,-1.78,"698,445",98.58,47.83,...,...,...,-11.10
21st Century Fox Cl A,FOXA,49.50,49.72,49.17,49.66,0.19,0.38,"15,677,994",50.15,32.35,0.36,0.72,18.88,43.82
21st Century Fox Cl B,FOX,49.19,49.39,48.83,49.39,0.36,0.73,"5,124,382",49.65,31.79,0.36,0.73,18.78,44.75
21Vianet Group ADR,VNET,9.95,10.17,9.62,9.98,0.50,5.27,"597,983",11.98,5.01,...,...,10.54,25.06
51job ADR,JOBS,72.34,74.43,70.70,72.31,4.23,6.21,"433,463",114.62,52.15,...,...,52.39,18.83
111 ADR,YI,9.67,10.00,8.50,9.55,0.05,0.58,"39,970",16.83,7.52,...,...,...,...
1347 Property Insurance Holdings,PIH,5.01,5.01,5.00,5.00,-0.01,-0.20,"13,888",8.25,4.77,...,...,56.31,-31.03
1-800-FLOWERS.COM Cl A,FLWS,12.73,12.73,12.38,12.60,0.09,0.72,"114,256",15.00,9.76,...,...,23.65,17.76
AAON,AAON,38.21,38.94,37.84,38.79,0.84,2.21,"176,798",44.90,29.05,0.32,0.82,44.71,5.69
Abiomed,ABMD,339.62,344.99,333.21,343.45,10.77,3.24,"530,726",459.75,186.72,...,...,95.94,83.26
Acacia Communications,ACIA,44.32,44.50,43.07,43.67,0.79,1.84,"679,572",47.26,24.72,...,...,...,20.54
Acacia Research - Acacia Technologies,ACTG,3.19,3.19,3.05,3.18,...,...,"120,303",4.45,2.85,0.50,15.72,...,-21.48
Acadia Healthcare,ACHC,34.63,35.22,33.29,33.89,-0.08,-0.24,"1,685,992",45.35,28.02,...,...,13.15,3.86
ACADIA Pharmaceuticals,ACAD,19.72,20.34,19.15,20.30,1.24,6.51,"1,640,895",32.99,12.77,...,...,...,-32.58
Acceleron Pharma,XLRN,55.82,56.91,51.74,53.85,0.92,1.74,"636,310",59.59,32.53,...,...,...,26.89
Access National,ANCX,26.58,27.17,25.90,26.23,-0.21,-0.79,"50,165",30.40,23.95,0.68,2.59,18.35,-5.78
Accuray,ARAY,4.11,4.13,3.96,4.00,-0.10,-2.44,"1,192,187",6.15,3.20,...,...,...,-6.98
AcelRx Pharmaceuticals,ACRX,3.36,3.44,3.23,3.26,-0.11,-3.26,"2,022,205",5.05,1.65,...,...,...,60.99
Aceto,ACET,1.62,1.67,1.54,1.60,-0.02,-1.23,"195,297",11.98,1.53,0.04,2.50,...,-84.51
Achaogen,AKAO,1.64,1.68,1.60,1.66,0.05,3.11,"834,425",15.00,1.56,...,...,...,-84.54
Achillion Pharmaceuticals,ACHN,2.94,3.13,2.94,3.12,0.23,7.96,"1,260,460",4.34,2.33,...,...,...,8.33
AC Immune,ACIU,11.16,11.52,11.01,11.30,0.18,1.62,"103,236",17.40,7.16,...,...,...,-11.72
ACI Worldwide,ACIW,29.31,29.53,29.05,29.44,0.56,1.94,"542,813",30.25,20.23,...,...,259.38,29.86
Aclaris Therapeutics,ACRS,9.41,9.75,9.17,9.47,0.15,1.61,"686,259",26.25,8.23,...,...,...,-61.60
ACM Research Cl A,ACMR,11.41,11.45,10.91,11.04,-0.12,-1.03,"11,769",15.60,4.74,...,...,24.96,110.19
Acorda Therapeutics,ACOR,20.77,20.95,20.03,20.78,0.35,1.71,"541,233",36.35,15.60,...,...,...,-3.12
Activision Blizzard,ATVI,51.00,51.44,46.45,46.60,-3.28,-6.58,"30,158,071",84.68,46.45,0.34,0.73,105.57,-26.41
Adamas Pharmaceuticals,ADMS,10.50,11.42,10.34,11.07,0.83,8.11,"525,859",44.00,9.69,...,...,...,-67.34
Adaptimmune Therapeutics ADR,ADAP,6.23,6.55,6.17,6.25,0.09,1.46,"850,674",14.63,4.91,...,...,...,-6.44
Addus HomeCare,ADUS,74.69,76.51,73.63,76.43,2.21,2.98,"212,284",77.82,31.20,...,...,56.95,119.63
ADDvantage Technologies Group,AEY,1.33,1.33,1.32,1.33,...,...,"18,738",2.33,1.21,...,...,...,-9.52
Adobe,ADBE,260.71,260.72,251.82,255.26,4.37,1.74,"4,119,532",277.61,165.68,...,...,52.74,45.66
Adtran,ADTN,12.55,12.80,12.43,12.78,0.33,2.65,"213,290",23.15,11.93,0.36,2.82,...,-33.95
