Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg
1st Constitution Bancorp,FCCY,19.46,19.50,19.28,19.47,0.09,0.46,"4,033",27.00,16.15,0.30,1.54,17.83,-2.31
1st Source,SRCE,42.50,43.46,42.25,43.37,0.88,2.07,"94,783",59.33,38.44,1.00,2.31,14.36,7.51
2U,TWOU,52.00,53.75,51.91,53.30,1.46,2.82,"642,397",98.58,44.50,...,...,...,7.20
21st Century Fox Cl A,FOXA,47.95,48.32,47.81,48.18,0.12,0.25,"4,611,232",50.15,34.12,0.36,0.75,18.32,0.12
21st Century Fox Cl B,FOX,47.52,48.04,47.51,47.94,0.16,0.33,"2,453,505",49.65,33.75,0.36,0.75,18.23,0.33
21Vianet Group ADR,VNET,8.88,9.00,8.67,8.86,-0.02,-0.23,"168,640",11.98,5.01,...,...,9.35,2.55
51job ADR,JOBS,62.75,64.55,61.20,63.45,1.03,1.65,"205,772",114.62,52.15,...,...,45.97,1.62
111 ADR,YI,6.80,7.00,6.55,7.00,0.22,3.24,"10,056",16.83,5.95,...,...,...,14.01
360 Finance ADR,QFIN,14.15,14.15,13.31,13.79,-0.21,-1.53,"6,953",17.53,13.31,...,...,...,-11.10
1347 Property Insurance Holdings,PIH,4.11,4.27,4.00,4.01,-0.11,-2.67,"5,619",8.25,3.75,...,...,45.16,-0.25
1-800-FLOWERS.COM Cl A,FLWS,12.43,12.90,12.35,12.69,0.26,2.09,"130,164",15.00,9.76,...,...,23.82,3.76
AAON,AAON,35.60,36.32,35.18,36.15,0.54,1.52,"111,844",44.90,29.05,0.32,0.89,41.56,3.11
Abiomed,ABMD,313.50,315.50,305.56,314.80,1.36,0.43,"682,434",459.75,204.67,...,...,76.25,-3.15
Acacia Communications,ACIA,38.54,39.74,38.22,39.17,0.73,1.90,"451,835",47.26,24.72,...,...,...,3.08
Acacia Research - Acacia Technologies,ACTG,3.01,3.09,2.97,3.07,0.08,2.68,"169,891",4.40,2.75,0.50,16.29,...,3.02
Acadia Healthcare,ACHC,25.99,26.82,25.79,26.30,0.16,0.61,"797,131",45.35,24.27,...,...,10.20,2.29
ACADIA Pharmaceuticals,ACAD,17.88,18.40,17.30,18.23,0.66,3.76,"2,072,317",32.99,12.77,...,...,...,12.74
Acceleron Pharma,XLRN,41.79,45.09,41.50,45.02,3.52,8.48,"416,611",59.59,32.53,...,...,...,3.38
Access National,ANCX,22.99,23.78,22.99,23.65,0.61,2.65,"64,470",30.40,20.34,0.68,2.88,16.55,10.88
Accuray,ARAY,3.43,3.60,3.42,3.55,0.12,3.50,"503,460",6.15,3.17,...,...,...,4.11
AcelRx Pharmaceuticals,ACRX,2.80,2.92,2.61,2.84,0.10,3.65,"1,949,645",5.05,1.65,...,...,...,22.94
Aceto,ACET,1.06,1.15,1.06,1.11,0.06,5.71,"264,491",11.98,0.79,0.04,3.60,...,32.14
Achaogen,AKAO,1.70,1.75,1.55,1.69,...,...,"2,447,052",15.00,1.14,...,...,...,37.40
Achillion Pharmaceuticals,ACHN,1.81,2.00,1.80,1.99,0.19,10.56,"2,336,278",4.34,1.29,...,...,...,25.16
AC Immune,ACIU,10.37,10.90,10.37,10.50,0.45,4.48,"185,857",17.40,7.16,...,...,...,11.11
ACI Worldwide,ACIW,26.28,27.37,26.19,26.51,0.34,1.30,"659,542",30.25,20.23,...,...,229.52,-4.19
Aclaris Therapeutics,ACRS,7.70,7.95,7.61,7.84,0.21,2.75,"516,510",26.25,6.15,...,...,...,6.09
ACM Research Cl A,ACMR,10.52,10.86,9.99,10.75,0.05,0.47,"27,218",15.60,4.74,...,...,24.32,-1.19
Acorda Therapeutics,ACOR,16.89,17.01,16.31,16.50,-0.22,-1.32,"920,461",36.35,12.86,...,...,...,5.91
Activision Blizzard,ATVI,47.24,49.08,47.09,48.50,1.33,2.82,"8,723,036",84.68,43.71,0.34,0.70,109.88,4.14
Adamas Pharmaceuticals,ADMS,10.00,10.65,9.38,9.62,0.41,4.45,"946,595",44.00,7.42,...,...,...,12.65
Adaptimmune Therapeutics ADR,ADAP,5.79,6.17,5.69,6.06,0.34,5.94,"287,756",14.63,3.60,...,...,...,5.39
Addus HomeCare,ADUS,66.40,68.91,66.40,67.34,1.22,1.85,"92,369",77.82,33.25,...,...,50.35,-0.80
ADDvantage Technologies Group,AEY,1.45,1.46,1.39,1.40,-0.05,-3.45,"2,977",1.83,1.21,...,...,...,-2.44
Adobe,ADBE,229.95,232.60,227.29,229.26,3.07,1.36,"3,340,761",277.61,179.34,...,...,44.00,1.33
Adtran,ADTN,11.25,11.70,11.23,11.54,0.28,2.49,"466,985",20.45,10.21,0.36,3.12,...,7.45
Aduro Biotech,ADRO,2.96,3.17,2.93,3.05,0.12,4.10,"4,112,387",9.93,2.34,...,...,...,15.53
Advanced Emissions Solutions,ADES,10.65,11.02,10.58,10.85,0.16,1.50,"56,422",12.37,7.00,1.00,9.22,6.27,2.84
