Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg
1st Constitution Bancorp,FCCY,21.55,21.65,21.35,21.65,0.10,0.46,"15,241",27.00,16.15,0.24,1.11,23.03,18.31
1st Source,SRCE,55.29,56.22,54.85,56.09,0.89,1.61,"20,898",56.77,44.59,0.96,1.71,20.62,13.43
2U,TWOU,88.68,89.34,86.70,88.24,0.15,0.17,"367,287",98.58,45.50,...,...,...,36.78
21st Century Fox Cl A,FOXA,48.92,49.59,48.48,49.56,0.63,1.29,"12,183,430",50.15,24.81,0.36,0.73,22.84,43.53
21st Century Fox Cl B,FOX,48.56,49.13,48.00,49.08,0.65,1.34,"3,823,326",49.65,24.30,0.36,0.73,22.62,43.85
21Vianet Group ADR,VNET,9.92,10.00,9.85,9.91,0.03,0.30,"227,292",10.96,4.17,...,...,...,24.19
51job ADR,JOBS,98.36,98.75,93.24,95.82,-2.16,-2.20,"331,985",114.62,45.46,...,...,...,57.47
1347 Property Insurance Holdings,PIH,7.15,7.15,7.00,7.00,-0.10,-1.37,"3,629",8.25,6.55,...,...,21.88,-3.41
1-800-FLOWERS.COM Cl A,FLWS,12.95,13.05,12.80,13.05,0.20,1.56,"123,546",13.32,7.80,...,...,15.35,21.96
AAON,AAON,35.50,35.75,35.20,35.65,0.35,0.99,"175,086",40.25,29.05,0.32,0.90,38.75,-2.86
Abaxis,ABAX,83.24,83.30,83.18,83.20,-0.03,-0.04,"217,465",83.98,43.66,0.72,0.87,70.51,68.01
Abiomed,ABMD,407.88,413.86,403.16,408.46,2.47,0.61,"561,316",450.93,140.00,...,...,166.72,117.95
Acacia Communications,ACIA,35.60,35.79,34.28,34.48,-0.92,-2.60,"454,290",50.10,24.72,...,...,...,-4.83
Acacia Research - Acacia Technologies,ACTG,4.05,4.10,4.00,4.10,0.05,1.23,"56,122",5.50,2.90,0.50,12.20,89.52,1.23
Acadia Healthcare,ACHC,42.29,43.09,42.29,42.95,0.70,1.66,"428,072",54.34,26.92,...,...,17.39,31.63
ACADIA Pharmaceuticals,ACAD,17.96,18.44,16.00,16.63,-1.21,-6.78,"6,886,075",41.20,14.51,...,...,...,-44.77
Acceleron Pharma,XLRN,46.93,47.69,46.19,47.40,0.70,1.50,"312,718",50.00,29.57,...,...,...,11.69
Access National,ANCX,29.78,30.14,29.78,30.01,0.31,1.04,"48,557",30.99,24.36,0.60,2.00,28.05,7.79
Accuray,ARAY,4.15,4.15,3.95,3.98,-0.15,-3.64,"565,745",6.15,3.60,...,...,...,-7.56
AcelRx Pharmaceuticals,ACRX,3.60,3.65,3.50,3.60,0.05,1.41,"274,421",5.75,1.55,...,...,...,77.78
Aceto,ACET,3.63,3.69,3.51,3.63,0.01,0.28,"259,703",17.10,2.22,0.04,1.10,...,-64.86
Achaogen,AKAO,8.49,8.51,7.64,7.78,-0.73,-8.58,"2,683,678",25.22,7.64,...,...,...,-27.56
Achillion Pharmaceuticals,ACHN,3.00,3.03,2.93,2.98,-0.01,-0.33,"624,100",5.66,2.58,...,...,...,3.47
AC Immune,ACIU,12.50,13.25,11.50,13.12,0.26,2.02,"572,914",14.00,6.03,...,...,...,2.50
ACI Worldwide,ACIW,26.16,26.38,26.13,26.29,0.27,1.04,"285,923",27.16,20.23,...,...,...,15.97
